title,file_base,raw_path,clean_path,categories,cjk_chars,sentences
〇,〇.txt,raw\〇.txt,clean\〇.txt,,183,23
〇年,〇年.txt,raw\〇年.txt,clean\〇年.txt,,28,2
䆁熱反應,䆁熱反應.txt,raw\䆁熱反應.txt,clean\䆁熱反應.txt,,77,7
䍺,䍺.txt,raw\䍺.txt,clean\䍺.txt,,52,3
䤈僮尸逐侯鞮單于,䤈僮尸逐侯鞮單于.txt,raw\䤈僮尸逐侯鞮單于.txt,clean\䤈僮尸逐侯鞮單于.txt,,172,4
䤈落尸逐鞮單于,䤈落尸逐鞮單于.txt,raw\䤈落尸逐鞮單于.txt,clean\䤈落尸逐鞮單于.txt,,1191,48
䧿山,䧿山.txt,raw\䧿山.txt,clean\䧿山.txt,,92,5
一〇〇一年,一〇〇一年.txt,raw\一〇〇一年.txt,clean\一〇〇一年.txt,,178,12
一〇〇二年,一〇〇二年.txt,raw\一〇〇二年.txt,clean\一〇〇二年.txt,,129,8
一〇一年,一〇一年.txt,raw\一〇一年.txt,clean\一〇一年.txt,,32,3
一〇七年,一〇七年.txt,raw\一〇七年.txt,clean\一〇七年.txt,,31,3
一〇三年,一〇三年.txt,raw\一〇三年.txt,clean\一〇三年.txt,,31,3
一〇九年,一〇九年.txt,raw\一〇九年.txt,clean\一〇九年.txt,,31,3
一〇二年,一〇二年.txt,raw\一〇二年.txt,clean\一〇二年.txt,,31,3
一〇五九年,一〇五九年.txt,raw\一〇五九年.txt,clean\一〇五九年.txt,,35,3
一〇五五年,一〇五五年.txt,raw\一〇五五年.txt,clean\一〇五五年.txt,,153,5
一〇五年,一〇五年.txt,raw\一〇五年.txt,clean\一〇五年.txt,,34,3
一〇八年,一〇八年.txt,raw\一〇八年.txt,clean\一〇八年.txt,,31,3
一〇六七年,一〇六七年.txt,raw\一〇六七年.txt,clean\一〇六七年.txt,,32,2
一〇六年,一〇六年.txt,raw\一〇六年.txt,clean\一〇六年.txt,,31,3
一〇四九年,一〇四九年.txt,raw\一〇四九年.txt,clean\一〇四九年.txt,,80,4
一〇四二年,一〇四二年.txt,raw\一〇四二年.txt,clean\一〇四二年.txt,,36,3
一〇四年,一〇四年.txt,raw\一〇四年.txt,clean\一〇四年.txt,,31,3
一一〇年,一一〇年.txt,raw\一一〇年.txt,clean\一一〇年.txt,,32,3
一一二三年,一一二三年.txt,raw\一一二三年.txt,clean\一一二三年.txt,,82,5
一一二四年,一一二四年.txt,raw\一一二四年.txt,clean\一一二四年.txt,,89,5
一一四五年,一一四五年.txt,raw\一一四五年.txt,clean\一一四五年.txt,,233,11
一一年,一一年.txt,raw\一一年.txt,clean\一一年.txt,,56,5
一七〇四年,一七〇四年.txt,raw\一七〇四年.txt,clean\一七〇四年.txt,,36,3
一七七〇 (昆士蘭州),一七七〇 (昆士蘭州).txt,raw\一七七〇 (昆士蘭州).txt,clean\一七七〇 (昆士蘭州).txt,,25,3
一七七五年,一七七五年.txt,raw\一七七五年.txt,clean\一七七五年.txt,,64,4
一七七六年,一七七六年.txt,raw\一七七六年.txt,clean\一七七六年.txt,,145,14
一七七四年,一七七四年.txt,raw\一七七四年.txt,clean\一七七四年.txt,,49,4
一七九五年,一七九五年.txt,raw\一七九五年.txt,clean\一七九五年.txt,,109,7
一七九四年,一七九四年.txt,raw\一七九四年.txt,clean\一七九四年.txt,,92,4
一七二一年,一七二一年.txt,raw\一七二一年.txt,clean\一七二一年.txt,,84,2
一七二三年,一七二三年.txt,raw\一七二三年.txt,clean\一七二三年.txt,,34,2
一七五二年,一七五二年.txt,raw\一七五二年.txt,clean\一七五二年.txt,,40,3
一三〇年,一三〇年.txt,raw\一三〇年.txt,clean\一三〇年.txt,,33,3
一三五一年,一三五一年.txt,raw\一三五一年.txt,clean\一三五一年.txt,,113,4
一三五五年,一三五五年.txt,raw\一三五五年.txt,clean\一三五五年.txt,,213,7
一三八〇年,一三八〇年.txt,raw\一三八〇年.txt,clean\一三八〇年.txt,,31,1
一三六三年,一三六三年.txt,raw\一三六三年.txt,clean\一三六三年.txt,,56,5
一三六八年,一三六八年.txt,raw\一三六八年.txt,clean\一三六八年.txt,,56,5
一九〇九年,一九〇九年.txt,raw\一九〇九年.txt,clean\一九〇九年.txt,,47,4
一九〇六年,一九〇六年.txt,raw\一九〇六年.txt,clean\一九〇六年.txt,,35,2
一九〇四年,一九〇四年.txt,raw\一九〇四年.txt,clean\一九〇四年.txt,,32,3
一九〇年,一九〇年.txt,raw\一九〇年.txt,clean\一九〇年.txt,,42,1
一九一〇年,一九一〇年.txt,raw\一九一〇年.txt,clean\一九一〇年.txt,,31,2
一九一一年,一九一一年.txt,raw\一九一一年.txt,clean\一九一一年.txt,,198,2
一九一七年,一九一七年.txt,raw\一九一七年.txt,clean\一九一七年.txt,,40,3
一九一三年,一九一三年.txt,raw\一九一三年.txt,clean\一九一三年.txt,,42,2
一九一二年,一九一二年.txt,raw\一九一二年.txt,clean\一九一二年.txt,,39,2
一九一五年,一九一五年.txt,raw\一九一五年.txt,clean\一九一五年.txt,,40,3
一九一八年,一九一八年.txt,raw\一九一八年.txt,clean\一九一八年.txt,,40,3
一九一六年,一九一六年.txt,raw\一九一六年.txt,clean\一九一六年.txt,,40,3
一九一四年,一九一四年.txt,raw\一九一四年.txt,clean\一九一四年.txt,,40,3
一九七〇年,一九七〇年.txt,raw\一九七〇年.txt,clean\一九七〇年.txt,,38,3
一九七一年,一九七一年.txt,raw\一九七一年.txt,clean\一九七一年.txt,,55,4
一九七七年,一九七七年.txt,raw\一九七七年.txt,clean\一九七七年.txt,,56,4
一九七三年,一九七三年.txt,raw\一九七三年.txt,clean\一九七三年.txt,,40,3
一九七九年,一九七九年.txt,raw\一九七九年.txt,clean\一九七九年.txt,,100,6
一九七二年,一九七二年.txt,raw\一九七二年.txt,clean\一九七二年.txt,,139,7
一九七五年,一九七五年.txt,raw\一九七五年.txt,clean\一九七五年.txt,,57,4
一九七八年,一九七八年.txt,raw\一九七八年.txt,clean\一九七八年.txt,,57,5
一九七六年,一九七六年.txt,raw\一九七六年.txt,clean\一九七六年.txt,,55,4
一九七四年,一九七四年.txt,raw\一九七四年.txt,clean\一九七四年.txt,,81,5
一九三〇年,一九三〇年.txt,raw\一九三〇年.txt,clean\一九三〇年.txt,,96,2
一九三三年,一九三三年.txt,raw\一九三三年.txt,clean\一九三三年.txt,,31,2
一九三九年,一九三九年.txt,raw\一九三九年.txt,clean\一九三九年.txt,,142,6
一九三二年,一九三二年.txt,raw\一九三二年.txt,clean\一九三二年.txt,,33,1
一九三五年,一九三五年.txt,raw\一九三五年.txt,clean\一九三五年.txt,,85,3
一九三八年,一九三八年.txt,raw\一九三八年.txt,clean\一九三八年.txt,,156,7
一九三六年,一九三六年.txt,raw\一九三六年.txt,clean\一九三六年.txt,,87,4
一九九〇年,一九九〇年.txt,raw\一九九〇年.txt,clean\一九九〇年.txt,,46,4
一九九一年,一九九一年.txt,raw\一九九一年.txt,clean\一九九一年.txt,,46,4
一九九七年,一九九七年.txt,raw\一九九七年.txt,clean\一九九七年.txt,,113,5
一九九九年,一九九九年.txt,raw\一九九九年.txt,clean\一九九九年.txt,,213,10
一九九二年,一九九二年.txt,raw\一九九二年.txt,clean\一九九二年.txt,,40,3
一九九五年,一九九五年.txt,raw\一九九五年.txt,clean\一九九五年.txt,,51,4
一九九八年,一九九八年.txt,raw\一九九八年.txt,clean\一九九八年.txt,,92,7
一九九六年,一九九六年.txt,raw\一九九六年.txt,clean\一九九六年.txt,,75,5
一九九四年,一九九四年.txt,raw\一九九四年.txt,clean\一九九四年.txt,,40,3
一九二〇年,一九二〇年.txt,raw\一九二〇年.txt,clean\一九二〇年.txt,,56,4
一九二七年,一九二七年.txt,raw\一九二七年.txt,clean\一九二七年.txt,,96,7
一九二九年,一九二九年.txt,raw\一九二九年.txt,clean\一九二九年.txt,,35,2
一九二二年,一九二二年.txt,raw\一九二二年.txt,clean\一九二二年.txt,,30,1
一九二六年,一九二六年.txt,raw\一九二六年.txt,clean\一九二六年.txt,,35,1
一九二年,一九二年.txt,raw\一九二年.txt,clean\一九二年.txt,,172,15
一九五七年,一九五七年.txt,raw\一九五七年.txt,clean\一九五七年.txt,,48,4
一九五三年,一九五三年.txt,raw\一九五三年.txt,clean\一九五三年.txt,,53,4
一九五九年,一九五九年.txt,raw\一九五九年.txt,clean\一九五九年.txt,,39,3
一九五五年,一九五五年.txt,raw\一九五五年.txt,clean\一九五五年.txt,,96,5
一九五八年,一九五八年.txt,raw\一九五八年.txt,clean\一九五八年.txt,,39,1
一九五六年,一九五六年.txt,raw\一九五六年.txt,clean\一九五六年.txt,,54,4
一九五四年,一九五四年.txt,raw\一九五四年.txt,clean\一九五四年.txt,,40,3
