corpus_root,grouping,work,author,times,pages,chars,empty_pages,min_juan,max_juan,gaps,src
四庫全書,,三因極一病證方論,陳言,宋,18,16248,16,1,18,0,四庫全書/index.csv
四庫全書,,世醫得效方,危亦林,元,3,13897,0,1,3,0,四庫全書/index.csv
四庫全書,,乾坤鑿度,,,2,11609,0,1,2,0,四庫全書/index.csv
四庫全書,,事實類苑,江少虞,南宋,68,402202,0,1,68,0,四庫全書/index.csv
四庫全書,,事物紀原,,,2,4144,0,1,2,0,四庫全書/index.csv
四庫全書,,五曹算經,,,5,6850,0,1,5,0,四庫全書/index.csv
四庫全書,,今獻備遺,,,42,7059,41,1,42,0,四庫全書/index.csv
四庫全書,,傷寒總病論,龐安時,北宋,1,0,1,1,1,0,四庫全書/index.csv
四庫全書,,元經,,,10,1236,9,1,10,0,四庫全書/index.csv
四庫全書,,全生指迷方,王貺,宋,4,12012,2,1,4,0,四庫全書/index.csv
四庫全書,,兩漢筆記,,,12,805,11,1,12,0,四庫全書/index.csv
四庫全書,,別號錄,,,9,109,8,1,9,0,四庫全書/index.csv
四庫全書,,北夢瑣言,孫光憲,北宋,24,95806,0,1,24,0,四庫全書/index.csv
四庫全書,,博濟方,王衮,宋,5,0,5,1,5,0,四庫全書/index.csv
四庫全書,,吳地記,,,1,13242,0,1,1,0,四庫全書/index.csv
四庫全書,,唐鑑,,,24,503,23,1,24,0,四庫全書/index.csv
四庫全書,,四庫全書總目提要,,,204,3343726,0,1,204,0,四庫全書/index.csv
四庫全書,,外科理例,汪機,明,1,0,1,1,1,0,四庫全書/index.csv
四庫全書,,外科精義,齊德之,元,1,37708,0,1,1,0,四庫全書/index.csv
四庫全書,,夢溪筆談,,,26,103501,0,1,26,0,四庫全書/index.csv
四庫全書,,夢粱錄,吳自牧,南宋,20,112500,0,1,20,0,四庫全書/index.csv
四庫全書,,大事記,呂祖謙,宋,12,25558,2,1,12,0,四庫全書/index.csv
四庫全書,,娛書堂詩話,,,1,15230,0,1,1,0,四庫全書/index.csv
四庫全書,,婦人大全良方,陳自明,宋,23,236579,0,1,23,0,四庫全書/index.csv
四庫全書,,孔子弟子考,,,1,9066,0,1,1,0,四庫全書/index.csv
四庫全書,,孔子編年,胡仔,宋,5,37563,0,1,5,0,四庫全書/index.csv
四庫全書,,安南志畧,黎崱,元,20,85251,1,1,20,0,四庫全書/index.csv
四庫全書,,宋稗類鈔,,,1,778,0,1,1,0,四庫全書/index.csv
四庫全書,,宣和奉使高麗圖經,,,40,52378,0,1,40,0,四庫全書/index.csv
四庫全書,,對床夜語,,,5,22673,0,1,5,0,四庫全書/index.csv
四庫全書,,山海經,,,19,50508,0,1,19,0,四庫全書/index.csv
四庫全書,,幾何原本,,,7,106657,0,1,7,0,四庫全書/index.csv
四庫全書,,廣博物志,,,2,32974,0,1,2,0,四庫全書/index.csv
四庫全書,,廣羣芳譜,,,100,904574,41,1,100,0,四庫全書/index.csv
四庫全書,,廣雅,,,1,436,0,1,1,0,四庫全書/index.csv
四庫全書,,御定歷代賦彙外集,,,1,2851,0,1,1,0,四庫全書/index.csv
四庫全書,,御製題絜齋毛詩經筵講義,袁燮,宋,1,23248,0,1,1,0,四庫全書/index.csv
四庫全書,,御覽詩,,,1,15753,0,1,1,0,四庫全書/index.csv
四庫全書,,惟實集,,,7,46436,0,1,7,0,四庫全書/index.csv
四庫全書,,折獄龜鑑,,,8,69965,0,1,8,0,四庫全書/index.csv
四庫全書,,斐然集,,,30,349703,0,1,30,0,四庫全書/index.csv
四庫全書,,日損齋筆記,黃潛,元朝,1,11600,0,1,1,0,四庫全書/index.csv
四庫全書,,日錄,吴與弼,明,1,13104,0,1,1,0,四庫全書/index.csv
四庫全書,,明儒學案,,,78,974932,0,1,78,0,四庫全書/index.csv
四庫全書,,明史紀事本末,,,80,702433,0,1,80,0,四庫全書/index.csv
四庫全書,,易小傳,,,12,0,12,1,12,0,四庫全書/index.csv
四庫全書,,春秋別典,,,15,664,14,1,15,0,四庫全書/index.csv
四庫全書,,春秋左傳事類始末,,,1,716,0,1,1,0,四庫全書/index.csv
四庫全書,,春秋左氏傳事類始末,,,5,1165,4,1,5,0,四庫全書/index.csv
四庫全書,,春秋王霸列國世紀編,,,3,204,2,1,3,0,四庫全書/index.csv
四庫全書,,春秋臣傳,,,30,942,29,1,30,0,四庫全書/index.csv
四庫全書,,景岳全書,張介賓,明,1,4545,0,1,1,0,四庫全書/index.csv
四庫全書,,會稽志,,,1,378,0,1,1,0,四庫全書/index.csv
四庫全書,,朝鮮史略,河崙,,1,1709,0,1,1,0,四庫全書/index.csv
四庫全書,,朝鮮志,,,2,20512,0,1,2,0,四庫全書/index.csv
四庫全書,,李太白文集,,,30,7011,27,1,30,0,四庫全書/index.csv
四庫全書,,李義山詩集注,,,6,28990,5,1,6,0,四庫全書/index.csv
四庫全書,,東觀漢記 (四庫全書標點本),,,24,23,23,1,24,0,四庫全書/index.csv
四庫全書,,東觀漢記 (武英殿聚珍本),,,24,9309,23,1,24,0,四庫全書/index.csv
四庫全書,,林和靖集,,,4,20827,0,1,4,0,四庫全書/index.csv
四庫全書,,林外野言,郭翼,元,2,12132,0,1,2,0,四庫全書/index.csv
四庫全書,,棗林雜俎,談遷,明,9,103121,0,1,9,0,四庫全書/index.csv
四庫全書,,楓窗小牘,佚名,南宋,1,18376,0,1,1,0,四庫全書/index.csv
四庫全書,,榕村語錄,,,30,346856,0,1,30,0,四庫全書/index.csv
四庫全書,,樊川文集,,,17,93054,0,1,17,0,四庫全書/index.csv
四庫全書,,欽定勝朝殉節諸臣錄,,,12,49075,7,1,12,0,四庫全書/index.csv
四庫全書,,欽定古今儲貳金鑑,| times = 清,清,6,1079,5,1,6,0,四庫全書/index.csv
四庫全書,,欽定大清一統志,,,3,5191,0,1,3,0,四庫全書/index.csv
四庫全書,,欽定大清會典則例,,,180,27336,169,1,180,0,四庫全書/index.csv
四庫全書,,欽定歷代職官表,,,1,154,0,1,1,0,四庫全書/index.csv
四庫全書,,此事難知,王好古,元,2,32840,0,1,2,0,四庫全書/index.csv
四庫全書,,涉史隨筆,葛洪,宋,1,364,0,1,1,0,四庫全書/index.csv
四庫全書,,濟生方,嚴用和,南宋,1,86799,0,1,1,0,四庫全書/index.csv
四庫全書,,王子安集,,,16,78933,0,1,16,0,四庫全書/index.csv
四庫全書,,瑞竹堂經驗方,沙圖穆蘇,元,1,38170,0,1,1,0,四庫全書/index.csv
四庫全書,,甕牗閒評,,,8,1410,6,1,8,0,四庫全書/index.csv
四庫全書,,異域錄,,,1,566,0,1,1,0,四庫全書/index.csv
四庫全書,,疑獄集,,,1,2729,0,1,1,0,四庫全書/index.csv
四庫全書,,疑耀,,,7,13006,5,1,7,0,四庫全書/index.csv
四庫全書,,皇極經世,邵雍,宋,26,23787,17,1,26,0,四庫全書/index.csv
四庫全書,,稽古錄,,,20,5536,16,1,20,0,四庫全書/index.csv
四庫全書,,精衛詞,,,1,126,0,1,1,0,四庫全書/index.csv
四庫全書,,絜齋集,,,25,195528,1,1,25,0,四庫全書/index.csv
四庫全書,,繹史,馬驌,清,160,2136,158,1,160,0,四庫全書/index.csv
四庫全書,,脾胃論,李杲,金朝,3,43547,0,1,3,0,四庫全書/index.csv
四庫全書,,草閣集,李昱|section=|times=明|previous=|next=|type=|from=四庫全書|notes=欽定四庫全書·集部六·别集類五 《草閣集（附筠谷詩）》,明|previous=|next=|type=|from=四庫全書|notes=欽定四庫全書·集部六·别集類五 《草閣集（附筠谷詩）》,1,50962,0,1,1,0,四庫全書/index.csv
四庫全書,,蘭亭考,,,5,1004,4,1,5,0,四庫全書/index.csv
四庫全書,,蘭室秘藏,李杲,金朝,3,2324,2,1,3,0,四庫全書/index.csv
四庫全書,,西漢年紀,,,30,60381,24,1,30,0,四庫全書/index.csv
四庫全書,,西漢會要,徐天麟|section=|times=南宋|previous=|next=|type=會要|from=四庫全書|,南宋|previous=|next=|type=會要|from=四庫全書|,70,318679,0,1,70,0,四庫全書/index.csv
四庫全書,,請旨益師疏,,,1,737,0,1,1,0,四庫全書/index.csv
四庫全書,,證類本草,唐慎微,宋,30,811652,0,1,30,0,四庫全書/index.csv
四庫全書,,識遺,,,10,1536,8,1,10,0,四庫全書/index.csv
四庫全書,,讀書後,,,10,57065,0,1,10,0,四庫全書/index.csv
四庫全書,,象臺首末,,,6,32266,0,1,6,0,四庫全書/index.csv
四庫全書,,路史,羅泌,宋,47,23252,25,1,47,0,四庫全書/index.csv
四庫全書,,通鑑紀事本末,袁樞,南宋,42,2133209,0,1,42,0,四庫全書/index.csv
四庫全書,,醫說,張杲,南宋,1,0,1,1,1,0,四庫全書/index.csv
四庫全書,,隸釋,洪适|section=|times=南宋|previous=|next=|type=金石書|from=四庫全書,南宋|previous=|next=|type=金石書|from=四庫全書,27,1719,26,1,27,0,四庫全書/index.csv
四庫全書,,青囊序,,,1,1196,0,1,1,0,四庫全書/index.csv
四庫全書,,靜夜思,,,1,151,0,1,1,0,四庫全書/index.csv
四庫全書,,麈史,王得臣,北宋,1,43234,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,寧海將軍固山貝子功績錄 (四庫全書本),,,1,10065,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,忠貞録 (四庫全書本),,,3,19102,0,1,3,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,朱子年譜 (四庫全書本),,,10,202534,0,1,10,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,紹陶録 (四庫全書本),,,2,15907,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,諸葛忠武書 (四庫全書本),,,10,55454,0,1,10,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,金佗稡編 (四庫全書本),,,58,266465,0,1,58,0,四庫全書/index.csv
四庫全書,史部/傳記類/名人之屬,魏鄭公諫續錄 (四庫全書本),,,2,22002,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,㢘吏傳 (四庫全書本),,,2,35913,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,中州人物考 (四庫全書本),,,8,101623,0,1,8,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,京口耆舊傳 (四庫全書本),,,9,68840,0,1,9,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,伊洛淵源録 (四庫全書本),,,14,73374,0,1,14,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,儒林宗派 (四庫全書本),,,16,24148,0,1,16,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,元儒考畧 (四庫全書本),,,4,23889,0,1,4,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,元名臣事畧 (四庫全書本),,,15,121934,0,1,15,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,古今列女傳 (四庫全書本),,,3,53331,0,1,3,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,史傳三編 (四庫全書本),,,56,584887,0,1,56,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,名臣碑傳琬琰集 (四庫全書本),,,107,543413,0,1,107,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,嘉靖以來首輔傳 (四庫全書本),,,8,71253,0,1,8,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,宋名臣言行錄 (四庫全書本),,,75,492399,0,1,75,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,寶祐四年登科録 (四庫全書本),,,4,14347,0,1,4,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,慶元黨禁 (四庫全書本),,,1,17023,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,敬鄉錄 (四庫全書本),,,14,95231,0,1,14,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,明儒言行録 (四庫全書本),,,12,291230,0,1,12,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,明名臣琬琰續録 (四庫全書本),,,21,132923,0,1,21,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,明名臣琬琰錄 (四庫全書本),,,24,175032,0,1,24,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,東林列傳 (四庫全書本),,,26,213834,0,1,26,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,欽定外藩蒙古回部王公表傳 (四庫全書本),,,120,340798,0,1,120,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,欽定宗室王公功績表傳 (四庫全書本),,,12,89373,0,1,12,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,殿閣詞林記 (四庫全書本),,,22,184614,0,1,22,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,浦陽人物記 (四庫全書本),,,2,16693,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,百越先賢志 (四庫全書本),,,4,23368,0,1,4,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,紹興十八年同年小錄 (四庫全書本),,,1,41108,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,錢塘先賢傳贊 (四庫全書本),,,1,9777,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/總錄之屬,閩中理學淵源考 (四庫全書本),,,92,506531,0,1,92,0,四庫全書/index.csv
四庫全書,史部/傳記類/聖賢之屬,東家雜記 (四庫全書本),,,2,17706,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/雜錄之屬,扈從西巡日録 (四庫全書本),,,1,9619,0,1,1,0,四庫全書/index.csv
四庫全書,史部/傳記類/雜錄之屬,松亭行紀 (四庫全書本),,,2,12783,0,1,2,0,四庫全書/index.csv
四庫全書,史部/傳記類/雜錄之屬,粤閩巡視紀略 (四庫全書本),,,6,111175,0,1,6,0,四庫全書/index.csv
四庫全書,史部/別史類,古今紀要 (四庫全書本),,,19,376643,0,1,19,0,四庫全書/index.csv
