Raw ID,Work,Region,Source level,Parent,Subdivision,Order,Volume,Exact source label,Source,Notes
TSJC-00001,欽定古今圖書集成,中國,彙編,,,0,,經濟彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00002,欽定古今圖書集成,中國,彙編,,,0,,理學彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00003,欽定古今圖書集成,中國,彙編,,,0,,物博彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00004,欽定古今圖書集成,中國,彙編,,,0,,濟經彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00005,欽定古今圖書集成,中國,彙編,,,0,,曆象彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00006,欽定古今圖書集成,中國,彙編,,,0,,明倫彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00007,欽定古今圖書集成,中國,彙編,,,0,,方輿彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00008,欽定古今圖書集成,中國,彙編,,,0,,方興彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00009,欽定古今圖書集成,中國,彙編,,,0,,博物彙編,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00010,欽定古今圖書集成,中國,典,博物彙編,神異典,0,,神異典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00011,欽定古今圖書集成,中國,典,博物彙編,禽蟲典,0,,禽蟲典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00012,欽定古今圖書集成,中國,典,博物彙編,草木典,0,,草木典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00013,欽定古今圖書集成,中國,典,博物彙編,藝術典,0,,藝術典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00014,欽定古今圖書集成,中國,典,方興彙編,職方典,0,,職方典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00015,欽定古今圖書集成,中國,典,方輿彙編,坤輿典,0,,坤輿典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00016,欽定古今圖書集成,中國,典,方輿彙編,山川典,0,,山川典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00017,欽定古今圖書集成,中國,典,方輿彙編,聯方典,0,,聯方典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00018,欽定古今圖書集成,中國,典,方輿彙編,職方典,0,,職方典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00019,欽定古今圖書集成,中國,典,方輿彙編,邊裔典,0,,邊裔典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00020,欽定古今圖書集成,中國,典,明倫彙編,交誼典,0,,交誼典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00021,欽定古今圖書集成,中國,典,明倫彙編,人事典,0,,人事典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00022,欽定古今圖書集成,中國,典,明倫彙編,官常典,0,,官常典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00023,欽定古今圖書集成,中國,典,明倫彙編,宮闈典,0,,宮闈典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00024,欽定古今圖書集成,中國,典,明倫彙編,家範典,0,,家範典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00025,欽定古今圖書集成,中國,典,明倫彙編,氏族典,0,,氏族典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00026,欽定古今圖書集成,中國,典,明倫彙編,皇極典,0,,皇極典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00027,欽定古今圖書集成,中國,典,明倫彙編,閨媛典,0,,閨媛典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00028,欽定古今圖書集成,中國,典,曆象彙編,乾象典,0,,乾象典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00029,欽定古今圖書集成,中國,典,曆象彙編,庶徵典,0,,庶徵典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00030,欽定古今圖書集成,中國,典,曆象彙編,曆法典,0,,曆法典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00031,欽定古今圖書集成,中國,典,曆象彙編,歲功典,0,,歲功典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00032,欽定古今圖書集成,中國,典,濟經彙編,戎政典,0,,戎政典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00033,欽定古今圖書集成,中國,典,物博彙編,藝術典,0,,藝術典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00034,欽定古今圖書集成,中國,典,理學彙編,字學典,0,,字學典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00035,欽定古今圖書集成,中國,典,理學彙編,學行典,0,,學行典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00036,欽定古今圖書集成,中國,典,理學彙編,文學典,0,,文學典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00037,欽定古今圖書集成,中國,典,理學彙編,經籍典,0,,經籍典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00038,欽定古今圖書集成,中國,典,經濟彙編,戎政典,0,,戎政典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00039,欽定古今圖書集成,中國,典,經濟彙編,樂律典,0,,樂律典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00040,欽定古今圖書集成,中國,典,經濟彙編,祥刑典,0,,祥刑典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00041,欽定古今圖書集成,中國,典,經濟彙編,禮儀典,0,,禮儀典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00042,欽定古今圖書集成,中國,典,經濟彙編,考工典,0,,考工典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00043,欽定古今圖書集成,中國,典,經濟彙編,選舉典,0,,選舉典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00044,欽定古今圖書集成,中國,典,經濟彙編,銓衡典,0,,銓衡典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00045,欽定古今圖書集成,中國,典,經濟彙編,食貨典,0,,食貨典,Fanya Hanwen corpus (Wikisource transcription),見卷端書名行。
TSJC-00046,欽定古今圖書集成,中國,部,神異典,神異總部,1,第八百二十四卷,神異總部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00047,欽定古今圖書集成,中國,部,神異典,皇天上帝部,2,第八卷,皇天上帝部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00048,欽定古今圖書集成,中國,部,神異典,后土皇地祇部,3,第十一卷,后土皇地祇部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00049,欽定古今圖書集成,中國,部,神異典,大明之神部,4,第十二卷,大明之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00050,欽定古今圖書集成,中國,部,神異典,夜明之神部,5,第十二卷,夜明之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00051,欽定古今圖書集成,中國,部,神異典,北斗之神部,6,第十三卷,北斗之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00052,欽定古今圖書集成,中國,部,神異典,五星五行之神部,7,第十四卷,五星五行之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00053,欽定古今圖書集成,中國,部,神異典,太一之神部,8,第十五卷,太一之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00054,欽定古今圖書集成,中國,部,神異典,文昌之神部,9,第十五卷,文昌之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00055,欽定古今圖書集成,中國,部,神異典,列星之神部,10,第十八卷,列星之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00056,欽定古今圖書集成,中國,部,神異典,風雲雷雨諸神部,11,第十九卷,風雲雷雨諸神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00057,欽定古今圖書集成,中國,部,神異典,東嶽泰山之神部,12,第二十卷,東嶽泰山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00058,欽定古今圖書集成,中國,部,神異典,南嶽衡山之神部,13,第二十二卷,南嶽衡山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00059,欽定古今圖書集成,中國,部,神異典,西嶽華山之神部,14,第二十二卷,西嶽華山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00060,欽定古今圖書集成,中國,部,神異典,北嶽恆山之神部,15,第二十三卷,北嶽恆山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00061,欽定古今圖書集成,中國,部,神異典,中嶽嵩山之神部,16,第二十四卷,中嶽嵩山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00062,欽定古今圖書集成,中國,部,神異典,東鎮沂山之神部,17,第二十五卷,東鎮沂山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00063,欽定古今圖書集成,中國,部,神異典,南鎮會稽山之神部,18,第二十五卷,南鎮會稽山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00064,欽定古今圖書集成,中國,部,神異典,西鎮吳山之神部,19,第二十五卷,西鎮吳山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00065,欽定古今圖書集成,中國,部,神異典,北鎮醫無閭山之神部,20,第二十五卷,北鎮醫無閭山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00066,欽定古今圖書集成,中國,部,神異典,中鎮霍山之神部,21,第二十五卷,中鎮霍山之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00067,欽定古今圖書集成,中國,部,神異典,東瀆淮水之神部,22,第二十五卷,東瀆淮水之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00068,欽定古今圖書集成,中國,部,神異典,南瀆江水之神部,23,第二十六卷,南瀆江水之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00069,欽定古今圖書集成,中國,部,神異典,西瀆河水之神部,24,第二十六卷,西瀆河水之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00070,欽定古今圖書集成,中國,部,神異典,北瀆濟水之神部,25,第二十六卷,北瀆濟水之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00071,欽定古今圖書集成,中國,部,神異典,海神部,26,第二十七卷,海神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00072,欽定古今圖書集成,中國,部,神異典,山川諸神部,27,第二十七卷,山川諸神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00073,欽定古今圖書集成,中國,部,神異典,社稷之神部,28,第三十卷,社稷之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00074,欽定古今圖書集成,中國,部,神異典,寒暑之神部,29,第三十一卷,寒暑之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00075,欽定古今圖書集成,中國,部,神異典,太歲之神部,30,第三十一卷,太歲之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00076,欽定古今圖書集成,中國,部,神異典,城隍之神部,31,第三十一卷,城隍之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00077,欽定古今圖書集成,中國,部,神異典,五祀之神部,32,第三十二卷,五祀之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00078,欽定古今圖書集成,中國,部,神異典,八蜡之神部,33,第三十二卷,八蜡之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00079,欽定古今圖書集成,中國,部,神異典,龍神部,34,第三十三卷,龍神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00080,欽定古今圖書集成,中國,部,神異典,馬神部,35,第三十三卷,馬神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
TSJC-00081,欽定古今圖書集成,中國,部,神異典,先農之神部,36,第三十三卷,先農之神部,Fanya Hanwen corpus (Wikisource transcription),彙編：博物彙編；典：神異典。部名見本卷目錄。
