Raw ID,Work,Region,Source level,Parent,Subdivision,Order,Volume,Exact source label,Source,Notes
YLTP-00001,永樂大典,中國,字目,,忠,1,卷之四百八十一,忠,Fanya Hanwen corpus (Wikisource transcription),所繫小目「忠義十六」。見於卷之四百八十一，所屬韻目「」。
YLTP-00002,永樂大典,中國,字目,,忠,1,卷之四百八十一,忠,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十一，所屬韻目「」。
YLTP-00003,永樂大典,中國,韻目,,,1,卷之四百八十六,一東,Fanya Hanwen corpus (Wikisource transcription),《永樂大典》按韻繫字，韻目為檢索結構，非主題分類；不得逕作主題類目使用。
YLTP-00004,永樂大典,中國,字目,一東,忠,1,卷之四百八十六,忠,Fanya Hanwen corpus (Wikisource transcription),所繫小目「忠傳二」。見於卷之四百八十六，所屬韻目「一東」。
YLTP-00005,永樂大典,中國,字目,一東,忠,1,卷之四百八十六,忠,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十六，所屬韻目「一東」。
YLTP-00006,永樂大典,中國,字目,一東,終,1,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00007,永樂大典,中國,字目,一東,無成有終,2,卷之四百八十九,無成有終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00008,永樂大典,中國,字目,一東,始善終,3,卷之四百八十九,始善終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00009,永樂大典,中國,字目,一東,終,4,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00010,永樂大典,中國,字目,一東,終,5,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00011,永樂大典,中國,字目,一東,告終,6,卷之四百八十九,告終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00012,永樂大典,中國,字目,一東,終,7,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00013,永樂大典,中國,字目,一東,桑終,8,卷之四百八十九,桑終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00014,永樂大典,中國,字目,一東,文,9,卷之四百八十九,文,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00015,永樂大典,中國,字目,一東,無終,10,卷之四百八十九,無終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00016,永樂大典,中國,字目,一東,終氏,11,卷之四百八十九,終氏,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00017,永樂大典,中國,字目,一東,終軍,12,卷之四百八十九,終軍,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00018,永樂大典,中國,字目,一東,終,1,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00019,永樂大典,中國,字目,一東,無成有終,2,卷之四百八十九,無成有終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00020,永樂大典,中國,字目,一東,始善終,3,卷之四百八十九,始善終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00021,永樂大典,中國,字目,一東,終,4,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00022,永樂大典,中國,字目,一東,終,5,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00023,永樂大典,中國,字目,一東,告終,6,卷之四百八十九,告終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00024,永樂大典,中國,字目,一東,終,7,卷之四百八十九,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00025,永樂大典,中國,字目,一東,桑終,8,卷之四百八十九,桑終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00026,永樂大典,中國,字目,一東,文,9,卷之四百八十九,文,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00027,永樂大典,中國,字目,一東,無終,10,卷之四百八十九,無終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00028,永樂大典,中國,字目,一東,終氏,11,卷之四百八十九,終氏,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00029,永樂大典,中國,字目,一東,終軍,12,卷之四百八十九,終軍,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百八十九，所屬韻目「一東」。
YLTP-00030,永樂大典,中國,字目,一東,終,1,卷之四百九十,終,Fanya Hanwen corpus (Wikisource transcription),見於卷之四百九十，所屬韻目「一東」。
