Raw ID,Work,Region,Source level,Parent,Subdivision,Order,Volume,Exact source label,Source,Notes
YJLH-00001,御定淵鑑𩔖函,中國,部,,,1,,天部,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,四十五部之一。部名依《目録》所題，卷次後綴（如「天部一」）為分卷序號，非另立之部。
YJLH-00002,御定淵鑑𩔖函,中國,子目,天部,天,1,第一卷,天,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第一卷」，所屬分卷標目「天部一」。
YJLH-00003,御定淵鑑𩔖函,中國,子目,天部,日,1,第二卷,日,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,原目附註：晷、災蝕附　見《目録》卷次「第二卷」，所屬分卷標目「天部二」。
YJLH-00004,御定淵鑑𩔖函,中國,子目,天部,月,1,第三卷,月,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,原目附註：災蝕附　見《目録》卷次「第三卷」，所屬分卷標目「天部三」。
YJLH-00005,御定淵鑑𩔖函,中國,子目,天部,星,1,第四卷,星,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,原目附註：災異附　見《目録》卷次「第四卷」，所屬分卷標目「天部四」。
YJLH-00006,御定淵鑑𩔖函,中國,子目,天部,天漢,1,第五卷,天漢,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第五卷」，所屬分卷標目「天部五」。
YJLH-00007,御定淵鑑𩔖函,中國,子目,天部,雲,2,第五卷,雲,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,原目附註：瑞雲并入　見《目録》卷次「第五卷」，所屬分卷標目「天部五」。
YJLH-00008,御定淵鑑𩔖函,中國,子目,天部,風,1,第六卷,風,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第六卷」，所屬分卷標目「天部六」。
YJLH-00009,御定淵鑑𩔖函,中國,子目,天部,雨,1,第七卷,雨,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第七卷」，所屬分卷標目「天部七」。
YJLH-00010,御定淵鑑𩔖函,中國,子目,天部,雷,1,第八卷,雷,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,原目附註：霹3827附　見《目録》卷次「第八卷」，所屬分卷標目「天部八」。
YJLH-00011,御定淵鑑𩔖函,中國,子目,天部,電,2,第八卷,電,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第八卷」，所屬分卷標目「天部八」。
YJLH-00012,御定淵鑑𩔖函,中國,子目,天部,雪,1,第九卷,雪,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第九卷」，所屬分卷標目「天部九」。
YJLH-00013,御定淵鑑𩔖函,中國,子目,天部,霰,2,第九卷,霰,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第九卷」，所屬分卷標目「天部九」。
YJLH-00014,御定淵鑑𩔖函,中國,子目,天部,雹,3,第九卷,雹,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第九卷」，所屬分卷標目「天部九」。
YJLH-00015,御定淵鑑𩔖函,中國,子目,天部,露,1,第十卷,露,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十卷」，所屬分卷標目「天部十」。
YJLH-00016,御定淵鑑𩔖函,中國,子目,天部,霜,2,第十卷,霜,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十卷」，所屬分卷標目「天部十」。
YJLH-00017,御定淵鑑𩔖函,中國,子目,天部,霧,3,第十卷,霧,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十卷」，所屬分卷標目「天部十」。
YJLH-00018,御定淵鑑𩔖函,中國,子目,天部,虹霓,1,第十一卷,虹霓,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十一卷」，所屬分卷標目「天部十一」。
YJLH-00019,御定淵鑑𩔖函,中國,子目,天部,霞,2,第十一卷,霞,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十一卷」，所屬分卷標目「天部十一」。
YJLH-00020,御定淵鑑𩔖函,中國,子目,天部,霽,3,第十一卷,霽,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十一卷」，所屬分卷標目「天部十一」。
YJLH-00021,御定淵鑑𩔖函,中國,子目,天部,氣,4,第十一卷,氣,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十一卷」，所屬分卷標目「天部十一」。
YJLH-00022,御定淵鑑𩔖函,中國,子目,天部,霄,5,第十一卷,霄,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十一卷」，所屬分卷標目「天部十一」。
YJLH-00023,御定淵鑑𩔖函,中國,部,,,2,,歲時部,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,四十五部之一。部名依《目録》所題，卷次後綴（如「天部一」）為分卷序號，非另立之部。
YJLH-00024,御定淵鑑𩔖函,中國,子目,歲時部,四時總載,1,第十二卷,四時總載,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十二卷」，所屬分卷標目「歲時部一」。
YJLH-00025,御定淵鑑𩔖函,中國,子目,歲時部,律,2,第十二卷,律,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十二卷」，所屬分卷標目「歲時部一」。
YJLH-00026,御定淵鑑𩔖函,中國,子目,歲時部,厯,3,第十二卷,厯,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十二卷」，所屬分卷標目「歲時部一」。
YJLH-00027,御定淵鑑𩔖函,中國,子目,歲時部,隂陽,4,第十二卷,隂陽,https://zh.wikisource.org/wiki/御定淵鑑𩔖函_(四庫全書本)/目録卷1,見《目録》卷次「第十二卷」，所屬分卷標目「歲時部一」。
