leishu,cited_work,citations,match,resolved
事物紀原,通典,149,author-prefix-stripped,1
事物紀原,世本,43,exact,1
事物紀原,史記,37,line-initial,1
事物紀原,禮記,26,line-initial,1
事物紀原,吕氏春秋,25,exact,1
事物紀原,山海經,22,exact,1
事物紀原,談苑,20,author-prefix-stripped,1
事物紀原,帝王世紀,19,exact,1
事物紀原,古史考,18,author-prefix-stripped,1
事物紀原,管子,17,author-prefix-stripped,1
事物紀原,西京雜記,17,line-initial,1
事物紀原,古今注,16,exact,1
事物紀原,酉陽雜俎,16,exact,1
事物紀原,周書,14,exact,1
事物紀原,淮南子,13,classic-unheld,1
事物紀原,尚書,13,line-initial,1
事物紀原,釋名,13,exact,1
事物紀原,漢書,13,line-initial,1
事物紀原,說文解字,12,alias,1
事物紀原,博物志,12,author-prefix-stripped,1
事物紀原,文心雕龍,11,author-prefix-stripped,1
事物紀原,尸子,11,exact,1
事物紀原,列子,9,exact,1
事物紀原,拾遺記,9,author-prefix-stripped,1
事物紀原,史略,9,author-prefix-stripped,1
事物紀原,墨子,9,exact,1
事物紀原,異苑,8,exact,1
事物紀原,續漢書,7,line-initial,1
事物紀原,春秋左氏傳,6,line-initial,1
事物紀原,爾雅,6,classic-unheld,1
事物紀原,楊文公談苑,6,exact,1
事物紀原,風俗,5,line-initial,1
事物紀原,孟子,5,classic-unheld,1
事物紀原,初學記,5,exact,1
事物紀原,鄴中記,5,author-prefix-stripped,1
事物紀原,風俗通義,4,alias,1
事物紀原,後漢書,4,line-initial,1
事物紀原,蘇氏演義,4,exact,1
事物紀原,列女傳,4,exact,1
事物紀原,穆天子傳,4,exact,1
事物紀原,搜神記,4,exact,1
事物紀原,六韜,4,exact,1
事物紀原,國語,4,exact,1
事物紀原,廣雅,4,exact,1
事物紀原,方言,4,exact,1
事物紀原,物理論,3,exact,1
事物紀原,隋書,3,line-initial,1
事物紀原,樂書,3,exact,1
事物紀原,續齊諧記,3,author-prefix-stripped,1
事物紀原,太白隂經,3,exact,1
事物紀原,孫子,3,exact,1
事物紀原,酉陽雜爼,2,exact,1
事物紀原,劉向,2,line-initial,1
