leishu,category_path,category_leaf,cited_work,citations,genmoku
事物紀原,䃺古磨字,䃺古磨字,後漢書,2,0
事物紀原,䃺古磨字,䃺古磨字,吕氏春秋,2,0
事物紀原,䃺古磨字,䃺古磨字,世本,2,0
事物紀原,䃺古磨字,䃺古磨字,搜神記,2,0
事物紀原,䃺古磨字,䃺古磨字,新論,1,0
事物紀原,三省綱轄部二十二,三省綱轄部二十二,尚書,1,0
事物紀原,三省綱轄部二十二,三省綱轄部二十二,通典,1,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,帝王世紀,2,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,周易正義,2,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,通典,2,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,歸藏,1,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,漢書,1,0
事物紀原,上聽八風之氣乃畫八卦,上聽八風之氣乃畫八卦,史記,1,0
事物紀原,世,世,吕氏春秋,2,0
事物紀原,世,世,史記,2,0
事物紀原,中又増置順容之官,中又増置順容之官,通典,5,0
事物紀原,中又増置順容之官,中又増置順容之官,南史,1,0
事物紀原,中又増置順容之官,中又増置順容之官,春秋左氏傳,1,0
事物紀原,中古有號死而以行為諡,中古有號死而以行為諡,穆天子傳,2,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,博物志,4,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,世説新語,1,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,劉向,1,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,禮記,1,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,藝文類聚,1,0
事物紀原,中古有號死而以行為諡 > 博弈嬉戯部四十八,博弈嬉戯部四十八,說文解字,1,0
事物紀原,之以事而諭諸徳之義 > 九寺卿少部二十四,九寺卿少部二十四,禮記,2,0
事物紀原,之以事而諭諸徳之義 > 九寺卿少部二十四,九寺卿少部二十四,初學記,1,0
事物紀原,之初始有此官,之初始有此官,歸田録,1,0
事物紀原,之初有三白鳥故生衆鳥 > 正朔厯數部二,正朔厯數部二,世本,2,1
事物紀原,之則史之原起於黄帝,之則史之原起於黄帝,文心雕龍,4,0
事物紀原,之則史之原起於黄帝,之則史之原起於黄帝,樂書,2,0
事物紀原,之則史之原起於黄帝,之則史之原起於黄帝,詩序,2,0
事物紀原,之則史之原起於黄帝,之則史之原起於黄帝,管子,2,0
事物紀原,之則史之原起於黄帝,之則史之原起於黄帝,史記,1,0
事物紀原,之則史之原起於黄帝 > 官爵封建部十八,官爵封建部十八,通典,2,0
事物紀原,之則史之原起於黄帝 > 官爵封建部十八,官爵封建部十八,帝王世紀,2,0
事物紀原,之則史之原起於黄帝 > 官爵封建部十八,官爵封建部十八,史記,1,0
事物紀原,之則史之原起於黄帝 > 官爵封建部十八,官爵封建部十八,政論,1,0
事物紀原,之則防别金節取茲義爾,之則防别金節取茲義爾,古今注,4,0
事物紀原,之則防别金節取茲義爾,之則防别金節取茲義爾,管子,2,0
事物紀原,之則防别金節取茲義爾,之則防别金節取茲義爾,世本,2,0
事物紀原,之味同食,之味同食,鄴中記,2,0
事物紀原,之始,之始,禮記,1,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,吕氏春秋,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,管子,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,淮南子,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,釋名,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,說文解字,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,古史考,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,楊文公談苑,2,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,世本,1,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,爾雅,1,0
事物紀原,之始 > 城市藩禦部四十四,城市藩禦部四十四,史記,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,爾雅,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,史記,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,韓詩外傳,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,說文解字,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,列子,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,釋名,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,帝王世紀,2,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,蘇氏演義,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,白虎通,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,管子,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,漢書,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,周書,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,孟子,1,0
事物紀原,之始 > 宫室居處部四十三,宫室居處部四十三,尸子,1,0
事物紀原,乎備,乎備,通典,2,0
事物紀原,也今人亦謂之唱題目,也今人亦謂之唱題目,春秋左氏傳,2,0
事物紀原,也今人亦謂之唱題目 > 戎容兵械部四十九,戎容兵械部四十九,世本,3,0
事物紀原,也今人亦謂之唱題目 > 戎容兵械部四十九,戎容兵械部四十九,管子,2,0
事物紀原,也今人亦謂之唱題目 > 戎容兵械部四十九,戎容兵械部四十九,吕氏春秋,1,0
事物紀原,也今人亦謂之唱題目 > 戎容兵械部四十九,戎容兵械部四十九,拾遺記,1,0
事物紀原,事未知孰是,事未知孰是,鄴中記,3,0
事物紀原,事未知孰是,事未知孰是,續漢書,2,0
事物紀原,事未知孰是,事未知孰是,風俗通義,1,0
事物紀原,事未知孰是,事未知孰是,風俗,1,0
事物紀原,事雜用士人唐用流外,事雜用士人唐用流外,通典,2,0
事物紀原,事雜用士人唐用流外 > 布帛雜事部五十三,布帛雜事部五十三,管子,2,0
事物紀原,事雜用士人唐用流外 > 布帛雜事部五十三,布帛雜事部五十三,通典,2,0
事物紀原,事雜用士人唐用流外 > 布帛雜事部五十三,布帛雜事部五十三,國語,1,0
事物紀原,于鑚木造火之後,于鑚木造火之後,尸子,4,0
事物紀原,于鑚木造火之後,于鑚木造火之後,世本,2,0
事物紀原,于鑚木造火之後,于鑚木造火之後,古史考,2,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,古史考,6,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,周書,4,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,談苑,4,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,酒經,2,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,吕氏春秋,2,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,楊文公談苑,2,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,世本,2,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,博物志,1,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,歸田録,1,0
事物紀原,于鑚木造火之後 > 酒醴飲食部四十六,酒醴飲食部四十六,茶録,1,0
