cited_head,citations,leishu_count,leishu
魏略,494,15,事物紀原；事類賦；初學記；北堂書鈔；喻林；太平御覽
廣志,431,17,事物紀原；事類賦；六帖補；初學記；北堂書鈔；喻林
晉中興書,431,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
十道志,308,6,事類賦；初學記；圖書編；太平御覽；御定淵鑑𩔖函；玉海
語林,268,10,事類賦；初學記；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函
本草經,257,5,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
春秋元命苞,239,11,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
三國典略,224,4,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函
郡國志,208,7,事類賦；北堂書鈔；圖書編；天中記；太平御覽；御定淵鑑𩔖函
王隱晉書,195,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
孝經援神契,192,12,事類賦；初學記；北堂書鈔；喻林；太平御覽；廣博物志
晏子,177,20,事類賦；冊府元龜；初學記；北堂書鈔；古今合璧事類備要；圖書編
應劭,171,25,初學記；北堂書鈔；古今事文類聚；古今合璧事類備要；古今姓氏書辯證；古今源流至論
應劭漢官儀,165,10,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；玉海
古詩,163,11,事類賦；初學記；北堂書鈔；太平御覽；山堂肆考；御定淵鑑𩔖函
六典,160,9,事物紀原；北堂書鈔；古今源流至論；太平御覽；御定淵鑑𩔖函；御定駢字類編
風土記,154,11,事類賦；初學記；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函
漢武内傳,150,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
春秋運斗樞,148,9,事物紀原；事類賦；初學記；北堂書鈔；喻林；太平御覽
孔帖,146,1,御定淵鑑𩔖函
漢舊儀,142,12,初學記；北堂書鈔；古今源流至論；太平御覽；廣博物志；御定淵鑑𩔖函
幽明録,139,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
捜神記,138,6,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
荆州記,136,10,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
月令,136,13,初學記；北堂書鈔；圖書編；太平御覽；御定分類字錦；御定淵鑑𩔖函
一統志,136,1,御定淵鑑𩔖函
廣輿記,135,1,御定淵鑑𩔖函
通鑑,134,3,御定淵鑑𩔖函；玉海；羣書考索
吳越春秋,133,9,事類賦；初學記；北堂書鈔；喻林；太平御覽；廣博物志
異物志,132,11,事類賦；初學記；北堂書鈔；天中記；太平御覽；御定佩文韻府
禮記月令,130,9,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
姓苑,130,5,元和姓纂；古今合璧事類備要；古今姓氏書辯證；名賢氏族言行類稿；萬姓統譜
又詩,129,7,全芳備祖集；初學記；太平御覽；御定淵鑑𩔖函；玉海；藝文類聚
郭璞,129,17,初學記；北堂書鈔；古今事文類聚；古今合璧事類備要；太平御覽；山堂肆考
典略,128,10,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定子史精華
江表傳,128,9,事類賦；北堂書鈔；太平御覽；廣博物志；御定淵鑑𩔖函；白孔六帖
本草,127,16,事物紀原；事類賦；六帖補；初學記；古今事文類聚；太平御覽
五代史,127,2,太平御覽；御定淵鑑𩔖函
晉起居注,126,9,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
鄭𤣥,126,19,初學記；北堂書鈔；古今事文類聚；古今合璧事類備要；喻林；圖書編
朱子,126,10,圖書編；小學紺珠；山堂肆考；御定淵鑑𩔖函；御定駢字類編；玉海
十洲記,122,9,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
南越志,121,12,事類賦；初學記；北堂書鈔；天中記；太平御覽；御定淵鑑𩔖函
禮斗威儀,121,10,事類賦；初學記；北堂書鈔；喻林；太平御覽；御定淵鑑𩔖函
如淳,119,14,事物紀原；初學記；圖書編；天中記；太平御覽；御定佩文韻府
丨丨,119,7,古今合璧事類備要；御定佩文韻府；御定分類字錦；御定子史精華；御定韻府拾遺；御定駢字類編
河圖,117,16,事類賦；六帖補；初學記；北堂書鈔；古今合璧事類備要；圖書編
越絶書,115,12,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；格致鏡原
東宫舊事,114,7,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
春秋說題辭,110,10,事類賦；初學記；北堂書鈔；圖書編；天中記；太平御覽
東坡,107,17,全芳備祖集；八面鋒；古今事文類聚；古今合璧事類備要；古今源流至論；名賢氏族言行類稿
𤣥中記,106,11,事物紀原；事類賦；初學記；北堂書鈔；圖書編；太平御覽
㑹要,104,3,事物紀原；御定淵鑑𩔖函；玉海
汝南先賢傳,104,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖；藝文類聚
尚書中候,103,13,事類賦；初學記；北堂書鈔；太平御覽；廣博物志；御定佩文韻府
盛𢎞之荆州記,102,8,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
述征記,102,11,事類賦；初學記；北堂書鈔；圖書編；天中記；太平御覽
晉令,101,12,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
鄭注,101,8,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；御定駢字類編；格致鏡原
益部耆舊傳,96,7,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事；編珠
夢書,90,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；白孔六帖
符子,90,10,事類賦；初學記；北堂書鈔；喻林；太平御覽；山堂肆考
圖經,90,7,北堂書鈔；天中記；太平御覽；御定分類字錦；御定淵鑑𩔖函；海録碎事
羣芳譜,90,1,御定淵鑑𩔖函
五經通義,88,11,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；海録碎事
文選,87,13,北堂書鈔；古今事文類聚；古今姓氏書辯證；太平御覽；山堂肆考；御定淵鑑𩔖函
㑹稽典録,86,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠；藝文類聚
曲禮,86,10,事類賦；北堂書鈔；古今事文類聚；圖書編；天中記；太平御覽
文士傳,85,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；御定駢字類編
瑞應圖,84,13,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
吳録,83,9,事類賦；初學記；北堂書鈔；太平御覽；御定子史精華；御定淵鑑𩔖函
宋朝㑹要,82,1,事物紀原
輿地志,82,6,事類賦；初學記；天中記；太平御覽；御定淵鑑𩔖函；玉海
易通卦驗,82,10,事類賦；初學記；北堂書鈔；圖書編；天中記；太平御覽
嶺表録異,82,3,事類賦；太平御覽；御定淵鑑𩔖函
齊職儀,81,11,事物紀原；六帖補；初學記；古今事文類聚；太平御覽；御定淵鑑𩔖函
洞㝠記,80,7,事類賦；六帖補；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
鄭𤣥注,80,9,初學記；北堂書鈔；圖書編；天中記；太平御覽；廣博物志
春秋考異郵,79,6,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
吳氏本草,79,6,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；藝文類聚
太史公,79,19,冊府元龜；北堂書鈔；古今事文類聚；古今合璧事類備要；古今姓氏書辯證；名賢氏族言行類稿
孟康,78,23,古今合璧事類備要；古今源流至論；喻林；圖書編；天中記；太平御覽
通俗文,77,9,事物紀原；事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
漢官,77,7,事物紀原；初學記；太平御覽；御定淵鑑𩔖函；海録碎事；玉海
俗說,77,6,事類賦；北堂書鈔；太平御覽；御定淵鑑𩔖函；格致鏡原；藝文類聚
續漢書百官志,77,4,初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函
臨海異物志,76,7,事類賦；初學記；北堂書鈔；太平御覽；御定淵鑑𩔖函；編珠
地理志,74,12,事類賦；初學記；北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函
樂記,74,8,北堂書鈔；圖書編；太平御覽；御定淵鑑𩔖函；玉海；白孔六帖
