edition,testament,book,chapter,unit,file,verses,chars,source_url
文理和合,舊約,創世記,1,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第一章.txt,31,680,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,2,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二章.txt,25,506,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,3,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三章.txt,24,604,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,4,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四章.txt,26,605,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,5,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第五章.txt,32,430,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,6,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第六章.txt,22,469,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,7,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第七章.txt,24,454,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,8,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第八章.txt,22,420,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,9,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第九章.txt,29,559,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,10,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十章.txt,32,648,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,11,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十一章.txt,32,543,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,12,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十二章.txt,20,479,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,13,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十三章.txt,18,423,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,14,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十四章.txt,24,694,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,15,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十五章.txt,21,485,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,16,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十六章.txt,16,418,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,17,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十七章.txt,27,643,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,18,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十八章.txt,33,804,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,19,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第十九章.txt,38,926,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,20,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十章.txt,18,466,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,21,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十一章.txt,34,745,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,22,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十二章.txt,24,594,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,23,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十三章.txt,20,484,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,24,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十四章.txt,67,1597,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,25,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十五章.txt,34,788,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,26,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十六章.txt,35,832,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,27,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十七章.txt,46,1094,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,28,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十八章.txt,22,551,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,29,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第二十九章.txt,35,738,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,30,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十章.txt,43,1010,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,31,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十一章.txt,55,1365,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,32,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十二章.txt,32,762,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,33,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十三章.txt,20,437,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,34,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十四章.txt,31,692,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,35,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十五章.txt,29,669,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,36,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十六章.txt,43,1037,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,37,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十七章.txt,36,810,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,38,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十八章.txt,30,683,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,39,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第三十九章.txt,23,489,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,40,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十章.txt,23,439,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,41,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十一章.txt,57,1213,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,42,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十二章.txt,38,907,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,43,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十三章.txt,34,809,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,44,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十四章.txt,34,753,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,45,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十五章.txt,28,669,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,46,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十六章.txt,34,839,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,47,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十七章.txt,31,814,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,48,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十八章.txt,22,642,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,49,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第四十九章.txt,33,810,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,創世記,50,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/創世記/第五十章.txt,26,636,https://zh.wikisource.org/wiki/聖經_(文理和合)/創世記
文理和合,舊約,出埃及記,1,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/出埃及記/第一章.txt,22,424,https://zh.wikisource.org/wiki/聖經_(文理和合)/出埃及記
文理和合,舊約,出埃及記,2,章,中國漢文/clean/中華民國/中華民國/聖經 (文理和合譯本)/舊約/出埃及記/第二章.txt,25,560,https://zh.wikisource.org/wiki/聖經_(文理和合)/出埃及記
