work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/中山詩話,劉攽,wikisource,,,,,,,,False,,missing_page
不詳/中山詩話,劉攽,wikisource,,,,,,,,False,,missing_page
不詳/中山詩話,劉攽,wikipedia,劉攽,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%94%BD,1022,1088,北宋,death_year_1088_le_1127,categories,True,1022年出生；1088年逝世,resolved
不詳/丹房奧論,程了一,wikisource,,,,,,,,False,,missing_page
不詳/丹房奧論,程了一,wikisource,,,,,,,,False,,missing_page
不詳/丹房奧論,程了一,wikipedia,,,,,,,,False,,missing_page
不詳/久旱微雨,江公著,wikisource,,,,,,,,False,,missing_page
不詳/久旱微雨,江公著,wikisource,,,,,,,,False,,missing_page
不詳/久旱微雨,江公著,wikipedia,,,,,,,,False,,missing_page
不詳/九日寄秦覯,陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/事師法五十頌,馬鳴菩薩,wikisource,Author:馬鳴菩薩,https://zh.wikisource.org/wiki/Author:%E9%A6%AC%E9%B3%B4%E8%8F%A9%E8%96%A9,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/事師法五十頌,馬鳴菩薩,wikipedia,,,,,,,,False,,missing_page
不詳/五代名畫補遺,劉道醇,wikisource,,,,,,,,False,,missing_page
不詳/五代名畫補遺,劉道醇,wikisource,,,,,,,,False,,missing_page
不詳/五代名畫補遺,劉道醇,wikipedia,,,,,,,,False,,missing_page
不詳/五嶽祠盟記,岳飛,wikisource,Author:岳飛,https://zh.wikisource.org/wiki/Author:%E5%B2%B3%E9%A3%9B,1103,1142,南宋,death_year_1142_gt_1127,categories,True,1103年出生；1142年逝世,resolved
不詳/亶甲集,趙民,wikisource,,,,,,,,False,,missing_page
不詳/亶甲集,趙民,wikisource,,,,,,,,False,,missing_page
不詳/亶甲集,趙民,wikipedia,,,,,,,,False,,missing_page
不詳/仲景傷寒補亡論,郭雍,wikisource,,,,,,,,False,,missing_page
不詳/仲景傷寒補亡論,郭雍,wikisource,,,,,,,,False,,missing_page
不詳/仲景傷寒補亡論,郭雍,wikipedia,郭雍,https://zh.wikipedia.org/wiki/%E9%83%AD%E9%9B%8D,1102,1187,南宋,death_year_1187_gt_1127,categories,True,1102年出生；1187年逝世,resolved
