status,note,source_folder,target_folder,work_rel,source_path,target_path,authors,date_evidence,file_count
moved,,不詳,北宋,中山詩話,不詳/中山詩話,北宋/中山詩話,劉攽,劉攽:wikipedia:1088:1022:death_year_1088_le_1127,1
moved,,不詳,北宋,九日寄秦覯,不詳/九日寄秦覯,北宋/九日寄秦覯,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,五嶽祠盟記,不詳/五嶽祠盟記,南宋/五嶽祠盟記,岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,南宋,仲景傷寒補亡論,不詳/仲景傷寒補亡論,南宋/仲景傷寒補亡論,郭雍,郭雍:wikipedia:1187:1102:death_year_1187_gt_1127,1
moved,,不詳,北宋,任所寄鄉關故舊,不詳/任所寄鄉關故舊,北宋/任所寄鄉關故舊,周敦頤,周敦頤:wikisource:1073:1017:death_year_1073_le_1127,1
moved,,不詳,北宋,伍子胥廟,不詳/伍子胥廟,北宋/伍子胥廟,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,佛說八種長養功德經,不詳/佛說八種長養功德經,北宋/佛說八種長養功德經,法護,法護:wikisource:1058:963:death_year_1058_le_1127,1
moved,,不詳,北宋,佛說大乘入諸佛境界智光明莊嚴經,不詳/佛說大乘入諸佛境界智光明莊嚴經,北宋/佛說大乘入諸佛境界智光明莊嚴經,法護,法護:wikisource:1058:963:death_year_1058_le_1127,1
moved,,不詳,南宋,促織經 (賈似道),不詳/促織經 (賈似道),南宋/促織經 (賈似道),賈似道,賈似道:wikipedia:1275:1213:death_year_1275_gt_1127,2
moved,,不詳,南宋,儒言,不詳/儒言,南宋/儒言,晁說之,晁說之:wikisource:1129:1059:death_year_1129_gt_1127,1
moved,,不詳,北宋,公孫龍子,不詳/公孫龍子,北宋/公孫龍子,謝希深,謝希深:wikipedia:1039:994:death_year_1039_le_1127,1
moved,,不詳,北宋,冬日晚望,不詳/冬日晚望,北宋/冬日晚望,陳摶,陳摶:wikipedia:989::death_year_989_le_1127,1
moved,,不詳,北宋,別三子,不詳/別三子,北宋/別三子,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,別鶴曲,不詳/別鶴曲,南宋/別鶴曲,李復,李復:wikipedia:1128:1052:death_year_1128_gt_1127,1
moved,,不詳,北宋,劉表廟,不詳/劉表廟,北宋/劉表廟,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,南宋,北邊備對,不詳/北邊備對,南宋/北邊備對,程大昌,程大昌:wikipedia:1195:1123:death_year_1195_gt_1127,1
moved,,不詳,北宋,千秋歲 (謝逸),不詳/千秋歲 (謝逸),北宋/千秋歲 (謝逸),謝逸,謝逸:wikisource:1113::death_year_1113_le_1127,1
moved,,不詳,南宋,却聘書,不詳/却聘書,南宋/却聘書,謝枋得,謝枋得:wikipedia:1289:1226:death_year_1289_gt_1127,1
moved,,不詳,北宋,嘲秦覯,不詳/嘲秦覯,北宋/嘲秦覯,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,南宋,四六話,不詳/四六話,南宋/四六話,王銍,王銍:wikipedia:1144::death_year_1144_gt_1127,1
moved,,不詳,北宋,四逸臺,不詳/四逸臺,北宋/四逸臺,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,城南寓居,不詳/城南寓居,北宋/城南寓居,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,墨池,不詳/墨池,北宋/墨池,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,南宋,墨經,不詳/墨經,南宋/墨經,晁說之,晁說之:wikisource:1129:1059:death_year_1129_gt_1127,1
moved,,不詳,北宋,天封觀將軍柏,不詳/天封觀將軍柏,北宋/天封觀將軍柏,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,南宋,如夢令 (李清照),不詳/如夢令 (李清照),南宋/如夢令 (李清照),李清照,李清照:wikisource:1155:1084:death_year_1155_gt_1127,1
moved,,不詳,南宋,孔子編年,不詳/孔子編年,南宋/孔子編年,胡仔,胡仔:wikisource:1170:1095:death_year_1170_gt_1127,5
review,target_work_folder_exists,不詳,北宋,宋太宗實錄,不詳/宋太宗實錄,北宋/宋太宗實錄,錢若水,錢若水:wikipedia:1003:960:death_year_1003_le_1127,20
moved,,不詳,南宋,宋江三十六贊並序,不詳/宋江三十六贊並序,南宋/宋江三十六贊並序,龔開,龔開:wikipedia::1222:birth_year_1222_ge_1127_death_unknown,1
moved,,不詳,北宋,客中初夏,不詳/客中初夏,北宋/客中初夏,司馬光,司馬光:wikisource:1086:1019:death_year_1086_le_1127,1
