priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,one_or_more_authors_have_no_usable_date,不詳/丹房奧論,程了一,程了一,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/久旱微雨,江公著,江公著,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/事師法五十頌,馬鳴菩薩,馬鳴菩薩,,1,,,
low,no_author_candidate,不詳/事林廣記,,,,6,事林廣記 | 事林廣記__juan_01.txt | 事林廣記/別集 | 事林廣記__juan_02.txt | 事林廣記/前集 | 事林廣記__juan_03.txt,,
low,no_author_candidate,不詳/事物紀原,,,,2,事物紀原 | 事物紀原__juan_01.txt | 事物紀原/卷一 | 事物紀原__juan_02.txt | 事物紀原/卷十,,
low,no_author_candidate,不詳/二程粹言,,,,2,二程粹言 | 二程粹言__juan_01.txt | 二程粹言/卷一 | 二程粹言__juan_02.txt | 二程粹言/卷二,,
low,one_or_more_authors_have_no_usable_date,不詳/五代名畫補遺,劉道醇,劉道醇,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/亶甲集,趙民,趙民,,1,,,
low,no_author_candidate,不詳/人天眼目,,,,6,人天眼目 | 人天眼目__juan_01.txt | 人天眼目/卷001 | 人天眼目__juan_02.txt | 人天眼目/卷002 | 人天眼目__juan_03.txt,,
low,no_author_candidate,不詳/仁王護國般若波羅蜜經疏神寶記,,,,4,仁王護國般若波羅蜜經疏神寶記 | 仁王護國般若波羅蜜經疏神寶記__juan_01.txt | 仁王護國般若波羅蜜經疏神寶記/卷001 | 仁王護國般若波羅蜜經疏神寶記__juan_02.txt | 仁王護國般若波羅蜜經疏神寶記/卷002 | 仁王護國般若波羅蜜經疏神寶記__juan_03.txt,,
low,no_author_candidate,不詳/伊川擊壤集,,,,20,伊川擊壤集 | 伊川擊壤集__juan_01.txt | 伊川擊壤集/1 | 伊川擊壤集__juan_02.txt | 伊川擊壤集/10 | 伊川擊壤集__juan_03.txt,,
low,no_author_candidate,不詳/佛吉祥德讚,,,,3,佛吉祥德讚 | 佛吉祥德讚__juan_01.txt | 佛吉祥德讚/卷001 | 佛吉祥德讚__juan_02.txt | 佛吉祥德讚/卷002 | 佛吉祥德讚__juan_03.txt,,
low,no_author_candidate,不詳/佛母般若波羅蜜多圓集要義釋論,,,,4,佛母般若波羅蜜多圓集要義釋論 | 佛母般若波羅蜜多圓集要義釋論__juan_01.txt | 佛母般若波羅蜜多圓集要義釋論/卷第 01 | 佛母般若波羅蜜多圓集要義釋論__juan_02.txt | 佛母般若波羅蜜多圓集要義釋論/卷第 02 | 佛母般若波羅蜜多圓集要義釋論__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/佛說優婆塞五戒相經,求那跋摩,求那跋摩,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/佛說十一想思念如來經,求那跋陀羅,求那跋陀羅,,1,,,
