display_name	ja_page_title	aliases	region_ja	province_ja	date_hint	raw_ja_line
設立後、すぐに廃藩となった藩などは記されていない場合がある。	設立後、すぐに廃藩となった藩などは記されていない場合がある。	""				設立後、すぐに廃藩となった藩などは記されていない場合がある。
松前藩	松前藩	館藩	北海道地方	渡島国		松前藩（館藩）
斗南藩	斗南藩	""	東北地方	陸奥国		斗南藩
七戸藩	七戸藩	盛岡藩支藩; 1819年 - 	東北地方	陸奥国	（1819年 - ）	七戸藩（盛岡藩支藩）（1819年 - ）
弘前藩	弘前藩	""	東北地方	陸奥国		弘前藩
黒石藩	黒石藩	弘前藩支藩; 1656年 - 	東北地方	陸奥国	（1656年 - ）	黒石藩（弘前藩支藩）（1656年 - ）
八戸藩	八戸藩	1664年 - 	東北地方	陸奥国	（1664年 - ）	八戸藩（1664年 - ）
盛岡藩	盛岡藩	""	東北地方	陸中国		盛岡藩
一関藩	一関藩	仙台藩支藩; 1660年 - 	東北地方	陸中国	（1660年 - ）	一関藩（仙台藩支藩）（1660年 - ）
仙台藩	仙台藩	""	東北地方	陸前国		仙台藩
岩沼藩	岩沼藩	仙台藩支藩; 1662年 - 	東北地方	陸前国	（1662年 - ）	岩沼藩（仙台藩支藩）（1662年 - ）
中津山藩	中津山藩	仙台藩支藩; 1695年 - 	東北地方	陸前国	（1695年 - ）	中津山藩（仙台藩支藩）（1695年 - ）
久保田藩	久保田藩	秋田藩; 1602年 - 	東北地方	羽後国	（1602年 - ）	久保田藩（秋田藩）（1602年 - ）
岩崎藩	岩崎藩	久保田藩支藩; 1701年 - 	東北地方	羽後国	（1701年 - ）	岩崎藩（久保田藩支藩）（1701年 - ）
亀田藩	亀田藩	1623年 - 	東北地方	羽後国	（1623年 - ）	亀田藩（1623年 - ）
本荘藩	本荘藩	1623年 - 	東北地方	羽後国	（1623年 - ）	本荘藩（1623年 - ）
矢島藩	矢島藩	1640年 - 	東北地方	羽後国	（1640年 - ）	矢島藩（1640年 - ）
久保田新田藩	久保田新田藩	久保田藩支藩; 1701年 - 	東北地方	羽後国	（1701年 - ）	久保田新田藩（久保田藩支藩）（1701年 - ）
