polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.tokugawa_period		1603	1868	藩	江戸時代	Tokugawa period	Tokugawa period Domain			1603–1868		polity			missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.matsumae	松前藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Matsumae	Matsumae Domain	松前藩	html_alternate_ja	1590-1871		polity	Hokkaidō		ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.hirosaki	弘前藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Hirosaki	Hirosaki Domain	弘前藩	html_alternate_ja	1590-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kuroishi	弘前藩	1809	1871	藩	江戸時代;明治時代	Kuroishi	Kuroishi Domain	弘前藩	html_alternate_ja	1809-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.hachinohe	八戸藩	1664	1871	藩	江戸時代;明治時代	Hachinohe	Hachinohe Domain	八戸藩	html_alternate_ja	1664-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kunohe				藩	""	Kunohe	Kunohe Domain			unknown dates		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	unknown_dates;missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.morioka	盛岡藩	1592	1871	藩	安土桃山時代;江戸時代;明治時代	Morioka	Morioka Domain	盛岡藩	html_alternate_ja	de facto: 1592-1871/de jure: 1599-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kori				藩	""	Kōri	Kōri Domain			dates unknown		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	unknown_dates;missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.aizu	会津藩	1384	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Aizu	Aizu Domain	会津藩	html_alternate_ja	de facto: 1384-1871/ De jure:1601-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ichinoseki	一関藩	1681	1871	藩	江戸時代;明治時代	Ichinoseki	Ichinoseki Domain	一関藩	html_alternate_ja	1681-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.iwakitaira	磐城平藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Iwakitaira	Iwakitaira Domain	磐城平藩	html_alternate_ja	1602-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.miharu	三春藩	1504	1590	藩	室町時代;安土桃山時代	Miharu	Miharu Domain	三春藩	html_alternate_ja	de facto: 1504-1590,1627-1971/de jure: 1627-1871	1	polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	selected_de_facto_dates;suspicious_end_year_1971;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.miharu	三春藩	1627	1971	藩	江戸時代;明治時代	Miharu	Miharu Domain	三春藩	html_alternate_ja	de facto: 1504-1590,1627-1971/de jure: 1627-1871	2	polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	selected_de_facto_dates;suspicious_end_year_1971;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.moriyama	守山藩	1700	1871	藩	江戸時代;明治時代	Moriyama	Moriyama Domain	守山藩	html_alternate_ja	1700-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.sendai	仙台藩	1600	1868	藩	安土桃山時代;江戸時代	Sendai	Sendai Domain	仙台藩	html_alternate_ja	1600-1868		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.mizusawa	水沢藩			藩	""	Mizusawa	Mizusawa Domain	水沢藩	html_alternate_ja	dates unknown		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	unknown_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
