row_uid	polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes	computed_periods	periods_original	merge_status	merge_issues
han_0001	japan.matsumae	松前藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Matsumae	Matsumae Domain	松前藩	html_alternate_ja	1590-1871		polity	Hokkaidō		ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0002	japan.hirosaki	弘前藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Hirosaki	Hirosaki Domain	弘前藩	html_alternate_ja	1590-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0003	japan.kuroishi	弘前藩	1809	1871	藩	江戸時代;明治時代	Kuroishi	Kuroishi Domain	弘前藩	html_alternate_ja	1809-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0004	japan.hachinohe	八戸藩	1664	1871	藩	江戸時代;明治時代	Hachinohe	Hachinohe Domain	八戸藩	html_alternate_ja	1664-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0005	japan.ichinoseki	一関藩	1681	1871	藩	江戸時代;明治時代	Ichinoseki	Ichinoseki Domain	一関藩	html_alternate_ja	1681-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0006	japan.iwakitaira	磐城平藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Iwakitaira	Iwakitaira Domain	磐城平藩	html_alternate_ja	1602-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0007	japan.moriyama	守山藩	1700	1871	藩	江戸時代;明治時代	Moriyama	Moriyama Domain	守山藩	html_alternate_ja	1700-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0008	japan.sendai	仙台藩	1600	1868	藩	安土桃山時代;江戸時代	Sendai	Sendai Domain	仙台藩	html_alternate_ja	1600-1868		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代	安土桃山時代;江戸時代	folder_ready	
han_0009	japan.shimotedo	三池藩	1806	1868	藩	江戸時代	Shimotedo	Shimotedo Domain	三池藩	html_alternate_ja	1806-1868		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0010	japan.yunagaya	湯長谷藩	1670	1871	藩	江戸時代;明治時代	Yunagaya	Yunagaya Domain	湯長谷藩	html_alternate_ja	1670-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
