status,error,source_categories,category_path,work_title,page_title,chapter,sequence,source_url,header_nation,header_categories,year,ws_categories,ws_category_scope,raw_path,clean_path,chars_raw,chars_clean,wenyan_median_default_score,wenyan_prop_literary,wenyan_prop_modern,wenyan_prop_uncertain,wenyan_suspected_modern,wenyan_error
saved,,河内,越南 > 河内,中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明,中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明,root,1,https://zh.wikisource.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%92%8C%E8%B6%8A%E5%8D%97%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%85%B1%E5%92%8C%E5%9B%BD%E5%85%B3%E4%BA%8E%E6%8C%81%E7%BB%AD%E6%B7%B1%E5%8C%96%E5%85%A8%E9%9D%A2%E6%88%98%E7%95%A5%E5%90%88%E4%BD%9C%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E3%80%81%E5%8A%A0%E5%BF%AB%E6%9E%84%E5%BB%BA%E5%85%B7%E6%9C%89%E6%88%98%E7%95%A5%E6%84%8F%E4%B9%89%E7%9A%84%E4%B8%AD%E8%B6%8A%E5%91%BD%E8%BF%90%E5%85%B1%E5%90%8C%E4%BD%93%E7%9A%84%E8%81%94%E5%90%88%E5%A3%B0%E6%98%8E,,河内,2025年,2025年，2025年4月，2025年4月15日，2025年中华人民共和国和外国联合声明，2025年河内，中华人民共和国—越南社会主义共和国关系，中华人民共和国公有领域，中华人民共和国和外国联合声明，河内,page,raw\中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明\中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明__0001__front_matter.txt,clean\中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明\中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明__0001__front_matter.txt,10054,9269,-13.350000,0.094340,0.716981,0.188679,1,
saved,,河内,越南 > 河内,中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明,中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明,root,1,https://zh.wikisource.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%92%8C%E8%B6%8A%E5%8D%97%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%85%B1%E5%92%8C%E5%9B%BD%E5%85%B3%E4%BA%8E%E8%BF%9B%E4%B8%80%E6%AD%A5%E6%B7%B1%E5%8C%96%E5%92%8C%E6%8F%90%E5%8D%87%E5%85%A8%E9%9D%A2%E6%88%98%E7%95%A5%E5%90%88%E4%BD%9C%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E3%80%81%E6%9E%84%E5%BB%BA%E5%85%B7%E6%9C%89%E6%88%98%E7%95%A5%E6%84%8F%E4%B9%89%E7%9A%84%E4%B8%AD%E8%B6%8A%E5%91%BD%E8%BF%90%E5%85%B1%E5%90%8C%E4%BD%93%E7%9A%84%E8%81%94%E5%90%88%E5%A3%B0%E6%98%8E,,河内,2023年,2023年，2023年12月，2023年12月13日，2023年中华人民共和国和外国联合声明，2023年河内，中华人民共和国—越南社会主义共和国关系，中华人民共和国公有领域，中华人民共和国和外国联合声明，河内,page,raw\中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明\中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明__0001__front_matter.txt,clean\中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明\中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明__0001__front_matter.txt,10662,9651,0.000000,0.144578,0.409639,0.445783,0,
saved,,河内,越南 > 河内,中华人民共和国和越南社会主义共和国联合声明 (2024年),中华人民共和国和越南社会主义共和国联合声明 (2024年),root,1,https://zh.wikisource.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%92%8C%E8%B6%8A%E5%8D%97%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%85%B1%E5%92%8C%E5%9B%BD%E8%81%94%E5%90%88%E5%A3%B0%E6%98%8E%20%282024%E5%B9%B4%29,,河内,2024年,2024年，2024年10月，2024年10月14日，2024年中华人民共和国和越南社会主义共和国联合声明，2024年河内，中华人民共和国—越南社会主义共和国关系，中华人民共和国公有领域，中华人民共和国和越南社会主义共和国联合声明，河内,page,raw\中华人民共和国和越南社会主义共和国联合声明 (2024年)\中华人民共和国和越南社会主义共和国联合声明 (2024年)__0001__front_matter.txt,clean\中华人民共和国和越南社会主义共和国联合声明 (2024年)\中华人民共和国和越南社会主义共和国联合声明 (2024年)__0001__front_matter.txt,6082,5510,-11.968000,0.166667,0.600000,0.233333,1,
saved,,阮朝,越南 > 阮朝,乂安省英山府鄧山社鄧林村神敕,乂安省英山府鄧山社鄧林村神敕,root,1,https://zh.wikisource.org/wiki/%E4%B9%82%E5%AE%89%E7%9C%81%E8%8B%B1%E5%B1%B1%E5%BA%9C%E9%84%A7%E5%B1%B1%E7%A4%BE%E9%84%A7%E6%9E%97%E6%9D%91%E7%A5%9E%E6%95%95,,阮朝,1924年,1924年，PD-old-100-1996，啓定帝，阮朝,page,raw\乂安省英山府鄧山社鄧林村神敕\乂安省英山府鄧山社鄧林村神敕__0001__front_matter.txt,clean\乂安省英山府鄧山社鄧林村神敕\乂安省英山府鄧山社鄧林村神敕__0001__front_matter.txt,744,546,3.336000,0.500000,0.000000,0.500000,0,
saved,,阮朝,越南 > 阮朝,五百名觀世音經,五百名觀世音經,root,1,https://zh.wikisource.org/wiki/%E4%BA%94%E7%99%BE%E5%90%8D%E8%A7%80%E4%B8%96%E9%9F%B3%E7%B6%93,,阮朝,1898年,1898年，PD-old，佛經，阮朝,page,raw\五百名觀世音經\五百名觀世音經__0001__front_matter.txt,clean\五百名觀世音經\五百名觀世音經__0001__front_matter.txt,11046,10954,0.000000,0.136116,0.000000,0.863884,0,
saved,,越南典籍,越南 > 越南典籍,伐宋露布文,伐宋露布文,root,1,https://zh.wikisource.org/wiki/%E4%BC%90%E5%AE%8B%E9%9C%B2%E5%B8%83%E6%96%87,,越南典籍,,PD-old，李常傑，李朝，越南典籍,page,raw\伐宋露布文\伐宋露布文__0001__front_matter.txt,clean\伐宋露布文\伐宋露布文__0001__front_matter.txt,593,474,9.720000,1.000000,0.000000,0.000000,0,
saved,,越南典籍,越南 > 越南典籍,保大九年冊立皇后上諭,保大九年冊立皇后上諭,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E4%B9%9D%E5%B9%B4%E5%86%8A%E7%AB%8B%E7%9A%87%E5%90%8E%E4%B8%8A%E8%AB%AD,,越南典籍,1934年,1934年，越南典籍,page,raw\保大九年冊立皇后上諭\保大九年冊立皇后上諭__0001__front_matter.txt,clean\保大九年冊立皇后上諭\保大九年冊立皇后上諭__0001__front_matter.txt,1011,799,0.000000,0.250000,0.000000,0.750000,0,
saved,,越南典籍,越南 > 越南典籍,保大二十年正月禮工部 第二十四號奏疏,保大二十年正月禮工部 第二十四號奏疏,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E4%BA%8C%E5%8D%81%E5%B9%B4%E6%AD%A3%E6%9C%88%E7%A6%AE%E5%B7%A5%E9%83%A8%20%E7%AC%AC%E4%BA%8C%E5%8D%81%E5%9B%9B%E8%99%9F%E5%A5%8F%E7%96%8F,,越南典籍,1945年,1945年，武德揚，越南典籍,page,raw\保大二十年正月禮工部 第二十四號奏疏\保大二十年正月禮工部 第二十四號奏疏__0001__front_matter.txt,clean\保大二十年正月禮工部 第二十四號奏疏\保大二十年正月禮工部 第二十四號奏疏__0001__front_matter.txt,1088,897,0.000000,0.166667,0.166667,0.666667,0,
saved,,越南典籍,越南 > 越南典籍,保大五年中秋節和嗣德帝冥誕遣祭肅呈,保大五年中秋節和嗣德帝冥誕遣祭肅呈,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E4%BA%94%E5%B9%B4%E4%B8%AD%E7%A7%8B%E7%AF%80%E5%92%8C%E5%97%A3%E5%BE%B7%E5%B8%9D%E5%86%A5%E8%AA%95%E9%81%A3%E7%A5%AD%E8%82%85%E5%91%88,,越南典籍,1930年,1930年，越南典籍,page,raw\保大五年中秋節和嗣德帝冥誕遣祭肅呈\保大五年中秋節和嗣德帝冥誕遣祭肅呈__0001__front_matter.txt,clean\保大五年中秋節和嗣德帝冥誕遣祭肅呈\保大五年中秋節和嗣德帝冥誕遣祭肅呈__0001__front_matter.txt,1120,939,4.500000,0.500000,0.000000,0.500000,0,
saved,,越南典籍,越南 > 越南典籍,保大八年拔授五部新尚書諭旨,保大八年拔授五部新尚書諭旨,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E5%85%AB%E5%B9%B4%E6%8B%94%E6%8E%88%E4%BA%94%E9%83%A8%E6%96%B0%E5%B0%9A%E6%9B%B8%E8%AB%AD%E6%97%A8,,越南典籍,1933年,1933年，越南典籍,page,raw\保大八年拔授五部新尚書諭旨\保大八年拔授五部新尚書諭旨__0001__front_matter.txt,clean\保大八年拔授五部新尚書諭旨\保大八年拔授五部新尚書諭旨__0001__front_matter.txt,1540,1362,3.846500,0.571429,0.000000,0.428571,0,
