work_title,parts,source_categories,category_path
中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明,1,河内,越南 > 河内
中华人民共和国和越南社会主义共和国关于进一步深化和提升全面战略合作伙伴关系、构建具有战略意义的中越命运共同体的联合声明,1,河内,越南 > 河内
中华人民共和国和越南社会主义共和国联合声明 (2024年),1,河内,越南 > 河内
乂安省英山府鄧山社鄧林村神敕,1,阮朝,越南 > 阮朝
五百名觀世音經,1,阮朝,越南 > 阮朝
伐宋露布文,1,越南典籍,越南 > 越南典籍
保大九年冊立皇后上諭,1,越南典籍,越南 > 越南典籍
保大二十年正月禮工部 第二十四號奏疏,1,越南典籍,越南 > 越南典籍
保大五年中秋節和嗣德帝冥誕遣祭肅呈,1,越南典籍,越南 > 越南典籍
保大八年拔授五部新尚書諭旨,1,越南典籍,越南 > 越南典籍
保大八年正月拾陸日覆奏一道,1,越南典籍,越南 > 越南典籍
保大八年準許吏部吳大臣辭職諭旨,1,越南典籍,越南 > 越南典籍
保大帝冊立皇后諭旨,1,阮朝,越南 > 阮朝
保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文,1,阮朝,越南 > 阮朝
傳檄安南官吏軍民人等,1,安南,越南 > 安南
勤王詔 (咸宜帝),1,阮朝,越南 > 阮朝
区域全面经济伙伴关系协定,40,河内,越南 > 河内
午昃啓行,1,阮朝,越南 > 阮朝
南國山河,1,越南漢詩,越南 > 越南漢詩
南翁夢錄,1,越南典籍,越南 > 越南典籍
反招魂,1,越南典籍，阮朝,越南 > 越南典籍
台川陳季恰先生小傳,1,阮朝,越南 > 阮朝
同慶帝晉光恩詔,1,阮朝,越南 > 阮朝
名山良玉賦,1,阮朝,越南 > 阮朝
咀菜禪師,1,阮朝,越南 > 阮朝
啓定帝晉光恩詔,1,阮朝,越南 > 阮朝
嘉定城通志,6,阮朝,越南 > 阮朝
嘉隆建元詔,1,阮朝,越南 > 阮朝
囘鑾留題,1,阮朝,越南 > 阮朝
國朝前編撮要,1,阮朝,越南 > 阮朝
國朝史撮要,5,越南典籍，阮朝,越南 > 越南典籍
國朝正編撮要,6,阮朝,越南 > 阮朝
國朝科榜錄,10,越南典籍，阮朝,越南 > 越南典籍
堅太王行狀,1,阮朝,越南 > 阮朝
士夫自治論,1,阮朝,越南 > 阮朝
壬申科進士題名記,1,後黎朝,越南 > 後黎朝
壬辰科進士題名碑,1,後黎朝,越南 > 後黎朝
夜泊六頭江,1,阮朝,越南 > 阮朝
大南一統志 (高春育),32,越南典籍,越南 > 越南典籍
大南寔錄,12,越南典籍，阮朝,越南 > 越南典籍
大越史略,5,越南,越南
大越史記全書,30,越南典籍,越南 > 越南典籍
天威徑新鑿海派碑,1,越南漢喃銘文,越南 > 越南漢喃銘文
天授陵聖德神功碑,1,阮朝,越南 > 阮朝
太子少保協辦大學士領定寧總督陳劉慧,1,阮朝,越南 > 阮朝
太平賣歌者,1,越南典籍，阮朝,越南 > 越南典籍
奉擬太子少保協佐大學士領吏部尚書機密院大臣范瓊陞授東閣大學士誥文,1,阮朝,越南 > 阮朝
奉聖夫人黎氏墓誌,1,越南漢喃銘文,越南 > 越南漢喃銘文
奉陽公主碑,1,越南漢喃銘文,越南 > 越南漢喃銘文
孝陵聖德神功碑,1,阮朝,越南 > 阮朝
崑山歌,1,後黎朝，越南典籍,越南 > 後黎朝
嶺南摭怪,24,越南典籍,越南 > 越南典籍
己亥盛科進士碑記,1,後黎朝,越南 > 後黎朝
平南露布,1,安南,越南 > 安南
平吳大誥,1,後黎朝，越南典籍,越南 > 後黎朝
平安南詔,1,安南，越南典籍,越南 > 安南
平安南頌 (夏原吉),1,越南,越南
平安南頌 (姚廣孝),1,越南,越南
平安南頌 (梁濳),1,越南,越南
平安南頌 (楊榮),1,越南,越南
延茂郡公歷史及葬儀之光耀,1,阮朝,越南 > 阮朝
弔庭元潘廷逢死義,1,阮朝,越南 > 阮朝
征占詔,1,越南皇帝詔書,越南 > 越南皇帝詔書
後陳逸史,22,阮朝,越南 > 阮朝
御製北巡詩集,1,阮朝,越南 > 阮朝
御製安定宮引,1,阮朝,越南 > 阮朝
御駕啓行,1,阮朝,越南 > 阮朝
御駕抵河城沙露公隆接于全權府,1,阮朝,越南 > 阮朝
思陵聖德神功碑,1,阮朝,越南 > 阮朝
恭瞻文廟 (其一),1,阮朝,越南 > 阮朝
恭瞻文廟 (其二),1,阮朝,越南 > 阮朝
恭謁原廟感題,1,阮朝,越南 > 阮朝
成泰十一年慈裕博惠康壽太太皇太后九旬大慶祝壽文,1,越南典籍,越南 > 越南典籍
成泰十八年九月二十六日硃批一道,1,越南典籍,越南 > 越南典籍
所見行,1,越南典籍，阮朝,越南 > 越南典籍
抵廣治東河羅哥降火車升電車,1,阮朝,越南 > 阮朝
抵清化,1,阮朝,越南 > 阮朝
抵諒山省臣民迎駕嵩呼,1,阮朝,越南 > 阮朝
拔授五部新尚書諭旨,1,阮朝,越南 > 阮朝
探全權奔悲公像,1,阮朝,越南 > 阮朝
摩崖紀功文,1,越南，越南漢喃銘文,越南 > 越南漢喃銘文
敬妃阮氏神道碑,1,後黎朝，越南漢喃銘文,越南 > 後黎朝
日用常談,59,越南,越南
昌陵聖德神功碑,1,阮朝,越南 > 阮朝
明命二十一年六月二十三日上諭,1,越南典籍,越南 > 越南典籍
明命五年十一月二十一日硃批一道,1,越南典籍,越南 > 越南典籍
晚過海雲關,1,阮朝,越南 > 阮朝
景興三十九年戊戌題名碑,1,後黎朝,越南 > 後黎朝
景興三十六年乙未科進士題名碑,1,後黎朝,越南 > 後黎朝
景興三十年己丑科進士題名記,1,後黎朝,越南 > 後黎朝
景興九年戊辰科進士題名記,1,後黎朝,越南 > 後黎朝
景興二十七年丙戌科進士題名記,1,後黎朝,越南 > 後黎朝
景興二十四年癸未科進士題名記,1,後黎朝,越南 > 後黎朝
景興十八年丁丑科進士題名記,1,後黎朝,越南 > 後黎朝
景興弍十弌年庚辰科進士題名碑,1,後黎朝,越南 > 後黎朝
椒宮殉節行,1,越南典籍,越南 > 越南典籍
欽定越史通鑑綱目,57,越南典籍,越南 > 越南典籍
歐戰大捷,1,阮朝,越南 > 阮朝
武文淵申報,1,越南,越南
武文淵白安南亂狀,1,越南,越南
沛公置酒,1,阮朝,越南 > 阮朝
沱㶞感懷,1,阮朝,越南 > 阮朝
河仙鎮叶鎮鄚氏家譜,1,阮朝,越南 > 阮朝
