status,error,root_title,work_id,work_title,display_title,page_title,author,nation,categories,year,mode,chapter,sequence,source_url,ws_categories,ws_category_scope,clean_source,raw_path,clean_path,chars_raw,chars_clean
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/序,黃遵憲,清朝,日本,1887年,four_work_rescrape,序,1,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%BA%8F,1887年 (提及)，1894年 (提及)，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0001__序.txt,clean\日本國志\日本國志__0001__序.txt,2484,2319
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷一,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷一,2,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%B8%80,黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0002__卷一.txt,clean\日本國志\日本國志__0002__卷一.txt,13629,13451
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷二,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷二,3,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%BA%8C,黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0003__卷二.txt,clean\日本國志\日本國志__0003__卷二.txt,14688,14354
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷三,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷三,4,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%B8%89,黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0004__卷三.txt,clean\日本國志\日本國志__0004__卷三.txt,18405,18253
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷四,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷四,5,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E5%9B%9B,310年 (提及)，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0005__卷四.txt,clean\日本國志\日本國志__0005__卷四.txt,14309,13906
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷五,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷五,6,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%BA%94,1469年 (提及)，1475年 (提及)，1492年 (提及)，1547年 (提及)，1588年 (提及)，需要指定公元的紀年，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0006__卷五.txt,clean\日本國志\日本國志__0006__卷五.txt,17055,16767
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷六,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷六,7,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E5%85%AD,1673年 (提及)，1693年 (提及)，1796年 (提及)，1862年 (提及)，1864年 (提及)，1870年 (提及)，1876年 (提及)，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0007__卷六.txt,clean\日本國志\日本國志__0007__卷六.txt,12953,12753
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷七,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷七,8,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%B8%83,1776年 (提及)，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0008__卷七.txt,clean\日本國志\日本國志__0008__卷七.txt,21161,21000
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷八,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷八,9,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E5%85%AB,黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0009__卷八.txt,clean\日本國志\日本國志__0009__卷八.txt,16974,16737
saved,,日本國志,日本國志,日本國志,日本國志,日本國志/卷九,黃遵憲,清朝,日本,1887年,four_work_rescrape,卷九,10,https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E5%9C%8B%E5%BF%97/%E5%8D%B7%E4%B9%9D,554年 (提及)，762年 (提及)，839年 (提及)，858年 (提及)，需要指定公元的紀年，黃遵憲，1887年，PD-old，日本，清朝,page_plus_root,html,raw\日本國志\日本國志__0010__卷九.txt,clean\日本國志\日本國志__0010__卷九.txt,7609,7388
