chars,n,rank
之,54528269,1
不,30058518,2
以,25934024,3
而,21519370,4
也,19941591,5
人,19418378,6
有,18939407,7
其,18671269,8
为,17822580,9
一,17777269,10
者,16942832,11
曰,13347318,12
於,13127323,13
子,12602871,14
十,11747024,15
大,11110633,16
無,10642119,17
所,10508000,18
二,10399676,19
三,10254255,20
中,9800123,21
是,9240336,22
此,9141760,23
年,8980431,24
上,8827551,25
下,8619156,26
則,8406085,27
如,8120620,28
天,8099813,29
可,7385392,30
在,7378266,31
自,7355286,32
王,7329764,33
日,7311418,34
事,7299841,35
公,7286874,36
故,7068329,37
得,7015494,38
至,6972445,39
生,6956072,40
四,6895241,41
五,6867029,42
言,6833506,43
書,6824768,44
行,6470487,45
時,6417117,46
丨,6276152,47
知,6124306,48
與,6055936,49
山,6003262,50
道,5986608,51
文,5980464,52
又,5939836,53
月,5728790,54
後,5639422,55
見,5568557,56
亦,5452783,57
明,5341985,58
出,5201146,59
相,5169165,60
何,5127564,61
州,5045581,62
名,4989318,63
然,4967316,64
南,4913619,65
今,4854611,66
作,4847027,67
心,4799890,68
未,4701642,69
謂,4684747,70
水,4660647,71
用,4649189,72
皆,4631357,73
能,4627976,74
國,4488226,75
使,4458522,76
百,4451395,77
若,4387648,78
六,4349566,79
云,4336119,80
正,4325527,81
太,4305817,82
臣,4287913,83
官,4275061,84
于,4273141,85
來,4268662,86
方,4256765,87
君,4252584,88
矣,4214458,89
世,4206582,90
東,4201527,91
已,4190458,92
地,4136632,93
非,4095697,94
成,4061678,95
入,4028844,96
本,3941342,97
諸,3941082,98
同,3911787,99
西,3910855,100
及,3906554,101
夫,3892587,102
將,3860134,103
先,3773727,104
分,3772969,105
元,3758904,106
當,3718867,107
前,3696810,108
士,3640302,109
去,3632936,110
法,3627925,111
乃,3605341,112
家,3569315,113
安,3553780,114
詩,3526132,115
爲,3513021,116
長,3493567,117
等,3395039,118
陽,3371563,119
縣,3357129,120
我,3350320,121
從,3345127,122
軍,3334048,123
多,3308056,124
氏,3300457,125
禮,3295722,126
九,3293906,127
德,3274321,128
八,3262510,129
門,3254519,130
朝,3247537,131
七,3246817,132
小,3224063,133
令,3195641,134
復,3185468,135
城,3135934,136
平,3128341,137
風,3117680,138
萬,3101991,139
帝,3082617,140
即,3052047,141
傳,3048181,142
白,3033649,143
兵,3027364,144
必,3025656,145
民,3011365,146
外,3002343,147
學,2997976,148
