variant,base
㐡,懦
㑘,价
㑢,刧
㑤,媌
㑴,侵
㑽,傏
㒋,厮
㒖,藕
㒭,昆
㒵,貌
㓝,𠛬
㔺,世
㕉,𢈈
㕖,素
㕗,誘
㕤,叴
㖒,嗁
㖶,咽
㖸,噱
㗜,齅
㗳,塔
㗶,𠷑
㘅,銜
㘧,序
㘩,坒
㘪,耗
㘰,字
㘷,艾
㙄,陛
㙅,保
㙉,腆
㙑,宇
㙒,野
㙕,塊
㙼,壘
㚮,妉
㚳,妿
㛩,妯
㛰,婚
㛲,髮
㜍,𡠠
㜜,嫯
㜧,𡡕
㜪,𡣎
㝇,鶉
㝱,夢
㝴,刓
㞘,𡰪
㞙,尿
㞩,嵐
㞹,岢
㟔,㟏
㟜,𡾱
㟟,巷
㟦,𡽅
㟫,泉
㟻,塹
㠀,島
㠁,嵾
㠊,嶇
㠎,㠍
㠪,𢀑
㠻,希
㡐,𢃬
㡛,㡃
㢆,廛
㢡,獎
㢧,卷
㢬,彋
㢳,玈
㢼,彆
㢽,餌
㣘,跔
㣠,佟
㣦,逶
㣼,忍
㤐,怗
㤣,怦
㤪,怨
㥍,惎
㥫,惇
㥵,慁
㥿,慠
㦖,懑
㦞,懤
㦾,扅
㧮,𣓗
㨀,抦
㨇,搫
㨓,𢭂
㨕,攍
㨩,捷
㨱,搖
㨲,㩍
㩐,扽
㩕,拎
㩛,摶
㪸,斟
㫀,鼎
㫔,艮
㫕,光
㫩,春
㫳,晨
㫴,哮
㬙,暐
㭓,抃
㭻,棠
㮋,栯
㮍,椾
㮎,杯
㮒,橪
㮡,爟
㮳,栚
㮴,𣔱
㮵,栴
㮸,送
㯀,𣒀
㯈,樕
㯍,槳
㯓,榻
㯣,棻
㯦,棊
㯪,櫺
㯳,檠
㰄,𣚙
㰆,𩋂
㰙,橠
㰷,𣧸
㱜,𣧖
㲂,𢿵
㳂,沿
㴁,義
㴩,灉
㶤,炒
㶨,炋
㶵,飪
㶻,烽
㷀,焭
㷭,烽
㷻,無
㸂,燧
㸈,焦
㸱,㸰
㸷,觢
㹖,豢
㺀,猱
㺫,玌
㺳,玫
㻁,瓌
㻧,𤧮
㼆,瑩
㽜,畹
㽮,星
㽸,瘎
㾌,癬
㾡,𤷽
㾬,痎
㿬,疤
䀳,𥈙
䁁,䀶
䁉,䁈
䁹,睤
䂥,珉
䂯,𥑰
䂲,砝
䃈,瑎
䃋,𥔢
䃩,硇
䄢,齊
䄥,𥜧
䄬,移
䅠,稊
䆈,稺
䆥,䆤
䆫,窗
䆻,竅
䇏,𥫉
䇥,笮
䇰,篜
䇱,笝
䈄,筨
䈍,𥭮
䈤,鉗
䉲,𥵨
䉺,粠
䉼,料
䉽,粄
䊀,䉿
䊁,籸
䊑,餉
䊒,精
䊚,䭔
䊵,絿
䊸,紆
䋁,綆
䋎,綻
䋕,絍
䋜,綮
䋺,緧
䌫,纜
䍒,𦋡
䍧,牂
䏀,𦖨
䏂,𦖪
䏊,聾
䏥,𦙇
䏸,䐳
䐡,臍
䑅,𦢧
䑐,𥅘
䑧,䒀
䑨,舵
䑭,𦨢
䒗,芞
䒝,𦺔
䒣,苒
䒱,蒸
䒿,膋
䓒,𦳋
䓗,蔥
䓤,牀
䓦,典
䓵,蓲
䓷,荇
䓹,䬥
䔖,蔆
䔘,𧃘
䔜,𦶈
䕌,穉
䕖,蓀
䕙,𦿐
䕚,蕢
䕤,蘄
䕴,𧂒
䖉,𧆜
䖫,蚌
䖸,蛾
䗑,𧐔
䗦,蠭
䗫,蟆
䗹,蛓
䗾,蜆
䘋,蠘
䙀,綳
䙑,衰
䙗,𧝐
䙥,𧟙
䙰,褵
䙲,䙴
䚀,𧠿
䚁,䚀
䚰,䚹
䛐,詞
䛑,謐
䜄,謘
䝊,𧲌
䝜,狻
䝯,貤
䝴,齎
䝺,貫
䞬,透
䟌,𧾢
䠥,蹩
䠮,騰
䡋,軝
䡌,䡏
䡥,䡆
䡼,軨
䡽,𩎈
䡿,軨
䢊,遊
䢜,歸
䢟,由
䢩,御
䢬,遷
䢵,鄖
䢶,邦
䣑,𠪨
䣨,䣩
䣲,𨠒
䤛,釚
䤜,鈍
䤟,鈂
䤫,鑱
䥊,錆
䥕,鐅
䥬,鑮
䥴,鐫
䦇,髻
䦗,侐
䦞,閏
䦦,琴
䧍,隙
䧚,䧚
䧣,陻
䧱,鳩
䧸,鴣
䧻,鴿
䧼,鵠
䧾,鵨
䨅,鷯
䨉,鸚
䨎,霐
䨖,霽
䨪,霾
䨭,霄
䨯,𩄛
䩘,䩚
䩜,冑
䩫,緉
䩷,幫
䪘,韙
䪩,訡
䫉,貌
䫰,𩕔
䬐,𩗯
䬖,䬝
䬗,颺
䬙,颻
䬜,魑
䭌,餬
䭫,𩠜
䭯,馞
䭽,羣
䮆,駓
䮇,驈
䮈,馳
䮌,𩢮
䮛,駙
䮥,𩧂
䮯,驁
䮲,騜
䮶,驫
䮽,鑣
䯝,𩪦
䯯,髿
䰖,𩯳
䰞,煮
䱉,鳝
䱔,鰷
䱘,鯬
䱙,鮛
䱳,𩼼
䱶,𩷕
䱹,𩺃
䲍,鰧
䲳,𦐄
䲴,鴆
䳈,鴇
䳊,䳁
䳡,鵻
䳢,鶀
䳧,𪃶
䳰,鴇
䳾,類
䴥,麚
䴫,𪋪
䵉,𠐙
䶉,𪕚
䶤,𩪲
丄,上
丅,下
丟,丢
両,两
並,并
丬,爿
丷,八
乆,久
乕,虎
乗,乘
乣,糺
亀,龟
亊,事
亐,于
亖,四
亗,岁
亜,亚
亰,京
亱,夜
亻,人
亽,亼
亾,亡
仃,㣔
仉,掌
仌,冰
仏,佛
仚,仙
仦,仯
仭,刃
仮,反
仺,仓
仾,低
伂,沛
伕,夫
伖,帑
伜,倅
伨,徇
伵,侐
伷,胄
佈,布
佡,仙
佱,法
佲,酩
侂,託
侊,觥
侌,阴
侒,安
侙,恜
価,似
侢,戴
侫,佞
侭,尽
侴,𡚽
侶,侣
侷,局
侽,男
俁,俣
俌,辅
俢,修
俤,弟
俼,鬻
倈,徠
倎,腆
倐,倏
倛,欺
倣,仿
倴,笨
倶,俱
倸,睬
倹,俭
偀,英
偁,称
偆,蠢
偐,赝
偖,撦
偘,侃
偸,偷
偹,备
偺,咱
偼,倢
傓,煽
傟,慃
傠,伐
傢,傢
傤,载
傯,偬
僀,偙
働,动
僒,窘
僘,敞
僡,惠
僫,恶
僱,雇
僲,仙
僴,僩
儍,傻
儞,你
儨,质
儫,豪
兂,簪
兊,兑
兎,兔
児,兒
兘,始
兠,兜
兤,晄
兲,天
兾,冀
兿,艺
円,圆
冊,册
冎,剐
冐,冒
冝,宜
冡,蒙
冣,最
冦,寇
冨,富
冩,写
冪,幂
冫,冰
冴,讶
冺,泯
冾,洽
凂,浼
凃,涂
凈,净
凗,漼
凜,凛
凞,熙
凟,渎
凢,凡
凣,凡
凥,居
処,处
凨,风
凬,风
凮,风
凲,尲
凴,凭
凾,函
刂,刀
刄,刃
刅,创
刞,耝
刟,𠚥
刢,伶
刪,删
刴,剁
刼,劫
刾,刺
剎,刹
剏,创
剒,错
剣,剑
剤,剂
剦,閹
剰,剩
剱,剑
劅,斀
劆,镰
劎,剑
劒,剑
劔,剑
劮,逸
労,劳
劵,倦
効,效
勀,剋
勂,告
勄,敏
勅,敕
勈,勇
勊,剋
勎,勠
勗,勖
勣,绩
勧,劝
勪,蹻
勯,殚
勲,勋
勹,包
匂,匈
匄,丐
匛,柩
匞,匠
匟,炕
匢,匫
匧,篋
卂,迅
卄,廿
卆,卒
卋,世
単,单
卛,率
卥,西
卨,偰
卪,节
卾,腭
厐,庞
厛,厅
厡,原
厧,颠
厫,廒
厯,歴
厳,严
厵,源
厺,去
叄,参
叅,参
叧,剐
吀,咩
吢,吣
吰,宏
吶,呐
呉,吴
呋,趺
呌,叫
呩,嗜
咊,和
咲,笑
咵,夸
哣,咅
哸,嗺
哻,鼾
唀,诱
唃,唂
唋,吐
唕,唣
唖,哑
唘,启
唙,嘀
唚,吣
唽,𠴭
啛,啐
啟,启
啠,哲
啣,衔
啳,颧
啺,唐
啿,啖
喎,咼
営,营
嗂,嗂
嗈,噰
嗠,酪
嗶,咇
嘊,啀
嘋,哮
嘠,嘎
嘨,啸
噄,吃
噉,啖
噐,器
噑,嗥
噒,𦧴
噕,噅
噖,吟
噛,啮
噟,譍
噵,道
噼,劈
噽,嚭
噾,喑
嚈,咽
嚉,咄
嚐,嘗
嚖,嘒
嚞,哲
嚠,浏
嚢,囊
嚺,嚃
嚽,啜
囇,㘑
囏,艰
囒,谰
囘,回
囙,因
団,团
囯,国
図,图
囶,国
囸,日
囻,国
囼,胎
圎,圆
圏,圈
圑,圃
圗,图
圝,圞
圡,土
圦,塊
圧,压
圲,圱
圼,㘿
圽,殁
坃,埙
坓,阱
坕,经
坖,忌
坘,坻
坣,堂
坧,墌
坭,泥
坮,臺
坵,丘
坸,垢
垅,垄
垇,坳
垔,陻
垖,堆
垜,垛
垨,守
垴,脑
垵,埯
垼,坄
垿,序
埀,垂
埊,地
埑,哲
埓,埒
埗,埠
埞,堤
堓,岸
堗,突
堘,塍
堝,埚
堢,堡
堣,嵎
堷,窨
堺,界
堾,踳
塁,垒
塄,棱
塐,塑
塖,塍
塚,冢
塜,塳
