source_title,relation,target,template
㐡,zh-see,懦,zh-see
㑘,zh-see,价,zh-see
㑢,alt,却,zh-forms
㑢,alt,𠳞,zh-forms
㑢,alt,屐,zh-forms
㑢,zh-see,𠊬,zh-see
㑤,zh-see,媌,zh-see
㑴,zh-see,侵,zh-see
㑽,zh-see,傏,zh-see
㒖,zh-see,藕,zh-see
㒵,zh-see,貌,zh-see
㓝,zh-see,刑,zh-see
㔺,zh-see,世,zh-see
㕉,alt,𢈈,zh-forms
㕤,zh-see,叴,zh-see
㖒,zh-see,啼,zh-see
㖒,zh-see,嚏,zh-see
㖸,zh-see,噱,zh-see
㗶,s,𭇜,zh-forms
㘅,zh-see,銜,zh-see
㘧,zh-see,序,zh-see
㘩,zh-see,坒,zh-see
㘪,zh-see,耗,zh-see
㙒,zh-see,野,zh-see
㙼,zh-see,壘,zh-see
㚮,zh-see,媅,zh-see
㚳,zh-see,妿,zh-see
㛰,zh-see,婚,zh-see
㛲,zh-see,髮,zh-see
㜍,alt,𡠠,zh-forms
㜜,zh-see,傲,zh-see
㜪,alt,𡣎,zh-forms
㝇,zh-see,鶉,zh-see
㝱,alt,𡪎,zh-forms
㝱,alt,𥦡,zh-forms
㝱,zh-see,夢,zh-see
㝴,zh-see,刓,zh-see
㞘,alt,䐁,zh-forms
㞘,alt,篤,zh-forms
㞘,zh-see,𡱂,zh-see
㞙,zh-see,尿,zh-see
㞹,zh-see,岢,zh-see
㟜,zh-see,𡾱,zh-see
㟦,zh-see,𡽅,zh-see
㠀,zh-see,島,zh-see
㠁,zh-see,嵾,zh-see
㠪,zh-see,巨,zh-see
㠪,zh-see,工,zh-see
㠻,zh-see,希,zh-see
㢆,zh-see,廛,zh-see
㢡,zh-see,獎,zh-see
㢧,zh-see,卷,zh-see
㢼,zh-see,彆,zh-see
㢽,zh-see,餌,zh-see
㣘,zh-see,跔,zh-see
㣦,zh-see,逶,zh-see
㣼,zh-see,忍,zh-see
㣼,zh-see,𠚬,zh-see
㤐,zh-see,怗,zh-see
㤐,zh-see,惉,zh-see
㥫,zh-see,惇,zh-see
