第一章	保羅問安謝恩．勸門徒合而爲一．上帝以福音之道廢世人之智．上帝不循俗見選人
第二章	保羅傳道非用高言世智惟靠聖神．所傳者世人雖以爲愚卻是上帝奧旨．此智屬情欲者不識亦不能識．惟屬聖神者識之
第三章	保羅視門徒如嬰餧之以乳．因門徒有嫉妒分爭．種者灌者無足言全在上帝生長．傳教者與上帝同工．惟耶穌爲教門之基．門徒爲上帝之殿．務須聖潔．上帝以世智爲愚
第四章	宜如何看待傳教者．人所有者俱受於主．使徒深受苦難凌辱．被人視如糞土．以福音而論門徒可稱保羅爲父因此宜效保羅
第五章	保羅責門徒因其中有不潔者．門徒宜自愧不宜自誇．宜除淨舊麫酵．宜避不正之弟兄令其自愧
第六章	門徒不可互控．尤不可向外人互控．邪惡者必不得進上帝國．門徒當以己身爲基督肢體．爲聖神之殿．務須自潔以身魂榮耀上帝
第七章	聯婚姻則免淫行．論夫婦合宜之禮．夫婦不可離棄．門徒當各守身分．論守童身．論父聘女與否．論嫠婦改嫁與否
第八章	禁食祭偶像之物．勸門徒勿藉自由使人犯罪．凡事宜體恤懦弱兄弟
第九章	保羅證己爲使徒．述明自由之處．言傳教者宜靠福音得食．言己未用此權．宣傳福音並不索費．言己爲救何如人卽似何如人．宜盡力爲徒如人賽跑
第十章	敬主者所遇之事古今相似．古時所受之刑爲今時鑑戒．以此勸門徒謹愼．宜避拜偶像之事．主筵鬼筵不能兼食．所行須求使弟兄獲益
第十一章	論聖神之恩賜．恩賜有別根源則一．全爲使人獲益．門徒可比身體各作一肢．肢體雖有尊卑卻互相倚助．門徒各守其分亦然
第十二章	心若無愛恩賜枉然．稱讚愛德．信望皆不如愛
第十三章	說豫言愈於說方言．以樂器設喻．二者俱爲使人獲益．施用各得其宜．諸般恩賜會中宜如何用之．婦女不宜在會中講道．會中諸事當以理行
第十四章	述說耶穌從死復活．以此駁倒不信復活之理者．因耶穌復活衆人亦復活．論死人復活身體如何．論末日在世之門徒改變如何．勸門徒堅心守道
第十五章	勸門徒捐濟貧窮．特薦提摩太．諸般勸言．代人問安．總之宜愛主耶穌
第十六章
