第一章	約翰錄啟示寄與亞西亞七教會．論救主降臨．論救主之權能威嚴．七燈臺卽七教會
第二章	與以弗所教會使者書．與士每拿教會使者書．與別迦摩教會使者書．與推雅推喇教會使者書
第三章	責撒狄教會使者．示以當自悔改乃可免罰．與非拉鐵非教會使者書嘉其殷勤忍耐．與老底嘉教會使者書責其非冷非熱．勸以奮勉悔改．救主立於門前叩門
第四章	約翰見上帝寶座在天．見二十四長老．見四活物．長老脫冕叩拜坐寶座者
第五章	見具七印之書卷．堪取卷揭印者惟見殺之羔羊．長老因頌美之認爲救主．坐寶座者與羔羊受千萬天使並萬物頌美
第六章	按次揭印皆有事相隨豫示未來事至世末
第七章	天使印上帝僕人額．以色列各支受印者之數．見無數大衆由萬國來立寶座前．其衣悉滌於羔羊血中
第八章	揭第七印七天使得七角別有天使獻香．第一天使吹角．第二天使吹角．第三天使吹角．第四天使吹角
第九章	第五天使吹角有一星隕地得鑰開無底坑有蝗如蠍自其中出．一次災退第六天使吹角被縛之四使者見釋
第十章	大力天使顯現手持小卷．指永生主而誓以明時不再延．天使命約翰食卷
第十一章	二見證傳道．有權使天不雨．獸必與之戰而殺之．屍棄於衢．越三日有半復生．二次災退第七天使吹角
第十二章	披日踏月之婦臨產巨龍立前欲吞其子．分娩後避於野．米迦勒率天使戰龍勝之．龍墮地逼婦
第十三章	獸由海出頭七角十龍與之權．別有一獸出於地．此獸使人造前獸之像．又使人拜之．使人受其號
第十四章	羔羊與從者立於錫安山．天使傳福音．巴比倫傾．以秋收喻世末．以酒溢喻怒盛
第十五章	七天使將降七災．勝獸者歌詩．七金罇充滿上帝盛怒
第十六章	天使傾其罇．各災遂降．救主忽臨儆醒者福矣
第十七章	婦人身著紫袍手持金杯騎於獸上．此婦乃巴比倫大城諸可憎者之母．釋七頭之義．釋十角之義．羔羊必勝．淫婦受罰
第十八章	巴比倫傾．主民須出而避之．地上君王商賈皆爲之悲哀．因其受報聖徒歡喜
第十九章	上帝受讚美緣懲罰大淫婦爲僕人伸寃．羔羊之婚筵．天使不敢受拜．召羣鳥食見殺者之肉
第二十章	撒但被繫一千年．第一次復活者福矣．年滿撒但得釋誘惑歌革與瑪各．擲於硫火坑中．人盡復活受鞫
第二十一章	生命河自寶座而流河旁有生命樹．上帝爲城內光輝．天使不敢受拜．上帝之言毫不可增減
第二十二章
