新舊約全書六十六卷、各卷書目之字數太繁、繕寫不便、特於各書中簡取一二字代用、附入目錄之下、以便讀者檢閱時速記之需、列表如左、

舊約
創世記	（創）	計五十章
出埃及記	（出）	計四十章
利未記	（利）	計二十七章
民數記	（民）	計三十六章
申命記	（申）	計三十四章
約書亞記	（書）	計二十四章
士師記	（士）	計二十一章
路得記	（得）	計四章
撒母耳記上	（撒上）	計三十一章
撒母耳記下	（撒下）	計二十四章
列王紀上	（王上）	計二十二章
列王紀下	（王下）	計二十五章
歷代志上	（代上）	計二十九章
歷代志下	（代下）	計三十六章
以斯拉記	（拉）	計十章
尼希米記	（尼）	計十三章
以斯帖記	（斯）	計十章
約伯記	（伯）	計四十二章
詩篇	（詩）	計百五十章
箴言	（箴）	計三十一章
傳道書	（傳）	計十二章
雅歌	（歌）	計八章
以賽亞書	（賽）	計六十六章
耶利米書	（耶）	計五十二章
耶利米哀歌	（哀）	計五章
以西結書	（結）	計四十八章
但以理書	（但）	計十二章
何西阿書	（何）	計十四章
約珥書	（珥）	計三章
阿摩司書	（摩）	計九章
俄巴底亞書	（俄）	計一章
約拿書	（拿）	計四章
彌迦書	（彌）	計七章
那鴻書	（鴻）	計三章
哈巴谷書	（哈）	計三章
西番雅書	（番）	計三章
哈該書	（該）	計二章
撒迦利亞書	（亞）	計十四章
瑪拉基書	（瑪）	計四章

新約
馬太福音	（太）	計二十八章
馬可福音	（可）	計十六章
路加福音	（路）	計二十四章
約翰福音	（約）	計二十一章
使徒行傳	（徒）	計二十八章
羅馬人書	（羅）	計十六章
哥林多前書	（林前）	計十六章
哥林多後書	（林後）	計十三章
加拉太書	（加）	計六章
以弗所書	（弗）	計六章
腓立比書	（腓）	計四章
歌羅西書	（西）	計四章
帖撒羅尼迦前書	（帖前）	計五章
帖撒羅尼迦後書	（帖後）	計三章
提摩太前書	（提前）	計六章
提摩太後書	（提後）	計四章
提多書	（多）	計三章
腓利門書	（門）	計一章
希伯來書	（來）	計十三章
雅各書	（雅）	計五章
彼得前書	（彼前）	計五章
彼得後書	（彼後）	計三章
約翰一書	（約壹）	計五章
約翰二書	（約貳）	計一章
約翰三書	（約叁）	計一章
猶大書	（猶）	計一章
啟示錄	（啟）	計二十二章
