第一章	以西結見異象．見四生物．見四輪．見上帝榮光
第二章	以西結感神奉遣．受主訓勉．見卷
第三章	食卷．蒙勗受遣．蒙示宜如何警戒人．耶和華感以西結先封其口後啟其口
第四章	命畫圍城圖作以色列家之兆．命作餅食於側臥之日以示城困糧絕
第五章	以薙髮爲喻以示耶路撒冷背律受罰．罰以疫癘饑饉鋒刃諸災
第六章	以色列因拜像受罰．猶有遺民蒙恩免災．哀歎以色列家行惡遭災
第七章	以色列之末期已屆必受懲罰．得脫者必因己罪哀鳴．因製可憎之像敵至汚殿行掠．命製鏈索以兆被虜
第八章	以西結於異象中至耶路撒冷殿．見致忌之像．見四壁汚穢之圖．見大可憎惡之事．見人拜日．猶大行惡干主震怒
第九章	於異象中見耶路撒冷有免災者及被殺者．以西結禱主弗應
第十章	見熾炭．又見四輪．耶和華之榮光離室止於基路伯
第十一章	民牧謀惡．申述其罪與罰．以西結爲遺民禱主．耶和華諭以悔改者必得拯救旋返故土．去其石心賜以肉心．以西結感神導至迦勒底地
第十二章	命以西結遷徙以兆猶大君被虜．以西結戰懼以兆猶大人驚惶．斥以色列俗諺之非．啟示預言應驗伊邇
第十三章	責僞先知．以泥塗垣喻僞先知爲人飾掩．斥以己意預言之女．言其不復得虛僞啟示
第十四章	崇假求主不蒙垂聽．勸以轉離偶像歸主免災．民因干罪致遭饑饉．雖有義人惟可自救．使惡獸吞噬．使鋒刃臨境．使疫癘流行．上帝施行非出無因
第十五章	以葡萄木被焚喻耶路撒冷荒蕪
第十六章	以被棄之嬰喻耶路撒冷．主加以寵愛．背約縱淫．必嚴鞫其惡．其罪等於其姊撒瑪利亞甚於其妹所多瑪．耶和華許以悔罪悛改仍必蒙恩
第十七章	以二鷹一葡萄樹爲喻．闡明喻義．以植香柏高枝爲喻
第十八章	犯罪者必死亡．行義者得生存．父義子惡惟罰其子．子善父惡惟罪其父．先惡後善主不念其舊惡．先善後惡主不念其前善．主道至公．勸以悔罪離惡
第十九章	以獅陷阱喻猶大王被虜．以葡萄樹見拔喻耶路撒冷傾毀
第二十章	以色列長老諮諏耶和華不蒙啟示．追述以色列人在埃及之違逆．在曠野之違逆．在迦南之違逆．許以必由散居之國導返故土．以林木見焚爲喻
第二十一章	歷述耶路撒冷之罪．主視以色列家爲渣滓必鎔於爐．先知祭司牧伯庶民皆違法悖逆
第二十二章	以二婦喻撒瑪利亞與耶路撒冷崇邪背主．阿荷利巴必受惡報．嚴責二婦之邪淫．二淫婦必受重懲
第二十三章	以積薪沸鼎爲喻．示耶路撒冷必遭毀滅．諭以西結勿爲妻死哀哭喻以色列人受苦不暇悲傷
第二十四章	預言亞捫人樂以色列遘災必受惡報．摩押西珥亦必遭報．以東亦必遭報．非利士亦必遭報
第二十五章	推羅狂傲樂耶路撒冷受災亦必遭報．將爲巴比倫王所攻．推羅傾圮海島震動爲作哀歌
第二十六章	歎推羅創建完美．商賈雲集貿易豐富．傾覆淪亡不復振興
第二十七章	推羅君驕侈僭稱上帝必受重懲．歎其榮美爲罪汚衊．預言西頓之災．以色列必復集振興
第二十八章	預言埃及王法老遭報．必以兵刃滅絕之．越四十年必使微興．必以埃及地賜巴比倫王爲賞勞．以色列必復興起
第二十九章	埃及與其同盟必偕敗亡．耶和華折法老之肱．堅強巴比倫王之肱
第三十章	向法老述亞述王之榮美．因其驕狂邪惡必遭敗亡．埃及亦必墮落
第三十一章	哀歎埃及之災．必爲巴比倫王殲滅．埃及之淪亡
第三十二章	戍卒之職任．立以西結爲戍卒．上帝不悅惡人死亡．善惡報施主道至公．以西結聞耶路撒冷城陷受感預言．妄論先知者必受懲罰
第三十三章	譴責牧者．必加懲罰．耶和華躬自作牧．預言其僕必牧羣羊
第三十四章	預言西珥仇害以色列必遭重罰
第三十五章	敵以色列者必受重報．以色列地必復蒙福．以色列人因罪受鞫．主緣己名仍施矜憫．許賜新心
第三十六章	以西結感神見枯骨復生．示以色列家絕望仍得復興．命連二杖爲一預表以色列猶大必合爲一．耶和華許立一王統治其國．立永約
第三十七章	預言歌革受災之重．述其暴行．受主烈怒
第三十八章	預言歌革受罰．以色列人取其器械爲薪．葬其尸於以色列地．飛鳥食其肉飲其血．以色列家因罪被棄．後必蒙恩復歸故土
第三十九章	以西結感神見以色列地有築城之異象．東門之式度．外院北門之式度．南門之式度．內院東門之式度．北門之式度．門旁備宰祭牲之几．謳歌者及祭司之室．殿前廊之式度
第四十章	殿之尺度．旁室之式度
第四十一章	聖室之式度．四周之式度
第四十二章	耶和華之榮充盈聖殿．以色列族棄邪行耶和華永居其中．勸以色列人自恥其罪．祭壇之尺度．獻祭之禮儀
第四十三章	命閉東門．惟君王可出入之．見主榮光充盈聖室．祭司因汚殿遭譴．未受割者不得入聖地．惟撒督裔可作祭司．爲祭司定例．耶和華爲其恆業
第四十四章	歸聖所之地分．定建邑之地分．歸君之地分．爲君定例
第四十五章	君王獻祭之例．庶民獻祭之例．君子承業之例．祭司烹祭牲之所
第四十六章	見水由殿門下湧出．水之利用．以色列地之境界．掣籤分地
第四十七章	十二支派所得之地．當獻之地．歸邑之地．歸君之地．邑之局量
第四十八章
