第一章	埃及新王虐遇以色列人．收生者敬畏上帝存留男子
第二章	摩西生藏匿三月．摩西逃往米甸
第三章	耶和華顯見於荊棘火中．遣摩西領以色列人出埃及
第四章	杖化蛇爲證．手生癩爲證．耶和華命摩西行奇事於法老前
第五章	法老益虐以色列民
第六章	上帝復言所許．記摩西亞倫之世系
第七章	摩西亞倫受上帝命．杖化蛇爲證．法老剛硬厥心．水變血之災
第八章	蛙災．蚋災．蠅災
第九章	畜疫之災．瘍疹之災．雹災
第十章	蝗災．晦冥之災
第十一章	以末次之災警告法老
第十二章	定逾越節之禮．耶和華擊殺埃及長子．以色列人出埃及．申明逾越節例
第十三章	以色列中凡首生者區別爲聖
第十四章	法老追襲以色列人．投埃及人於海
第十五章	摩西歌頌耶和華．米利暗歌頌耶和華．以色列人至瑪拉．至以琳遇水泉十二
第十六章	以色列人至曠野．許使鶉至．降瑪那．斂糧之例
第十七章	耶和華命摩西擊磐出水．戰敗亞瑪力人
第十八章	葉忒羅獻策
第十九章	民至西乃山．耶和華於火中降臨西乃山
第二十章	傳十誡．民戰懼．禁造像
第二十一章	待盜竊之例．戒民數例
第二十二章	安息年．當守之節期．當獻初實．復許導以色列民進迦南
第二十三章	耶和華召摩西登山．摩西復登西乃山
第二十四章	造匱之法則．造几之法則．造燈臺之法則
第二十五章	造幕幔之法則．造幕板之法則．造㡘之法則
第二十六章	造祭壇之法則．燃燈之例
第二十七章	命爲亞倫製聖服．作補服之法則．作長衣之法則．爲祭司製衣冠
第二十八章	示以立亞倫及其子爲祭司當獻之物當行之禮．祭司當得之分．每日當獻之祭
第二十九章	造香壇之法則．每人當獻贖命之價．當以銅作浴盤．製聖膏之法則．製聖香之法則
第三十章	特簡比撒列亞何利亞伯製造會幕及諸器．當守安息日爲徵．以二法版錫摩西
第三十一章	亞倫造犢．摩西怒碎法版．耶和華討民之罪
第三十二章	耶和華不欲與民偕往．摩西祈耶和華與之偕往
第三十三章	復造法版．勿奉他神．民見摩西顏面發光
第三十四章	守安息日之例．諭民獻禮物
第三十五章	造幕幔．造幕板．造㡘
第三十六章	造法匱．造几．造燈臺．造香壇
第三十七章	造祭壇．造浴盤．立幕院．核計民獻金銀銅之數
第三十八章	作聖衣．作補服．作長衣．作裏衣．造冕牌．幕工告竣
第三十九章	命摩西建會幕．耶和華之榮光充盈會幕
第四十章
