第一章	亞哈謝之使遇以利亞．亞哈謝死約蘭嗣位
第二章	以利沙求感以利亞之神臨己維倍．以利亞乘旋風升天．先知徒遣人尋以利亞三日不遇．以利沙行奇事於耶利哥
第三章	摩押王米沙叛．三王合攻摩押．以利沙之指導與預言．摩押人敗遁
第四章	以利沙爲嫠婦行奇事．書念婦接待以利沙．書念婦生子．子死以利沙甦之．先知徒中毒以利沙解之．以二十餅飽百人
第五章	乃縵患癩求治於以利沙．浴於約但得潔．乃縵餽物以利沙不受．基哈西之貪冒．得財致患癩疾
第六章	亞蘭人圍多坍．以利沙慰安其僕．導敵入邑以飲食之．亞蘭王圍撒瑪利亞．邑人絕糧易子而食
第七章	以利沙預言撒瑪利亞將豐裕．四癩者報敵已遁．預言應驗
第八章	王聞書念婦事命反其業．便哈達遘疾．便哈達被弒．約蘭爲猶大王
第九章	以利沙遣徒詣耶戶．耶戶爲以色列王．射殺約蘭．擊殺亞哈謝．擲殺耶洗別
第十章	耶戶遺書耶斯列長老．戮亞哈衆子．戮亞哈謝昆弟．計滅崇拜巴力者．耶戶仍拜金犢．哈薛攻以色列地
第十一章	亞他利雅滅王室自立．耶何耶大與衆立約誓輔王子．亞他利雅見殺．耶何耶大使王與民崇事耶和華
第十二章	約阿施爲猶大王．命修葺聖殿．約阿施被弒
第十三章	約哈斯爲以色列王．約阿施爲以色列王．以利沙遘疾．以利沙卒
第十四章	亞瑪謝爲猶大王．向約阿施索戰．亞瑪謝被弒
第十五章	亞撒利雅爲猶大王．撒迦利雅爲以色列王．沙龍爲以色列王．米拿現爲以色列王．比加轄爲以色列王．比加爲以色列王．約坦爲猶大王
第十六章	亞哈斯爲猶大王．亞蘭王以色列王合攻耶路撒冷．亞哈斯求救於亞述王．擅更祭壇祭禮．私移聖殿之器
第十七章	何細亞爲以色列王．亞述王陷撒瑪利亞．置異族人於撒瑪利亞
第十八章	希西家爲猶大王．依附耶和華遵守其誡．西拿基立攻猶大諸邑．拉伯沙基之狂語
第十九章	希西家聞之而憂．以賽亞之慰詞．希西家祈禱．以賽亞預言耶和華拯救
第二十章	希西家遘疾．以府庫寶物示巴比倫王之使
第二十一章	約西亞爲猶大王．修葺聖殿．復得律書
第二十二章	宣約書於民而立約．命除偶像及諸惡行．埃及王殺約西亞．約哈斯爲猶大王．法老尼哥囚約哈斯立約雅敬
第二十三章	約雅敬卒子約雅斤嗣位．巴比倫王圍攻耶路撒冷．約雅斤與臣民被虜至巴比倫．巴比倫王立西底家爲王
第二十四章	西底家王叛．耶路撒冷陷．聖殿被掠．立基大利爲方伯．以實瑪利殺基大利．巴比倫王厚待約雅斤
第二十五章
