第一章	燔祭之例
第二章	素祭之例
第三章	酬恩祭之例
第四章	贖罪祭之例．爲會衆獻贖罪祭．爲民長獻贖罪祭．爲庶民獻贖罪祭
第五章	補過祭之例
第六章	祭司獻燔祭之任．祭司獻素祭之任．祭司獻贖罪祭之任
第七章	祭司獻補過祭之任．祭司獻酬恩祭之任．祭司當得之分
第八章	膏亞倫使之成聖．亞倫與其子任聖職
第九章	亞倫獻祭
第十章	拿答亞比戶干罪．祭司入會幕之例．祭司食祭物之例
第十一章	示潔與不潔之生物．捫自斃之物必蒙不潔．禁食匍匐於地之物
第十二章	婦人生子成潔之例
第十三章	檢驗癩疾之例
第十四章	患癩者成潔之例．染疾之宅成潔之例
第十五章	患白濁等疾之例
第十六章	每歲當守贖罪日一次
第十七章	宰牛羊之規．禁食血
第十八章	勿亂骨肉之親
第十九章	戒民數例
第二十章	禁以子女獻摩洛．禁淫人之妻．當遵守耶和華之典章律例
第二十一章	祭司若蒙不潔勿近聖物．牲若有疵勿獻爲祭
第二十二章	當守之節期．安息日．除酵節．五旬節．贖罪日．構廬節
第二十三章	燃燈之例．陳設餅．詛聖名者殺勿赦
第二十四章	安息年．禧年．贖地之例．贖宅之例．勿取貧者之利．窮乏者自鬻之例．鬻於外人者宜贖之
第二十五章	遵命者降之福．逆命者降之災．承認罪愆始蒙垂念
第二十六章	許願之例．什輸其一
第二十七章
