第一章	上帝創造天地．照己之象造人
第二章	立伊甸園．爲男造配偶
第三章	始祖被誘惑．違背主命．逐出伊甸
第四章	生該隱亞伯．該隱殺其弟
第五章	亞當之後裔．以諾被主接去
第六章	耶和華悔造人於地．上帝諭挪亞造方舟
第七章	挪亞進方舟．洪水氾濫四十日
第八章	洪水消落．挪亞放鴉與鴿出方舟．挪亞全家出方舟．挪亞築壇獻祭
第九章	上帝錫嘏挪亞．以虹爲徵．迦南受呪詛
第十章	閃含雅弗之後裔
第十一章	變亂口音．亞伯蘭離吾珥往迦南
第十二章	應許萬族因亞伯蘭得福．亞伯蘭因饑下埃及．法老責亞伯蘭
第十三章	亞伯蘭與羅得分離
第十四章	四王與五王戰．亞伯蘭救援羅得．麥基洗德祝嘏亞伯蘭
第十五章	上帝許亞伯蘭後裔多如衆星
第十六章	撒萊虐遇夏甲
第十七章	上帝易亞伯蘭名爲亞伯拉罕．始定割禮．易撒萊名爲撒拉．許生以撒．始受割
第十八章	亞伯拉罕接待天使．許撒拉生子．上帝將滅所多瑪蛾摩拉．亞伯拉罕爲所多瑪祈求
第十九章	羅得接待二天使．天使救援羅得．引領羅得避災．毀滅所多瑪蛾摩拉
第二十章	亞比米勒責亞伯拉罕
第二十一章	上帝試亞伯拉罕
第二十二章	撒拉埋葬
第二十三章	亞伯拉罕遣僕爲子娶妻．拉班迎接僕人．僕人述說來意．拉班彼土利允諾．以撒娶利百加爲妻
第二十四章	亞伯拉罕繼娶基土拉．亞伯拉罕考終．以實瑪利之後裔．以掃雅各生．以掃鬻長子之業
第二十五章	以撒旅基拉耳．受亞比米勒之責．以撒與亞比米勒結盟．以掃娶二妻
第二十六章	雅各欺父．以掃痛哭求父祝嘏．以掃懷恨雅各欲殺之
第二十七章	以撒遣雅各娶妻於舅家．雅各夢中得示．雅各許願
第二十八章	雅各遇拉結．拉班迎接雅各．拉班以利亞妻雅各．雅各又娶拉結．利亞與兩妾生子
第二十九章	雅各與拉班定工值．雅各用策致富
第三十章	雅各思歸故土．雅各竊遁．拉班追之．拉班責雅各竊其神像．雅各斥責拉班．二人結盟
第三十一章	雅各懼以掃．饋禮與以掃．雅各與天使角力勝之．上帝賜名以色列
第三十二章	兄弟相見．雅各往示劍
第三十三章	雅各子用計戮示劍族
第三十四章	雅各往伯特利築壇．拉結生子而死．以撒考終
第三十五章	以掃後裔．西珥後裔．記以東諸王
第三十六章	約瑟以兄過告父．約瑟得夢述於諸兄．鬻約瑟於以實瑪利人．雅各裂衣爲子悲哀
第三十七章	他瑪由舅孿生二子
第三十八章	主母誣約瑟．波提乏囚約瑟於獄
第三十九章	酒政膳長同夜得夢．約瑟解酒政之夢．解膳長之夢
第四十章	法老連得二夢．酒政薦約瑟．約瑟爲法老解夢．法老立約瑟爲埃及宰
第四十一章	雅各遣子往埃及糴糧．約瑟囚兄令攜弟至．見金在囊則懼．雅各不欲幼子遠適
第四十二章	雅各遣子復往糴糧．約瑟爲昆弟設席
第四十三章	約瑟用策留弟以試諸兄
第四十四章	約瑟與昆弟相認．法老命約瑟迎父
第四十五章	記雅各家下埃及者之名．約瑟往歌珊迎父
第四十六章	約瑟簡弟兄見法老．約瑟引雅各見法老．約瑟以糧易畜．以糧易田．雅各遺命於約瑟
第四十七章	約瑟攜二子見雅各．雅各爲約瑟祝嘏
第四十八章	雅各作歌預言將來之事．遺囑葬事
第四十九章	約瑟歸葬其父．約瑟遺囑昆弟攜其骨歸故土
第五十章
