第一章	猶大人取比色耶路撒冷希伯崙底璧諸邑．以色列人未逐之族
第二章	耶和華使者見於波金．約書亞卒後以色列人違棄耶和華
第三章	遺留數族以試以色列人．俄陀聶興起爲救者．以笏興起．珊迦擊敗非利士人
第四章	底波拉爲士師．巴拉底波拉戰敗西西拉．雅億釘死西西拉
第五章	底波拉巴拉謳歌
第六章	以色列人爲米甸人所虐．耶和華之使者見於基甸．基甸奉命毀巴力壇．以羊毛濕燥爲徵
第七章	留三百人以擊米甸．基甸用策驚潰敵軍．誅俄立西伊伯
第八章	基甸以婉言慰以法蓮人．誅西巴撒慕拿．基甸治理以色列人
第九章	亞比米勒戮基甸衆子．約坦設喻責示劍人．迦勒謀攻亞比米勒．亞比米勒戰敗迦勒．焚示劍臺．亞比米勒被傷而亡
第十章	陀拉爲士師．睚珥爲士師．以色列人違逆耶和華
第十一章	民立耶弗他爲帥．耶弗他與亞捫人辯理．耶弗他許願
第十二章	以法蓮人怨耶弗他．耶弗他卒
第十三章	以色列人爲非利士人所制．瑪挪亞與妻見天使．參孫生
第十四章	參孫娶非利士女爲妻．路殺稚獅．以謎語難客
第十五章	參孫束炬於狐尾以焚禾稼．猶大人縛參孫．參孫以驢頰骨擊敵
第十六章	大利拉誘詰參孫力何由至．參孫洩其有力之故．非利士人戲侮參孫．參孫傾覆神室與敵偕亡
第十七章	米迦立像
第十八章	但族遣人覓地．取米迦家之像與祭司．取拉億邑更名曰但
第十九章	利未人至伯利恆迎其妾．基比亞匪徒之惡行
第二十章	民衆議討基比亞．以色列人諮諏上帝．便雅憫人敗
第二十一章
