第一章	以利加拿攜二妻至示羅獻祭．哈拿祈子．撒母耳生．撒母耳被獻於耶和華
第二章	哈拿頌禱耶和華．以利二子之劣行．預言以利家必遘奇禍
第三章	撒母耳初得啟示．撒母耳爲先知
第四章	非利士人戰敗以色列人．約匱見奪．以利死
第五章	置約匱於大袞廟．非利士人患痔
第六章	送約匱獻補過祭
第七章	舁約匱於基列耶琳．撒母耳祈禱勝敵
第八章	以色列人求立王撒母耳不悅．耶和華命撒母耳從民言立王
第九章	掃羅詣撒母耳．撒母耳與掃羅共食
第十章	撒母耳膏掃羅．掃羅感神而言．掣籤得掃羅爲王
第十一章	拿轄恐嚇雅比人．掃羅擊敗亞捫人
第十二章	撒母耳自白於民衆
第十三章	掃羅率民擊非利士人．掃羅獻祭．以色列地乏軍械
第十四章	約拿單敗非利士人於密抹．以色列人追敵至伯亞文．約拿單誤違父誓．掃羅欲殺約拿單民衆救之得免．掃羅之戰績．掃羅之族譜
第十五章	命滅亞瑪力人．掃羅違命．撒母耳責掃羅．掃羅認罪．誅亞甲王
第十六章	撒母耳詣耶西．撒母耳膏大衞．掃羅召大衞鼓琴驅魔
第十七章	歌利亞狂語索戰．大衞聞歌利亞言則忿．大衞自請出戰．擊殺歌利亞．非利士人潰敗．押尼珥引大衞見掃羅
第十八章	約拿單愛慕大衞．掃羅立之爲武士長．婦女讚大衞之勇掃羅不悅．掃羅以女米拉許大衞．掃羅畏大衞
第十九章	約拿單褒揚大衞．米甲釋大衞．掃羅及其使感神而言
第二十章	大衞自愬於約拿單．約拿單與大衞結盟．掃羅怒責約拿單．大衞與約拿單泣別
第二十一章	大衞匿於亞杜蘭穴．掃羅責臣不忠於己．多益殘殺挪伯諸祭司．亞比亞他逃歸大衞
第二十二章	大衞救基伊拉．掃羅追索大衞．大衞去基伊拉．復與約拿單立約．掃羅追大衞於瑪雲野
第二十三章	大衞在隱基底不害掃羅．大衞向掃羅自白．掃羅自承其過
第二十四章	撒母耳卒．大衞遣使求餽於拿八．拿八以惡語詈之．亞比該求恕於大衞．大衞釋怒．拿八死．大衞娶亞比該爲妻
第二十五章	掃羅復索大衞．大衞在西弗不害掃羅．諫勸掃羅．掃羅自承其謬
第二十六章	大衞遁至非利士
第二十七章	掃羅往見隱多珥女巫．命招撒母耳．撒母耳責掃羅．掃羅驚懼而仆
第二十八章	非利士人集於亞弗．牧伯疑忌大衞
第二十九章	亞瑪力人焚掠洗革拉．大衞追亞瑪力人．盡返掠物．定分虜物之例
第三十章	非利士戰敗以色列人．掃羅自殺三子陣亡．焚掃羅及子之尸葬於雅比
第三十一章
