第一章	大衞聞報基利波山之噩耗．爲掃羅及約拿單作哀歌
第二章	大衞受膏爲猶大王．伊施波設爲以色列王．押尼珥與以色列人敗遁．亞撒黑追襲押尼珥被殺
第三章	大衞初生之子．押尼珥結約歸大衞．約押疑忌押尼珥．刺殺押尼珥．大衞哀悼押尼珥
第四章	以色列人聞押尼珥死則恐惶．伊施波設被殺
第五章	大衞爲猶大及以色列王．攻取錫安保障．戰敗非利士人
第六章	舁上帝匱至毘列斯烏撒．舁匱入大衞城．掃羅女米甲見大衞舞蹈則鄙夷之
第七章	大衞立意爲耶和華建殿．大衞之祈禱與頌感
第八章	戰敗非利士人與摩押人．戰敗亞蘭人．爲民施行公義
第九章	大衞以仁慈待米非波設
第十章	大衞遣使詣哈嫩．遣將戰亞捫人與亞蘭人．亞蘭亞捫二族敗遁
第十一章	大衞干罪．謀殺烏利亞．娶拔示巴
第十二章	拿單詣大衞設喻．明斥其罪．大衞子遘疾致死．所羅門生．攻取拉巴
第十三章	暗嫩詐病汚他瑪．押沙龍計復妹仇．暗嫩被殺．押沙龍遁
第十四章	約押藉哲婦感大衞．允押沙龍歸．押沙龍之容儀．大衞召見押沙龍
第十五章	押沙龍結民謀位．押沙龍叛．大衞遁．命撒督亞比亞他戶篩返耶路撒冷
第十六章	洗巴誑言欺大衞．大衞容忍示每．戶篩詐歸押沙龍
第十七章	戶篩敗亞希多弗之策．遣人告大衞速濟約但．亞希多弗縊死．押沙龍追襲大衞
第十八章	押沙龍敗．押沙龍死．二人報信．大衞聞信慟哭
第十九章	約押諫王．大衞返耶路撒冷．米非波設向大衞自白．以色列人與猶大人互爭
第二十章	示巴叛．約押刺殺亞瑪撒．約押追襲示巴．示巴被殺
第二十一章	大衞頌美之歌
第二十二章	大衞末終之言．記大衞之勇士
第二十三章	核以色列人與猶大人．耶和華怒降疫癘．大衞築壇獻祭
第二十四章
