第一章	亞當之譜系．亞伯拉罕之後裔．以掃之後裔．西珥之後裔．以東諸王．以東諸族長
第二章	以色列之後裔．猶大之後裔．希斯崙之後裔．迦勒之後裔
第三章	大衞之諸子．所羅門之後裔
第四章	復記猶大之後裔．西緬之後裔
第五章	流便之後裔．迦得之後裔．流便迦得瑪拿西族勝敵據地．瑪拿西半支派所居之地．二支派半人違逆上帝
第六章	利未之後裔．大衞立司理謳歌者．亞倫後裔之職任．亞倫後裔之邑郊
第七章	以薩迦之後裔．便雅憫之後裔．拿弗他利之後裔．瑪拿西之後裔．以法蓮之後裔．以法蓮裔所居之邑鄕．亞設之後裔
第八章	便雅憫之後裔
第九章	居耶路撒冷之以色列後裔．利未人之職任
第十章	掃羅及其子見殺
第十一章	以色列民集於希伯崙膏大衞爲王．大衞攻取錫安保障．記大衞之諸勇士
第十二章	詣洗革拉歸大衞之勇士．迦得族歸大衞之勇士．歸大衞之便雅憫猶大人．歸大衞之瑪拿西人．歸大衞之戰士成軍．以色列民同心立大衞爲王
第十三章	大衞舁約匱至俄別以東家
第十四章	記大衞之諸子．大衞擊敗非利士人
第十五章	爲上帝匱備所．任利未人舁約匱．命利未族長立謳歌者作樂．舁約匱入大衞城
第十六章	大衞獻祭爲民祝嘏．立利未人供役於匱前．大衞歌頌耶和華．留亞薩及其昆弟恆供事於約匱前
第十七章	大衞有意爲耶和華建殿上帝不許．大衞之祈禱
第十八章	大衞再敗非利士人．敗摩押人．敗亞蘭人．亞比篩擊以東人．大衞王秉公治民
第十九章	大衞遣使詣哈嫩．亞捫人備戰．亞蘭人與亞捫人敗遁
第二十章	約押攻取拉巴．三敗非利士人
第二十一章	囑所羅門爲主建殿
第二十二章	所羅門爲以色列王．利未人之職任
第二十三章	亞倫後裔之班次．其餘利未之裔亦掣籤得職
第二十四章	大衞簡立謳歌者．籤分二十四班
第二十五章	司閽者之班次．掌府庫之利未人．爲有司士師之利未人
第二十六章	以色列族之班長．記各支派之長．記大衞諸臣及其職守
第二十七章	大衞集衆宣述建殿之意．以聖殿模式示所羅門．特勗所羅門
第二十八章	大衞王備金銀銅鐵木石建殿．會衆盡心樂輸．大衞稱頌耶和華．會衆頌讚耶和華．復膏所羅門立之爲王．大衞考終
第二十九章
