第一章	所羅門詣基遍獻祭．祈求智慧．上帝更錫以富有尊榮
第二章	所羅門定意建殿．推羅王希蘭允助其成．所羅門選匠派工
第三章	開始建殿．殿之度式．製基路伯．製柱
第四章	製銅壇鑄銅海．製浣濯盤．製金燈臺．造几．造院及院門．造聖殿諸器
第五章	殿工告竣．舁匱入殿
第六章	所羅門爲民祝嘏．大伸祈禱
第七章	耶和華榮光充盈殿宇．所羅門與民獻祭．集民守節．耶和華之警戒與應許
第八章	所羅門建邑．徵異族人服役．獻燔祭．定祭司之班利未人之職．航海之舟楫
第九章	示巴女王覲所羅門．所羅門之豐富．列王咸欲聽其哲言．所羅門卒其子羅波安嗣位
第十章	羅波安違棄耆老之謀．以色列人叛
第十一章	耶和華禁羅波安與以色列戰．祭司利未人咸歸羅波安．羅波安之室家
第十二章	羅波安違棄耶和華．埃及王示撒攻耶路撒冷．奪取聖殿及王宮之寶物．羅波安卒
第十三章	亞比雅爲猶大王．猶大與以色列人戰．以色列人敗遁
第十四章	亞比雅卒其子亞撒嗣位．古實人謝拉攻猶大見敗
第十五章	亞撒納亞撒利雅之勸勉．奮志除諸可憎之物．貶祖母瑪迦之后位
第十六章	以色列王巴沙攻猶大．亞撒求助於亞蘭王．哈拿尼責猶大王．亞撒卒
第十七章	約沙法爲猶大王．奮志爲善．列國畏其強盛臣服納貢
第十八章	約沙法之豐富．約沙法與亞哈求先知諮諏耶和華．米該雅之警戒．米該雅受批被執．二王偕攻基列拉末．以色列王中箭而死
第十九章	約沙法見責．爲民立士師
第二十章	約沙法禁食祈禱以敗敵．敵遭殲滅．約沙法與亞哈謝聯盟
第二十一章	亞哈謝爲猶大王．亞哈謝被殺．亞他利雅滅王室自立
第二十二章	耶何耶大謀攻亞他利雅．亞他利雅被殺．耶何耶大與民及王立約
第二十三章	約阿施爲王．重修聖殿．耶何耶大考終．王與民離棄耶和華．撒迦利亞責民見殺
第二十四章	亞瑪謝爲猶大王．募以色列兵欲攻以東因諫阻而遣之．西珥人被戮．亞瑪謝拜像見責．亞瑪謝敗遁．被弒於拉吉
第二十五章	烏西雅爲猶大王．上帝助其強盛．烏西雅干罪生癩．烏西雅卒
第二十六章	約坦爲猶大王
第二十七章	亞哈斯爲猶大王．爲亞蘭王所敗．以色列人返猶大俘虜．亞哈斯求助於亞述王．祭大馬色之神．亞哈斯卒
第二十八章	希西家爲猶大王．命利未人潔殿．獻贖罪祭．獻燔祭．獻感謝祭與燔祭
第二十九章	以色列人及猶大人咸至耶路撒冷守逾越節
第三十章	毀棄諸偶．定獻祭之例．獻什一之例．希西家行耶和華所悅
第三十一章	亞述王西拿基立圍攻猶大．輕侮希西家．謗讟耶和華．亞述王受敗蒙羞．希西家遘疾．希西家之富有尊榮．希西家卒
第三十二章	瑪拿西爲王行耶和華所惡．因違逆受罰．悔罪祈主．瑪拿西卒．亞們爲王
第三十三章	約西亞爲王毀除崇邱偶像．修葺聖殿．希勒家得律書．王誦約書於民衆．立約守誡
第三十四章	守逾越節．樂獻祭品．約西亞與埃及王尼哥戰重傷而死
第三十五章	約哈斯爲王．約雅敬爲王．西底家爲王．耶路撒冷見毀遺民被虜
第三十六章
