第一章	核以色列族能臨陳丁男之總數．利未支派不列其數
第二章	記各支派牧伯建營之所
第三章	區別利未人服事亞倫．利未丁男之數與其職守．利未人代以色列族首生之男
第四章	哥轄子孫之職任．革順子孫之職任．米拉利子孫之職任．記利未人自三十歲至五十者之數
第五章	凡不潔者屏諸營外．疑妻行淫試驗之法
第六章	作拿細耳人之例．祭司爲以色列人祝嘏之語
第七章	會幕建立牧伯獻禮
第八章	燃燈之例．潔利未人之例
第九章	當守逾越節．雲覆會幕
第十章	製銀角．以色列人離西乃野至巴蘭野循序啟行
第十一章	民發怨言干耶和華怒．簡長老七十人輔助摩西．伊利達米達感神而言．民食鶉而遘重災
第十二章	米利暗患癩
第十三章	摩西遣人窺迦南地．窺地者復命
第十四章	以色列衆向摩西亞倫發怨言．耶和華怒民違逆欲殲滅之．摩西爲民求赦．以色列衆發怨言者必死於野．民至何珥瑪爲敵所敗
第十五章	獻祭之例．爲誤犯罪獻祭之例．犯安息日者致之死．命於衣邊綴繸
第十六章	可拉黨叛逆．可拉黨受刑．民怨摩西亞倫致遘疫癘
第十七章	亞倫之杖萌芽舒蕊
第十八章	祭司與利未人之職．祭司當得之物．十取其一予利未人
第十九章	命焚騂犢爲灰以潔不潔之民
第二十章	米利暗卒．摩西在米利巴擊磐出水．以東不允以色列人過其境．亞倫卒
第二十一章	巴勒召巴蘭．天使阻巴蘭．天使責言．巴勒迎巴蘭
第二十二章	巴蘭作歌．復作歌
第二十三章	巴蘭三作歌．四作歌
第二十四章	以色列人在什亭奉巴力毘珥．非尼哈之熱衷
第二十五章	核民數
第二十六章	西羅非哈之女求產業．示摩西將歸乃祖．簡約書亞繼摩西職
第二十七章	恆獻燔祭之例．安息日當獻之祭．月朔當獻之祭．逾越節當獻之祭．七七節當獻之祭
第二十八章	吹角日當獻之祭．贖罪日當獻之祭．構廬節當獻之祭
第二十九章	許願之例
第三十章	戮米甸人．分所獲之物．五十輸一貢於耶和華
第三十一章	流便迦得二族求業於約但東．以約但東地給流便迦得二族及瑪拿西支派之半
第三十二章	記以色列人由蘭塞啟行至亞伯什亭
第三十三章	命定迦南地之境界．所簡分地之人
第三十四章	命以色列族以邑予利未人．簡邑爲逃城．故殺之例
第三十五章	承業之女適人之例
第三十六章
