第一章	摩西宣述昔從何烈啟行之事．簡明哲人爲長．遣人窺地．民衆弗信．在何珥瑪敗績
第二章	自加低斯巴尼亞至撒烈溪之路．經過摩押亞捫之地．戰敗希實本王西宏
第三章	戰敗巴珊王噩．以約但東地給予二支派有半．摩西不得渡約但
第四章	勸民遵守耶和華之典章律例．設立河東之逃城
第五章	上帝在何烈與民立約．復述十誡．民見火焚於山而懼
第六章	勸民畢生遵守誡命．勿從他神
第七章	戒民陷於拜像之罪．聽從律例必蒙賜嘏．勸民勿懼必勝諸敵
第八章	當憶上帝之引導．愼起驕傲致忘耶和華恩
第九章	復述耶和華賜法版．民鑄犢像．民衆悖逆摩西爲之祈禱
第十章	摩西復居於山四十晝夜．勸民寅畏耶和華遵行其道
第十一章	恪守誡命必蒙福祉．當恒憶耶和華之言．論詛與祝
第十二章	獻祭當詣耶和華所選之處．宰牲食肉之例
第十三章	戒受引誘從事他神
第十四章	禁爲死者割肉薙額．示以潔與不潔之物
第十五章	論豁免年．宜濟貧乏．釋放奴婢之例
第十六章	逾越節．七七節．構廬節
第十七章	牲若有疵勿獻爲祭．訟事難斷須請示．立王必以上帝所簡
第十八章	利未人之業．勿從異邦惡俗．許以挺生先知．待假先知之例
第十九章	設立逃城．毋移界址．證者惟一不能定讞
第二十章	可免戰者．攻城先告以和
第二十一章	應守之數例．禁止淫行
第二十二章	不得入耶和華會者．出戰攻敵營潔爲務．許願之例
第二十三章	出妻之例．貸物取質之例．勿欺貧傭．審斷宜公．刈禾之例
第二十四章	笞責之限．弟宜爲兄立嗣．宜滅亞瑪力族
第二十五章	獻初實之例
第二十六章	命立石錄律．祝嘏於基利心山．宣詛於以巴路山
第二十七章	遵行誡命必蒙福祉．違逆主言必受重禍
第二十八章	在摩押與以色列人立約之言
第二十九章	應許與誡命
第三十章	摩西臨終之勸勉．授律書於祭司．特勗約書亞．命置律書於約匱側
第三十一章	摩西作歌．勸民守律．命摩西登尼波山
第三十二章	摩西祝嘏以色列人
第三十三章	摩西卒
第三十四章
