第一篇	善惡之比較
第二篇	耶和華之受膏者爲王
第三篇	晨興之祈禱
第四篇	求耶和華矜恤允其所祈
第五篇	求耶和華護佑脫於惡人
第六篇	遭患難求耶和華憐恤
第七篇	求耶和華興起禦敵
第八篇	耶和華之榮耀人之尊貴
第九篇	稱頌耶和華之公義
第十篇	求耶和華傾惡人救貧苦
第十一篇	託庇耶和華者不畏強敵
第十二篇	口諂舌誇者耶和華滅絕之
第十三篇	罹憂苦求耶和華眷顧
第十四篇	人之愚昧及罪惡
第十五篇	得居聖山者之品行
第十六篇	生死均賴上帝獲福
第十七篇	託庇耶和華者得脫惡敵
第十八篇	因勝仇敵稱頌主恩
第十九篇	上帝之行彰顯其榮．上帝之言純潔眞誠
第二十篇	祈耶和華援其受膏者使之得勝
第二十一篇	歌頌耶和華之救恩
第二十二篇	遇極苦時之祈禱．謝主恩佑之稱頌
第二十三篇	耶和華爲牧者
第二十四篇	得陟聖山之人．尊榮之王
第二十五篇	求耶和華訓導赦宥
第二十六篇	自言行爲純正求耶和華救贖
第二十七篇	以耶和華爲保障中心無懼
第二十八篇	求耶和華垂聽其祈．頌耶和華因允其求
第二十九篇	耶和華之威聲
第三十篇	稱頌耶和華之救死
第三十一篇	依賴耶和華求其救援
第三十二篇	蒙主赦宥乃爲有福．倚恃耶和華者必得慈惠
第三十三篇	頌讚耶和華之誠信功能．以耶和華爲上帝者其國有福
第三十四篇	頌讚耶和華之救恩．託庇於主者乃爲有福
第三十五篇	求耶和華拯救懲報其敵
第三十六篇	惡人之罪惡．上帝之慈惠
第三十七篇	作惡者之危殆．恃主者之安穩
第三十八篇	哀陳苦况求主矜憐
第三十九篇	世事虛幻惟主是望
第四十篇	蒙主救拔脫離苦難
第四十一篇	遘疾時怨契友言行虛僞
第四十二篇	在異域遭難時企望上帝
第四十三篇	求上帝救援
第四十四篇	追念上帝古昔之恩．陳述己身今時之苦
第四十五篇	頌讚上帝之威榮美德
第四十六篇	上帝爲其民之避所
第四十七篇	耶和華爲全地之君
第四十八篇	頌讚郇山之榮美
第四十九篇	歎世人恃財之愚
第五十篇	上帝蒞臨秉公行鞫．警教選民．嚴責惡人
第五十一篇	誠懇悔罪切求恩宥
第五十二篇	歎惡人狂妄自詡
第五十三篇	愚人不知有上帝
第五十四篇	遭敵迫害求主扶助
第五十五篇	受敵暴虐求其被滅．深信上帝必施拯救
第五十六篇	哀訴仇敵之虐害．頌感上帝之救恩
第五十七篇	被敵圍困靠主施援
第五十八篇	求上帝降罰惡人
第五十九篇	求主救援脫離敵害
第六十篇	因遭破敗向上帝哀訴．倚恃上帝勝敵
第六十一篇	託庇上帝必蒙恩佑
第六十二篇	惟上帝是恃不畏敵害
第六十三篇	尋求上帝者必得飽足
第六十四篇	求主保護脫離暗中之敵
第六十五篇	頌讚主恩因聽其祈．述上帝之恩澤及萬物
第六十六篇	頌讚上帝之大能．頌美上帝聽允其祈
第六十七篇	勸萬民稱讚上帝
第六十八篇	求主興起使惡人滅亡義人歡欣．讚美上帝眷顧其民．稱頌上帝施行大能
第六十九篇	哀陳苦况求主眷顧．求上帝懲罰仇敵
第七十篇	求耶和華援助使敵蒙羞
第七十一篇	自幼恃主求其扶助．述其公義拯救大能奇行
第七十二篇	爲王祈禱
第七十三篇	善惡結局之比較
第七十四篇	哀訴選民受制聖殿被毀
第七十五篇	升降黜陟權操上帝
第七十六篇	雅各之上帝顯威榮以制敵
第七十七篇	遇難時追思上帝心得安慰
第七十八篇	述選民違逆及上帝恩導
第七十九篇	哀訴耶路撒冷屠毀之苦．望上帝以大能救援
第八十篇	因選民遭難求主矜憐
第八十一篇	歌頌上帝之鴻恩．嗟歎選民之剛愎
第八十二篇	嚴責不公之鞫
第八十三篇	因敵謀絕選民求上帝使之滅亡
第八十四篇	渴慕耶和華殿宇．得力於主者乃爲有福．居主殿宇者承受恩榮
第八十五篇	求耶和華施恩其民
第八十六篇	貧乏者之祈禱
第八十七篇	郇民之福源
第八十八篇	瀕死求主眷顧
第八十九篇	歌頌耶和華因其與大衞立約
第九十篇	頌主恩永久不易．歎人生轉瞬卽逝
第九十一篇	倚恃耶和華者得脫諸難
第九十二篇	稱謝耶和華乃爲美善
第九十三篇	頌讚耶和華之威嚴
第九十四篇	求耶和華興起報復選民之仇．爲耶和華懲責訓誨者其人有福
第九十五篇	勸衆歌頌耶和華．戒民勿干主怒致失所許之福
第九十六篇	勸民歌頌耶和華之尊榮奇行
第九十七篇	耶和華爲王威嚴炫赫
第九十八篇	勸民歌頌耶和華慈惠拯救
第九十九篇	耶和華在郇爲王有威榮公義人宜尊崇
第一百篇	勸衆讚美耶和華
第百有一篇	歌頌耶和華願行純全之道
第百有二篇	遭難時籲主眷顧．祈主矜憫郇邑
第百有三篇	頌美耶和華之恩澤慈惠
第百有四篇	頌美耶和華肇造萬物養育羣生
第百有五篇	頌美耶和華所行之奇事異能．藉摩西亞倫顯著神蹟．由天賜糧由磐出水
第百有六篇	陳述以色列民悖逆上帝之罪．耶和華怒罰其民．仍憶其約加以矜恤
第百有七篇	耶和華救人脫諸苦難．使流離者安居．拘縶者得釋．患病者得醫．航海者無危
第百有八篇	定志歌頌耶和華．倚恃上帝得勝仇敵
第百有九篇	祈主施報惡敵
第百有十篇	頌主秉王之權
第百十一篇	頌美耶和華矜恤其民永念其約
第百十二篇	敬畏耶和華者永蒙福祉
第百十三篇	頌美耶和華其榮高於諸天．鑒觀天地高舉窮乏
第百十四篇	述主領以色列民出埃及之大能
第百十五篇	偶像之虛僞．惟耶和華是恃
第百十六篇	頌美主俯聽其祈免於死亡
第百十七篇	勸萬民頌主
第百十八篇	勸民稱謝耶和華因其慈惠永存
第百十九篇	遵行耶和華之法度律例者其人有福
第百二十篇	求主救脫誑言詭舌之人
第百二十一篇	爲耶路撒冷求福
第百二十二篇	仰望耶和華求其矜憫
第百二十三篇	因免敵害感頌主恩
第百二十四篇	耶和華環衞其民
第百二十五篇	俘囚返郇讚美耶和華
第百二十六篇	言人百計經營非蒙主佑盡屬徒然
第百二十七篇	寅畏耶和華遵行其道者有福
第百二十八篇	求耶和華却退郇敵
第百二十九篇	仰望耶和華者必蒙仁慈救贖
第百三十篇	自述偕主如嬰偕母
第百三十一篇	求耶和華錫嘏聖所
第百三十二篇	昆弟睦誼之美善
第百三十三篇	勸夜間守聖殿者稱頌主
第百三十四篇	頌美耶和華之奇妙作爲．事奉偶像之愚昧
第百三十五篇	稱謝耶和華之慈惠永存
第百三十六篇	被虜於巴比倫者之哀歌
第百三十七篇	歌頌耶和華之慈惠誠實
第百三十八篇	讚美耶和華無所不知．無所不在．造物奇妙．恩惠無窮
第百三十九篇	強敵迫害求耶和華佑護解脫
第百四十篇	祈主佑助禁行諸惡
第百四十一篇	身受艱苦求主眷顧
第百四十二篇	仇敵逼迫求主救脫
第百四十三篇	受耶和華訓導者可免敵害．聖民之福
第百四十四篇	稱頌耶和華之威榮慈惠
第百四十五篇	頌美耶和華之扶助
第百四十六篇	頌美耶路撒冷之復興．上帝之智能無窮．寅畏主者爲其所悅
第百四十七篇	勸萬有頌美耶和華
第百四十八篇	勸以色列人頌美耶和華
第百四十九篇	當以樂器頌美耶和華
第百五十篇
