file	substitutions	pages	first_reason
HYZ 237.12.txt	72	111	disallowed_or_image_glyph
HYZ 336.1.txt	70	195	disallowed_or_image_glyph
HYZ 474.6.txt	70	240	disallowed_or_image_glyph
HYZ 53.6.txt	66	271	disallowed_or_image_glyph
HYZ 282.3.txt	65	122	disallowed_or_image_glyph
HYZ 21.2.txt	64	132	disallowed_or_image_glyph
HYZ 259.1.txt	62	99	disallowed_or_image_glyph
HYZ 1.140.txt	60	207	disallowed_or_image_glyph
HYZ 87.1.txt	56	222	disallowed_or_image_glyph
HYZ 2.9.txt	55	64	disallowed_or_image_glyph
HYZ 294.1.txt	51	72	disallowed_or_image_glyph
HYZ 1.274.txt	49	166	disallowed_or_image_glyph
HYZ 2.2.txt	49	37	disallowed_or_image_glyph
HYZ 29.1.txt	49	112	disallowed_or_image_glyph
HYZ 2.4.txt	48	41	disallowed_or_image_glyph
HYZ 2.3.txt	46	39	disallowed_or_image_glyph
HYZ 2.9.txt	46	69	disallowed_or_image_glyph
HYZ 264.2.txt	44	34	disallowed_or_image_glyph
HYZ 165.3.txt	43	215	disallowed_or_image_glyph
HYZ 2.5.txt	40	48	disallowed_or_image_glyph
HYZ 2.9.txt	39	63	disallowed_or_image_glyph
HYZ 2.10.txt	34	75	disallowed_or_image_glyph
HYZ 2.10.txt	32	73	disallowed_or_image_glyph
HYZ 2.9.txt	30	62	disallowed_or_image_glyph
HYZ 1.5.txt	29	151	disallowed_or_image_glyph
HYZ 2.10.txt	26	74	disallowed_or_image_glyph
HYZ 2.6.txt	24	54	disallowed_or_image_glyph
HYZ 2.7.txt	17	60	disallowed_or_image_glyph
HYZ 2.8.txt	14	61	disallowed_or_image_glyph
HYZ 23.1.txt	13	177	disallowed_or_image_glyph
HYZ 391.8.txt	13	105	disallowed_or_image_glyph
HYZ 2.1.txt	7	34	disallowed_or_image_glyph
HYZ 2.10.txt	7	73	disallowed_or_image_glyph
HYZ 4.0.txt	7	408	disallowed_or_image_glyph
HYZ 4.0.txt	7	469	disallowed_or_image_glyph
HYZ 2.10.txt	5	77	disallowed_or_image_glyph
HYZ 2.9.txt	4	61	disallowed_or_image_glyph
HYZ 437.2.txt	2	363	disallowed_or_image_glyph
HYZ 1.1.txt	1	444	disallowed_or_image_glyph
HYZ 1.2.txt	1	438	disallowed_or_image_glyph
HYZ 1.7.txt	1	438	disallowed_or_image_glyph
HYZ 127.3.txt	1	182	disallowed_or_image_glyph
HYZ 127.4.txt	1	182	disallowed_or_image_glyph
HYZ 316.2.txt	1	309	disallowed_or_image_glyph
HYZ 437.1.txt	1	363	disallowed_or_image_glyph
HYZ 81.7.txt	1	155	disallowed_or_image_glyph
HYZ 84.2.txt	1	156	disallowed_or_image_glyph
