char_index	inserted	raw_char	raw_codepoint	reason	page	context
1	□	T	U+0054	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
2	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
3	□	e	U+0065	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
5	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
6	□	y	U+0079	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
7	□	p	U+0070	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
8	□	o	U+006F	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
9	□	t	U+0074	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
10	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
11	□	e	U+0065	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
12	□	s	U+0073	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
13	□	i	U+0069	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
14	□	s	U+0073	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
16	□	t	U+0074	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
17	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
18	□	a	U+0061	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
19	□	t	U+0074	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
21	□	t	U+0074	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
22	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
23	□	e	U+0065	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
25	□	p	U+0070	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
26	□	r	U+0072	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
27	□	i	U+0069	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
28	□	n	U+006E	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
29	□	c	U+0063	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
30	□	e	U+0065	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
32	□	w	U+0077	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
33	□	a	U+0061	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
34	□	s	U+0073	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
36	□	Z	U+005A	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
37	□	i	U+0069	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
39	□	R	U+0052	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
40	□	o	U+006F	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
41	□	n	U+006E	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
42	□	g	U+0067	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
47	□	i	U+0069	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
48	□	n	U+006E	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
50	□	t	U+0074	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
51	□	h	U+0068	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
52	□	e	U+0065	disallowed_or_image_glyph	48	2.5 The hypothesis that the prince was Zi Rong 子戎 in the
