char_index	inserted	raw_char	raw_codepoint	reason	page	context
8	□	S	U+0053	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
9	□	h	U+0068	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
10	□	a	U+0061	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
11	□	n	U+006E	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
12	□	g	U+0067	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
14	□	s	U+0073	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
15	□	c	U+0063	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
16	□	r	U+0072	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
17	□	i	U+0069	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
18	□	b	U+0062	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
19	□	e	U+0065	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
20	□	s	U+0073	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
22	□	u	U+0075	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
23	□	s	U+0073	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
24	□	e	U+0065	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
26	□	i	U+0069	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
27	□	t	U+0074	disallowed_or_image_glyph	166	1.274-284). Shang scribes use it as phonetic loan for jiu 咎 “fault, error”.
