# WORK_BASE_TITLE: 嘉靖四十四年武舉錄
# PAGE_TITLE: 嘉靖四十四年武舉錄
# NATION: 明朝

嘉靖四十四年武舉錄

武舉中式九十名

第一名 程文範 萬全都司懷安衛指揮僉事

第二名 馬承勲 京衛武學肄業百户

第三名 賈陳策 騰驤右衛會舉指揮使應襲

第四名 李澄清 遼東都司定遼左衛冠帶小旗

第五名 徐岐鳴 山東平原縣武生

第六名 任大同 京衛武學會舉官

第七名 霍文明 京衛武學生

第八名 趙有開 福建同安縣民

第九名 魏廷梅 京衛武學生

第十名 王鎭 騰騰驤右衛會舉副千户

第十一名 郝勛 山西交城縣武生

第十二名 張崇德	直隷滁州衛右所副千户

第十三名 體仁	旗手衛中所會舉正千户

第十四名 樊雲龍	河南宣武衛後所正千户

第十五名 趙夣祐	錦衣衛左所會舉正千户

第十六名 任賢 直隷常熟縣武生

第十七名 馬建舉 遼東都司廣宣後後屯衛武生

第十八名 黎希望	廣東東莞縣武生

第十九名 趙淶 直隷新安衛指揮僉事

第二十名 王正 河南都司河南衛中所百户

第二十一名 黄繡	福建行都司延平衛後所副千户

第二十二名 田高	遼東都司定遼中衛前所小旗

第二十三名 陳師表 湖廣都司辰州衛指揮僉事

第二十四名 洪恩	南京神策衛右所正千户應襲

第二十五名 朱英	直隷嘉定縣民

第二十六名 馬應奎 驍騎右衛會舉指揮應襲

第二十七名 魏孔與 山西都司沁州守禦千户所副千户

第二十八名 丁守正 騰驤左衛中左所會舉百户

第二十九名 項權	遼東都司海州衛武生

第三十名 王汝林	遼東都司東寧衛右所百户

第三十一名 朱陛	浙江都司定海衛左所百户

第三十二名 許瀛	京衛武學生

第三十三名 郭荔	錦衣衛衣後所校餘

第三十四名 崔邦翰 大寧都司保定後衛中所武生

第三十五名 陳琦	陜西都司寧夏左屯衛武生

第三十六名 王鯨躍 京衛武學生

第三十七名 孔東儒 遼東都司遼海衛指揮應襲

第三十八名 劉承宗 虎貴左衛中所會舉副千户

第三十九名 世忠 湖廣行都司都指揮應襲

第四十名 戴惠 京衛武學生

第四十一名 曲官	萬全都司蔚州衛武生

第四十二名 劉濟民 陜西都司慶陽衛安邉所武生

第四十三名 尹三聘 京衛武學肄業副千户

第四十四名 鄥應禎 直隷涿鹿衛武生

第四十五名 芮繼先 京衛武學肄業指揮僉事

第四十六名 晏葵	南京犠牲所會舉百户

第四十七名 王國翰 陜西都司綏德衛所千户應襲

第四十八名 嚴勲	京衛武學肄業指揮使

第四十九名 李聯芳 遼東都司盖州衛右所百户應襲

第五十名 孟得賢	山東都司登州州衛前所小旗

第五十一名 劉滋	京衛武學肄業冠帶小旗

第五十二名 張志遜 遼東都司廣寧中屯衛舍餘

第五十三名 湯悌	大寧都司保定中衛武生

第五十四名 范應遼 遼東都司都經歷司舍餘

第五十五名 凌雲 遼東都司定遼後衛武生

第五十六名 牛伯奇 萬全都司保安衛指揮同知應襲

第五十七名 郭天錫 京衛武學生

第五十八名 金承勛 京衛武學肄業指揮同知

第五十九名 徐英孫 福建都司漳州衛左所百户

第六十名 張元輔	陜西都司綏德衛右所冠帶總旗

第六十一名 賀捷 山西行都司虜衛指揮僉事應襲

第六十二名 束帶	萬全都司萬全右衛後所試百户

第六十三名 曹都	遼東都司都指揮應襲

第六十四名 朱繼文 遼東都司定遼後衛左所百户

第六十五名 吳廷臣 遼東都司定遼後衛武生

第六十六名 安邦	陜西都司綏德衛衛左所百户

第六十七名 趙邦憲 萬全都司蔚州衛指揮僉事應襲

第六十八名 李愈奇 陜西都司慶陽衛武生

第六十九名 吳仕良 遼東都司軍餘

第七十名 張棟 遼東都司海州衛右所小旗

第七十一名 陳應魁 貴州都司貴州前衛武生

第七十二名 張謙	萬全都司懷安衛武生

第七十三名 張世武 遼東都司廣寧左屯衛右所百户

第七十四名 王世儒 萬全都司宣府右衛舍人

第七十五名 陳宗諌 京衛武學肄業指揮僉事

第七十六名 葉承燧 陜西都司綏德衛指揮僉事

第七十七名 劉忠	萬全都司宣府左衛右所副千户

第七十八名 楊啓元 南京京衛武學肄業指揮同知

第七十九名 孫濟美 浙江都司觀海衛指揮舍人

第八十名 孫珎 萬全都司宣府左衛武生生

第八十一名 黄孝敢 河南都司睢陽衛指揮僉事

第八十二名 高文學 京衛武學肄業指揮僉事應襲

第八十三名 張鏜	京衛武學肄業副千户

第八十四名 張自新 遼東都司義州衛武生

第八十五名 李應時 錦衣衛衣左所旗餘

第八十六名 于朝文 遼東都司自在州舍餘

第八十七名 楊守廉 貴州都司貴州衛署指挥使應襲

第八十八名 楊應春 鷹揚衛會舉指揮僉事應襲

第八十九名 王承乾 遼遼東都司盖州衛武生

第九十名 繆恩 遼東都司寧遠衛武生

注釋
