# WORK_BASE_TITLE: 嘉靖二十三年武舉錄
# PAGE_TITLE: 嘉靖二十三年武舉錄
# NATION: 明朝
# WS_CATEGORIES: 1544年;明朝;武舉錄

嘉靖二十三年武舉錄

武舉中式四十名

第一名	王世科	浙江杭州前衛應襲

第二名	麻宗	山西安東中屯衛指揮使

第三名	張鈇	浙江台州衛副千戶

第四名	張國彥	河南南陽衛指揮使

第五名	支節	京衛武學應襲武生

第六名	蘇珍	京衛武學應襲舍人

第七名	彭鏜	京衛武學肆業百戶

第八名	仲春	萬全都司蔚州衛後所應襲

第九名	王祚	錦衣衛應襲

第十名	陳儀	四川寧川衛中所應襲

第十一名	曾懷忠	山西太原左衛百戶

第十二名	劉乾	京衛武學肆業指揮僉事

第十三名	王棟	京衛武學應襲武生

第十四名	韓俊	直隸河間府武生

第十五名	韓邦重	京衛武學肆業武生

第十六名	司緯	直隸永平衛中所舍餘

第十七名	李寶	京衛武學肆業

第十八名	郭世勲	遼東定遼右衛指揮僉事

第十九名	羅繡	遼東定遼前衛旗餘

第二十名	楊和	京衛武學指揮僉事

第二十一名	王玉	山西太原左衛百戶

第二十二名	杜松	遼東廣寧後屯衛百戶

第二十三名	吳樘	雲南左衛后所百戶

第二十四名	宋蘭	保定中衛後所百戶

第二十五名	馬應龍	宣府前衛應襲

第二十六名	彭文洙	遼東廣寧左衛應襲

第二十七名	畢承勲	四川寧川衛百户

第二十八名	殷禮	義勇左衛會舉副千戶

第二十九名	李夢陽	直隸隆慶衛舍人

第三十名	劉楷	萬全開平衛舍人

第三十一名	李杰	萬全懷安衛副千戶

第三十二名	錢轍	遼東廣寧後屯衛舍人

第三十三名	李天壽	萬全左衛總旗

第三十四名	佟賢	遼東三萬衛指揮同知

第三十五名	劉韜	四川敘南衛署正千戶

第三十六名	趙雲龍	遼東義州衛應襲

第三十七名	吳時春	貴州衛副千戶

第三十八名	崔寶	萬全蔚州衛應襲

第三十九名	盧振	宣府前衛後所小旗

第四十名	翟瀚	萬全都司應襲

注釋
