category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
三國	167343	七佛父母姓字經	七佛父母姓字經	七佛父母姓字經	1	scrape_output\raw\三國\七佛父母姓字經\七佛父母姓字經__juan_01.txt	scrape_output\clean\三國\七佛父母姓字經\七佛父母姓字經__juan_01.txt	1733	1689	0
三國	7188	七步詩	七步詩	七步詩	1	scrape_output\raw\三國\七步詩\七步詩__juan_01.txt	scrape_output\clean\三國\七步詩\七步詩__juan_01.txt	173	129	0
三國	761892	九章算術注序	九章算術注序	九章算術注序	1	scrape_output\raw\三國\九章算術注序\九章算術注序__juan_01.txt	scrape_output\clean\三國\九章算術注序\九章算術注序__juan_01.txt	963	918	0
三國	877746	了本生死經	了本生死經	了本生死經	1	scrape_output\raw\三國\了本生死經\了本生死經__juan_01.txt	scrape_output\clean\三國\了本生死經\了本生死經__juan_01.txt	2684	2640	0
三國	877095	五母子經 (支謙譯本一)	五母子經 (支謙譯本一)	五母子經 (支謙譯本一)	1	scrape_output\raw\三國\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt	scrape_output\clean\三國\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt	1073	1029	0
三國	42847	人物志	人物志	人物志	1	scrape_output\raw\三國\人物志\人物志__juan_01.txt	scrape_output\clean\三國\人物志\人物志__juan_01.txt	131	86	0
三國	875359	佛說七女經	佛說七女經	佛說七女經	1	scrape_output\raw\三國\佛說七女經\佛說七女經__juan_01.txt	scrape_output\clean\三國\佛說七女經\佛說七女經__juan_01.txt	3467	3423	0
三國	184252	佛說七知經	佛說七知經	佛說七知經	1	scrape_output\raw\三國\佛說七知經\佛說七知經__juan_01.txt	scrape_output\clean\三國\佛說七知經\佛說七知經__juan_01.txt	1071	1027	0
三國	177842	佛說三品弟子經	佛說三品弟子經	佛說三品弟子經	1	scrape_output\raw\三國\佛說三品弟子經\佛說三品弟子經__juan_01.txt	scrape_output\clean\三國\佛說三品弟子經\佛說三品弟子經__juan_01.txt	1365	1312	0
三國	181257	佛說三摩竭經	佛說三摩竭經	佛說三摩竭經	1	scrape_output\raw\三國\佛說三摩竭經\佛說三摩竭經__juan_01.txt	scrape_output\clean\三國\佛說三摩竭經\佛說三摩竭經__juan_01.txt	4246	4202	0
