category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
五代十國,12762,丈人觀 (蜀太后徐氏),丈人觀 (蜀太后徐氏),丈人觀 (蜀太后徐氏),1,scrape_output\raw\五代十國\丈人觀 (蜀太后徐氏)\丈人觀 (蜀太后徐氏)__juan_01.txt,scrape_output\clean\五代十國\丈人觀 (蜀太后徐氏)\丈人觀 (蜀太后徐氏)__juan_01.txt,146,101,0
五代十國,12770,丈人觀 (蜀太妃徐氏),丈人觀 (蜀太妃徐氏),丈人觀 (蜀太妃徐氏),1,scrape_output\raw\五代十國\丈人觀 (蜀太妃徐氏)\丈人觀 (蜀太妃徐氏)__juan_01.txt,scrape_output\clean\五代十國\丈人觀 (蜀太妃徐氏)\丈人觀 (蜀太妃徐氏)__juan_01.txt,112,67,0
五代十國,12764,丈人觀謁先帝御容,丈人觀謁先帝御容,丈人觀謁先帝御容,1,scrape_output\raw\五代十國\丈人觀謁先帝御容\丈人觀謁先帝御容__juan_01.txt,scrape_output\clean\五代十國\丈人觀謁先帝御容\丈人觀謁先帝御容__juan_01.txt,130,85,0
五代十國,12768,三學山夜看聖燈,三學山夜看聖燈,三學山夜看聖燈,1,scrape_output\raw\五代十國\三學山夜看聖燈\三學山夜看聖燈__juan_01.txt,scrape_output\clean\五代十國\三學山夜看聖燈\三學山夜看聖燈__juan_01.txt,182,137,0
五代十國,12766,丹景山至德寺,丹景山至德寺,丹景山至德寺,1,scrape_output\raw\五代十國\丹景山至德寺\丹景山至德寺__juan_01.txt,scrape_output\clean\五代十國\丹景山至德寺\丹景山至德寺__juan_01.txt,146,101,0
五代十國,138875,全唐五代詞,全唐五代詞/卷三,全唐五代詞,1,scrape_output\raw\五代十國\全唐五代詞\全唐五代詞__juan_01.txt,scrape_output\clean\五代十國\全唐五代詞\全唐五代詞__juan_01.txt,56879,56700,0
五代十國,107044,兼明書,兼明書/卷1,兼明書,1,scrape_output\raw\五代十國\兼明書\兼明書__juan_01.txt,scrape_output\clean\五代十國\兼明書\兼明書__juan_01.txt,4776,4773,0
五代十國,107044,兼明書,兼明書/卷2,兼明書,2,scrape_output\raw\五代十國\兼明書\兼明書__juan_02.txt,scrape_output\clean\五代十國\兼明書\兼明書__juan_02.txt,6552,6535,0
五代十國,107044,兼明書,兼明書/卷3,兼明書,3,scrape_output\raw\五代十國\兼明書\兼明書__juan_03.txt,scrape_output\clean\五代十國\兼明書\兼明書__juan_03.txt,6374,6341,0
五代十國,107044,兼明書,兼明書/卷4,兼明書,4,scrape_output\raw\五代十國\兼明書\兼明書__juan_04.txt,scrape_output\clean\五代十國\兼明書\兼明書__juan_04.txt,3906,3901,0
