category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
先秦	62440	今本竹書紀年	今本竹書紀年	今本竹書紀年	1	category_corpus\raw\先秦\今本竹書紀年\今本竹書紀年__juan_01.txt	category_corpus\clean\先秦\今本竹書紀年\今本竹書紀年__juan_01.txt	194	142	0
先秦	62456	今本竹書紀年疏證	今本竹書紀年疏證/卷上	今本竹書紀年疏證	1	category_corpus\raw\先秦\今本竹書紀年疏證\今本竹書紀年疏證__juan_01.txt	category_corpus\clean\先秦\今本竹書紀年疏證\今本竹書紀年疏證__juan_01.txt	27914	27374	0
先秦	62456	今本竹書紀年疏證	今本竹書紀年疏證/卷下	今本竹書紀年疏證	2	category_corpus\raw\先秦\今本竹書紀年疏證\今本竹書紀年疏證__juan_02.txt	category_corpus\clean\先秦\今本竹書紀年疏證\今本竹書紀年疏證__juan_02.txt	37625	36859	0
先秦	12108	列子	列子	列子	1	category_corpus\raw\先秦\列子\列子__juan_01.txt	category_corpus\clean\先秦\列子\列子__juan_01.txt	174	123	0
先秦	650157	南蒯歌	南蒯歌	南蒯歌	1	category_corpus\raw\先秦\南蒯歌\南蒯歌__juan_01.txt	category_corpus\clean\先秦\南蒯歌\南蒯歌__juan_01.txt	135	92	0
先秦	650155	去魯歌	去魯歌	去魯歌	1	category_corpus\raw\先秦\去魯歌\去魯歌__juan_01.txt	category_corpus\clean\先秦\去魯歌\去魯歌__juan_01.txt	128	85	0
先秦	62052	古本竹書紀年	古本竹書紀年	古本竹書紀年	1	category_corpus\raw\先秦\古本竹書紀年\古本竹書紀年__juan_01.txt	category_corpus\clean\先秦\古本竹書紀年\古本竹書紀年__juan_01.txt	128	83	0
先秦	1048376	古本竹書紀年輯校	古本竹書紀年輯校	古本竹書紀年輯校	1	category_corpus\raw\先秦\古本竹書紀年輯校\古本竹書紀年輯校__juan_01.txt	category_corpus\clean\先秦\古本竹書紀年輯校\古本竹書紀年輯校__juan_01.txt	23512	22412	0
先秦	35754	呂氏春秋	呂氏春秋/卷一	呂氏春秋	1	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_01.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_01.txt	15	14	0
先秦	35754	呂氏春秋	呂氏春秋/卷二	呂氏春秋	2	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_02.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_02.txt	15	14	0
先秦	35754	呂氏春秋	呂氏春秋/卷三	呂氏春秋	3	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_03.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_03.txt	3549	3549	0
先秦	35754	呂氏春秋	呂氏春秋/卷四	呂氏春秋	4	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_04.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_04.txt	3485	3485	0
先秦	35754	呂氏春秋	呂氏春秋/卷五	呂氏春秋	5	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_05.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_05.txt	3645	3645	0
先秦	35754	呂氏春秋	呂氏春秋/卷六	呂氏春秋	6	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_06.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_06.txt	3642	3641	0
先秦	35754	呂氏春秋	呂氏春秋/卷七	呂氏春秋	7	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_07.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_07.txt	3262	3262	0
先秦	35754	呂氏春秋	呂氏春秋/卷八	呂氏春秋	8	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_08.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_08.txt	3323	3321	0
先秦	35754	呂氏春秋	呂氏春秋/卷九	呂氏春秋	9	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_09.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_09.txt	3349	3277	0
先秦	35754	呂氏春秋	呂氏春秋/卷十	呂氏春秋	10	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_10.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_10.txt	3558	3502	0
先秦	35754	呂氏春秋	呂氏春秋/卷十一	呂氏春秋	11	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_11.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_11.txt	3627	3520	0
先秦	35754	呂氏春秋	呂氏春秋/卷十二	呂氏春秋	12	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_12.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_12.txt	3501	3421	0
先秦	35754	呂氏春秋	呂氏春秋/卷十三	呂氏春秋	13	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_13.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_13.txt	4680	4630	0
先秦	35754	呂氏春秋	呂氏春秋/卷十四	呂氏春秋	14	category_corpus\raw\先秦\呂氏春秋\呂氏春秋__juan_14.txt	category_corpus\clean\先秦\呂氏春秋\呂氏春秋__juan_14.txt	7835	7711	0
