category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
北周	175963	三月三日華林園馬射賦	三月三日華林園馬射賦	三月三日華林園馬射賦	1	scrape_output\raw\北周\三月三日華林園馬射賦\三月三日華林園馬射賦__juan_01.txt	scrape_output\clean\北周\三月三日華林園馬射賦\三月三日華林園馬射賦__juan_01.txt	1320	1319	0
北周	1021400	上庸公陸騰勒功碑	上庸公陸騰勒功碑	上庸公陸騰勒功碑	1	scrape_output\raw\北周\上庸公陸騰勒功碑\上庸公陸騰勒功碑__juan_01.txt	scrape_output\clean\北周\上庸公陸騰勒功碑\上庸公陸騰勒功碑__juan_01.txt	606	562	0
北周	1021352	上新定鐘表	上新定鐘表	上新定鐘表	1	scrape_output\raw\北周\上新定鐘表\上新定鐘表__juan_01.txt	scrape_output\clean\北周\上新定鐘表\上新定鐘表__juan_01.txt	246	202	0
北周	1021350	上祥瑞表	上祥瑞表	上祥瑞表	1	scrape_output\raw\北周\上祥瑞表\上祥瑞表__juan_01.txt	scrape_output\clean\北周\上祥瑞表\上祥瑞表__juan_01.txt	168	124	0
北周	1021491	九日從駕	九日從駕	九日從駕	1	scrape_output\raw\北周\九日從駕\九日從駕__juan_01.txt	scrape_output\clean\北周\九日從駕\九日從駕__juan_01.txt	190	146	0
北周	201907	五曹算經	五曹算經	五曹算經	1	scrape_output\raw\北周\五曹算經\五曹算經__juan_01.txt	scrape_output\clean\北周\五曹算經\五曹算經__juan_01.txt	892	828	0
北周	1021404	京師突厥寺碑	京師突厥寺碑	京師突厥寺碑	1	scrape_output\raw\北周\京師突厥寺碑\京師突厥寺碑__juan_01.txt	scrape_output\clean\北周\京師突厥寺碑\京師突厥寺碑__juan_01.txt	487	443	0
北周	1133702	元包	元包	元包	1	scrape_output\raw\北周\元包\元包__juan_01.txt	scrape_output\clean\北周\元包\元包__juan_01.txt	4783	4149	0
北周	1021465	入塞 (王褒)	入塞 (王褒)	入塞 (王褒)	1	scrape_output\raw\北周\入塞 (王褒)\入塞 (王褒)__juan_01.txt	scrape_output\clean\北周\入塞 (王褒)\入塞 (王褒)__juan_01.txt	134	90	0
北周	1021493	入朝守門開	入朝守門開	入朝守門開	1	scrape_output\raw\北周\入朝守門開\入朝守門開__juan_01.txt	scrape_output\clean\北周\入朝守門開\入朝守門開__juan_01.txt	149	105	0
北周	1022008	入關故人別	入關故人別	入關故人別	1	scrape_output\raw\北周\入關故人別\入關故人別__juan_01.txt	scrape_output\clean\北周\入關故人別\入關故人別__juan_01.txt	106	62	0
