category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
北魏,178742,三具足經憂波提舍,三具足經憂波提舍,三具足經憂波提舍,1,scrape_output\raw\北魏\三具足經憂波提舍\三具足經憂波提舍__juan_01.txt,scrape_output\clean\北魏\三具足經憂波提舍\三具足經憂波提舍__juan_01.txt,9096,8990,0
北魏,110321,三峽,三峽,三峽,1,scrape_output\raw\北魏\三峽\三峽__juan_01.txt,scrape_output\clean\北魏\三峽\三峽__juan_01.txt,291,199,0
北魏,143692,不必定入定入印经,不必定入定入印经,不必定入定入印经,1,scrape_output\raw\北魏\不必定入定入印经\不必定入定入印经__juan_01.txt,scrape_output\clean\北魏\不必定入定入印经\不必定入定入印经__juan_01.txt,11011,10959,0
北魏,875507,付法藏因緣經,付法藏因緣經,付法藏因緣經,1,scrape_output\raw\北魏\付法藏因緣經\付法藏因緣經__juan_01.txt,scrape_output\clean\北魏\付法藏因緣經\付法藏因緣經__juan_01.txt,42260,42240,0
北魏,876833,伽耶山頂經,伽耶山頂經,伽耶山頂經,1,scrape_output\raw\北魏\伽耶山頂經\伽耶山頂經__juan_01.txt,scrape_output\clean\北魏\伽耶山頂經\伽耶山頂經__juan_01.txt,5617,5573,0
北魏,878411,佛語經,佛語經,佛語經,1,scrape_output\raw\北魏\佛語經\佛語經__juan_01.txt,scrape_output\clean\北魏\佛語經\佛語經__juan_01.txt,1768,1724,0
北魏,878403,佛說一切法高王經,佛說一切法高王經,佛說一切法高王經,1,scrape_output\raw\北魏\佛說一切法高王經\佛說一切法高王經__juan_01.txt,scrape_output\clean\北魏\佛說一切法高王經\佛說一切法高王經__juan_01.txt,10813,10758,0
北魏,177903,佛說不增不減經,佛說不增不減經,佛說不增不減經,1,scrape_output\raw\北魏\佛說不增不減經\佛說不增不減經__juan_01.txt,scrape_output\clean\北魏\佛說不增不減經\佛說不增不減經__juan_01.txt,3101,3051,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷01,佛說佛名經 (菩提留支譯),1,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_01.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_01.txt,9460,9444,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷02,佛說佛名經 (菩提留支譯),2,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_02.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_02.txt,8873,8861,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷03,佛說佛名經 (菩提留支譯),3,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_03.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_03.txt,8745,8729,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷04,佛說佛名經 (菩提留支譯),4,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_04.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_04.txt,7767,7711,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷05,佛說佛名經 (菩提留支譯),5,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_05.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_05.txt,8191,8159,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷06,佛說佛名經 (菩提留支譯),6,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_06.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_06.txt,10275,10152,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷07,佛說佛名經 (菩提留支譯),7,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_07.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_07.txt,10184,10152,0
北魏,177151,佛說佛名經 (菩提留支譯),佛說佛名經 (菩提留支譯)/卷08,佛說佛名經 (菩提留支譯),8,scrape_output\raw\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_08.txt,scrape_output\clean\北魏\佛說佛名經 (菩提留支譯)\佛說佛名經 (菩提留支譯)__juan_08.txt,11543,11479,0
