category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
南北朝,1051108,䕶軍孫瑒銘,䕶軍孫瑒銘,䕶軍孫瑒銘,1,scrape_output\raw\南北朝\䕶軍孫瑒銘\䕶軍孫瑒銘__juan_01.txt,scrape_output\clean\南北朝\䕶軍孫瑒銘\䕶軍孫瑒銘__juan_01.txt,167,123,0
南北朝,1032625,七夕 (邢邵),七夕 (邢邵),七夕 (邢邵),1,scrape_output\raw\南北朝\七夕 (邢邵)\七夕 (邢邵)__juan_01.txt,scrape_output\clean\南北朝\七夕 (邢邵)\七夕 (邢邵)__juan_01.txt,162,118,0
南北朝,1035590,七夕夜詠牛女應制,七夕夜詠牛女應制,七夕夜詠牛女應制,1,scrape_output\raw\南北朝\七夕夜詠牛女應制\七夕夜詠牛女應制__juan_01.txt,scrape_output\clean\南北朝\七夕夜詠牛女應制\七夕夜詠牛女應制__juan_01.txt,176,132,0
南北朝,1046088,七夕賦 (謝朓),七夕賦 (謝朓),七夕賦 (謝朓),1,scrape_output\raw\南北朝\七夕賦 (謝朓)\七夕賦 (謝朓)__juan_01.txt,scrape_output\clean\南北朝\七夕賦 (謝朓)\七夕賦 (謝朓)__juan_01.txt,478,434,0
南北朝,7512,三十六計,三十六計,三十六計,1,scrape_output\raw\南北朝\三十六計\三十六計__juan_01.txt,scrape_output\clean\南北朝\三十六計\三十六計__juan_01.txt,744,690,0
南北朝,1051012,三婦豔詞十一首,三婦豔詞十一首,三婦豔詞十一首,1,scrape_output\raw\南北朝\三婦豔詞十一首\三婦豔詞十一首__juan_01.txt,scrape_output\clean\南北朝\三婦豔詞十一首\三婦豔詞十一首__juan_01.txt,542,498,0
南北朝,1047181,三日侍宴曲水代人應詔,三日侍宴曲水代人應詔,三日侍宴曲水代人應詔,1,scrape_output\raw\南北朝\三日侍宴曲水代人應詔\三日侍宴曲水代人應詔__juan_01.txt,scrape_output\clean\南北朝\三日侍宴曲水代人應詔\三日侍宴曲水代人應詔__juan_01.txt,510,466,0
南北朝,1047179,三日侍華光殿曲水宴代人應詔,三日侍華光殿曲水宴代人應詔,三日侍華光殿曲水宴代人應詔,1,scrape_output\raw\南北朝\三日侍華光殿曲水宴代人應詔\三日侍華光殿曲水宴代人應詔__juan_01.txt,scrape_output\clean\南北朝\三日侍華光殿曲水宴代人應詔\三日侍華光殿曲水宴代人應詔__juan_01.txt,558,514,0
南北朝,1032619,三日華林園公宴,三日華林園公宴,三日華林園公宴,1,scrape_output\raw\南北朝\三日華林園公宴\三日華林園公宴__juan_01.txt,scrape_output\clean\南北朝\三日華林園公宴\三日華林園公宴__juan_01.txt,176,132,0
南北朝,253930,三月三日率爾成篇,三月三日率爾成篇,三月三日率爾成篇,1,scrape_output\raw\南北朝\三月三日率爾成篇\三月三日率爾成篇__juan_01.txt,scrape_output\clean\南北朝\三月三日率爾成篇\三月三日率爾成篇__juan_01.txt,264,204,0
