category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
南宋	880557	⻱峰寺	⻱峰寺	⻱峰寺	1	scrape_output\raw\南宋\⻱峰寺\⻱峰寺__juan_01.txt	scrape_output\clean\南宋\⻱峰寺\⻱峰寺__juan_01.txt	136	92	0
南宋	321509	《八韻關鍵》序	《八韻關鍵》序	《八韻關鍵》序	1	scrape_output\raw\南宋\《八韻關鍵》序\《八韻關鍵》序__juan_01.txt	scrape_output\clean\南宋\《八韻關鍵》序\《八韻關鍵》序__juan_01.txt	314	270	0
南宋	321510	《壬戌童科小錄》序	《壬戌童科小錄》序	《壬戌童科小錄》序	1	scrape_output\raw\南宋\《壬戌童科小錄》序\《壬戌童科小錄》序__juan_01.txt	scrape_output\clean\南宋\《壬戌童科小錄》序\《壬戌童科小錄》序__juan_01.txt	480	436	0
南宋	321508	《忠孝提綱》序	《忠孝提綱》序	《忠孝提綱》序	1	scrape_output\raw\南宋\《忠孝提綱》序\《忠孝提綱》序__juan_01.txt	scrape_output\clean\南宋\《忠孝提綱》序\《忠孝提綱》序__juan_01.txt	422	378	0
南宋	322240	《東海集》序	《東海集》序	《東海集》序	1	scrape_output\raw\南宋\《東海集》序\《東海集》序__juan_01.txt	scrape_output\clean\南宋\《東海集》序\《東海集》序__juan_01.txt	513	469	0
南宋	321500	《金匱歌》序	《金匱歌》序	《金匱歌》序	1	scrape_output\raw\南宋\《金匱歌》序\《金匱歌》序__juan_01.txt	scrape_output\clean\南宋\《金匱歌》序\《金匱歌》序__juan_01.txt	775	731	0
南宋	321709	《集杜詩》自序 (文天祥)	《集杜詩》自序 (文天祥)	《集杜詩》自序 (文天祥)	1	scrape_output\raw\南宋\《集杜詩》自序 (文天祥)\《集杜詩》自序 (文天祥)__juan_01.txt	scrape_output\clean\南宋\《集杜詩》自序 (文天祥)\《集杜詩》自序 (文天祥)__juan_01.txt	387	343	0
南宋	1048166	一剪梅 (蔡伸)	一剪梅 (蔡伸)/一剪梅 (堆枕乌云隋翠翘)	一剪梅 (蔡伸)	1	scrape_output\raw\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_01.txt	scrape_output\clean\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_01.txt	153	109	0
南宋	1048166	一剪梅 (蔡伸)	一剪梅 (蔡伸)/一剪梅 (甲辰除夜)	一剪梅 (蔡伸)	2	scrape_output\raw\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_02.txt	scrape_output\clean\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_02.txt	153	109	0
南宋	1048166	一剪梅 (蔡伸)	一剪梅 (蔡伸)/一剪梅 (高宴华堂夜向阑)	一剪梅 (蔡伸)	3	scrape_output\raw\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_03.txt	scrape_output\clean\南宋\一剪梅 (蔡伸)\一剪梅 (蔡伸)__juan_03.txt	153	109	0
南宋	24263	一剪梅 (辛棄疾)	一剪梅 (辛棄疾)	一剪梅 (辛棄疾)	1	scrape_output\raw\南宋\一剪梅 (辛棄疾)\一剪梅 (辛棄疾)__juan_01.txt	scrape_output\clean\南宋\一剪梅 (辛棄疾)\一剪梅 (辛棄疾)__juan_01.txt	164	117	0
南宋	881862	一真姑	一真姑	一真姑	1	scrape_output\raw\南宋\一真姑\一真姑__juan_01.txt	scrape_output\clean\南宋\一真姑\一真姑__juan_01.txt	143	96	0
南宋	881593	一雨	一雨	一雨	1	scrape_output\raw\南宋\一雨\一雨__juan_01.txt	scrape_output\clean\南宋\一雨\一雨__juan_01.txt	132	88	0
南宋	349716	丁香	丁香	丁香	1	scrape_output\raw\南宋\丁香\丁香__juan_01.txt	scrape_output\clean\南宋\丁香\丁香__juan_01.txt	105	61	0
南宋	322385	七夕 (文天祥)	七夕 (文天祥)	七夕 (文天祥)	1	scrape_output\raw\南宋\七夕 (文天祥)\七夕 (文天祥)__juan_01.txt	scrape_output\clean\南宋\七夕 (文天祥)\七夕 (文天祥)__juan_01.txt	133	89	0
南宋	322322	七月二日大雨歌	七月二日大雨歌	七月二日大雨歌	1	scrape_output\raw\南宋\七月二日大雨歌\七月二日大雨歌__juan_01.txt	scrape_output\clean\南宋\七月二日大雨歌\七月二日大雨歌__juan_01.txt	455	411	0
南宋	321254	七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑	七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑	七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑	1	scrape_output\raw\南宋\七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑\七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑__juan_01.txt	scrape_output\clean\南宋\七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑\七月十三夜，用燈牌字韻湊成一詩，與諸賓一笑__juan_01.txt	145	101	0
南宋	78	三字經	三字經	三字經	1	scrape_output\raw\南宋\三字經\三字經__juan_01.txt	scrape_output\clean\南宋\三字經\三字經__juan_01.txt	3958	3854	0
南宋	881385	三峽吟	三峽吟	三峽吟	1	scrape_output\raw\南宋\三峽吟\三峽吟__juan_01.txt	scrape_output\clean\南宋\三峽吟\三峽吟__juan_01.txt	105	61	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷001	三朝北盟會編	1	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_01.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_01.txt	6849	6829	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷002	三朝北盟會編	2	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_02.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_02.txt	5636	5634	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷003	三朝北盟會編	3	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_03.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_03.txt	6379	6286	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷004	三朝北盟會編	4	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_04.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_04.txt	6960	6941	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷005	三朝北盟會編	5	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_05.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_05.txt	4308	4302	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷006	三朝北盟會編	6	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_06.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_06.txt	7073	7071	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷007	三朝北盟會編	7	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_07.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_07.txt	4545	4545	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷008	三朝北盟會編	8	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_08.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_08.txt	5683	5678	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷009	三朝北盟會編	9	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_09.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_09.txt	6441	6441	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷010	三朝北盟會編	10	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_10.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_10.txt	5336	5336	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷011	三朝北盟會編	11	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_11.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_11.txt	7039	7024	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷012	三朝北盟會編	12	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_12.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_12.txt	5185	5177	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷013	三朝北盟會編	13	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_13.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_13.txt	5178	5176	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷014	三朝北盟會編	14	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_14.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_14.txt	6245	6227	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷015	三朝北盟會編	15	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_15.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_15.txt	5892	5875	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷016	三朝北盟會編	16	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_16.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_16.txt	5895	5887	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷017	三朝北盟會編	17	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_17.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_17.txt	5609	5599	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷018	三朝北盟會編	18	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_18.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_18.txt	6045	6014	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷019	三朝北盟會編	19	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_19.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_19.txt	6191	6172	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷020	三朝北盟會編	20	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_20.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_20.txt	7142	7142	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷021	三朝北盟會編	21	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_21.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_21.txt	7218	7208	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷022	三朝北盟會編	22	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_22.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_22.txt	5845	5831	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷023	三朝北盟會編	23	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_23.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_23.txt	7057	7008	0
南宋	23520	三朝北盟會編	三朝北盟會編/卷024	三朝北盟會編	24	scrape_output\raw\南宋\三朝北盟會編\三朝北盟會編__juan_24.txt	scrape_output\clean\南宋\三朝北盟會編\三朝北盟會編__juan_24.txt	6982	6962	0
