category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
太平天国,1213605,三字經 (太平天國),三字經 (太平天國),三字經 (太平天國),1,category_corpus\raw\太平天国\三字經 (太平天國)\三字經 (太平天國)__juan_01.txt,category_corpus\clean\太平天国\三字經 (太平天國)\三字經 (太平天國)__juan_01.txt,1589,1546,0
太平天国,1083161,五大紀律詔,五大紀律詔,五大紀律詔,1,category_corpus\raw\太平天国\五大紀律詔\五大紀律詔__juan_01.txt,category_corpus\clean\太平天国\五大紀律詔\五大紀律詔__juan_01.txt,168,125,0
太平天国,1093202,令各軍記功記罪詔,令各軍記功記罪詔,令各軍記功記罪詔,1,category_corpus\raw\太平天国\令各軍記功記罪詔\令各軍記功記罪詔__juan_01.txt,category_corpus\clean\太平天国\令各軍記功記罪詔\令各軍記功記罪詔__juan_01.txt,318,275,0
太平天国,1211421,包立身討粤匪檄文,包立身討粤匪檄文,包立身討粤匪檄文,1,category_corpus\raw\太平天国\包立身討粤匪檄文\包立身討粤匪檄文__juan_01.txt,category_corpus\clean\太平天国\包立身討粤匪檄文\包立身討粤匪檄文__juan_01.txt,748,701,0
太平天国,65232,原道救世歌,原道救世歌,原道救世歌,1,category_corpus\raw\太平天国\原道救世歌\原道救世歌__juan_01.txt,category_corpus\clean\太平天国\原道救世歌\原道救世歌__juan_01.txt,2199,2148,0
太平天国,1006190,原道覺世訓,原道覺世訓,原道覺世訓,1,category_corpus\raw\太平天国\原道覺世訓\原道覺世訓__juan_01.txt,category_corpus\clean\太平天国\原道覺世訓\原道覺世訓__juan_01.txt,4376,4237,0
太平天国,1006192,原道醒世訓,原道醒世訓,原道醒世訓,1,category_corpus\raw\太平天国\原道醒世訓\原道醒世訓__juan_01.txt,category_corpus\clean\太平天国\原道醒世訓\原道醒世訓__juan_01.txt,1686,1559,0
太平天国,1093195,命兵將殺妖取城所得財物盡繳歸天朝聖庫詔,命兵將殺妖取城所得財物盡繳歸天朝聖庫詔,命兵將殺妖取城所得財物盡繳歸天朝聖庫詔,1,category_corpus\raw\太平天国\命兵將殺妖取城所得財物盡繳歸天朝聖庫詔\命兵將殺妖取城所得財物盡繳歸天朝聖庫詔__juan_01.txt,category_corpus\clean\太平天国\命兵將殺妖取城所得財物盡繳歸天朝聖庫詔\命兵將殺妖取城所得財物盡繳歸天朝聖庫詔__juan_01.txt,194,151,0
太平天国,1093221,嚴命犯第七天條殺不赦詔,嚴命犯第七天條殺不赦詔,嚴命犯第七天條殺不赦詔,1,category_corpus\raw\太平天国\嚴命犯第七天條殺不赦詔\嚴命犯第七天條殺不赦詔__juan_01.txt,category_corpus\clean\太平天国\嚴命犯第七天條殺不赦詔\嚴命犯第七天條殺不赦詔__juan_01.txt,227,184,0
太平天国,1093446,嚴禁私藏私帶金寶詔,嚴禁私藏私帶金寶詔,嚴禁私藏私帶金寶詔,1,category_corpus\raw\太平天国\嚴禁私藏私帶金寶詔\嚴禁私藏私帶金寶詔__juan_01.txt,category_corpus\clean\太平天国\嚴禁私藏私帶金寶詔\嚴禁私藏私帶金寶詔__juan_01.txt,158,115,0
太平天国,1047134,大明順天國南粵興漢大將軍告示,大明順天國南粵興漢大將軍告示,大明順天國南粵興漢大將軍告示,1,category_corpus\raw\太平天国\大明順天國南粵興漢大將軍告示\大明順天國南粵興漢大將軍告示__juan_01.txt,category_corpus\clean\太平天国\大明順天國南粵興漢大將軍告示\大明順天國南粵興漢大將軍告示__juan_01.txt,854,811,0
太平天国,1047128,大明順天國南粵興漢大將軍檄文,大明順天國南粵興漢大將軍檄文,大明順天國南粵興漢大將軍檄文,1,category_corpus\raw\太平天国\大明順天國南粵興漢大將軍檄文\大明順天國南粵興漢大將軍檄文__juan_01.txt,category_corpus\clean\太平天国\大明順天國南粵興漢大將軍檄文\大明順天國南粵興漢大將軍檄文__juan_01.txt,745,702,0
太平天国,31072,天朝田畝制度,天朝田畝制度,天朝田畝制度,1,category_corpus\raw\太平天国\天朝田畝制度\天朝田畝制度__juan_01.txt,category_corpus\clean\太平天国\天朝田畝制度\天朝田畝制度__juan_01.txt,3216,3169,0
太平天国,1006205,天父詩,天父詩,天父詩,1,category_corpus\raw\太平天国\天父詩\天父詩__juan_01.txt,category_corpus\clean\太平天国\天父詩\天父詩__juan_01.txt,22350,22251,0
太平天国,182292,太平天國侍王李世賢勸太平子民各知效順布告,太平天國侍王李世賢勸太平子民各知效順布告,太平天國侍王李世賢勸太平子民各知效順布告,1,category_corpus\raw\太平天国\太平天國侍王李世賢勸太平子民各知效順布告\太平天國侍王李世賢勸太平子民各知效順布告__juan_01.txt,category_corpus\clean\太平天国\太平天國侍王李世賢勸太平子民各知效順布告\太平天國侍王李世賢勸太平子民各知效順布告__juan_01.txt,1234,1232,0
