category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
東吳	177095	七知經	七知經	七知經	1	scrape_output\raw\東吳\七知經\七知經__juan_01.txt	scrape_output\clean\東吳\七知經\七知經__juan_01.txt	1159	1067	0
東吳	64563	三五曆記	三五曆記	三五曆記	1	scrape_output\raw\東吳\三五曆記\三五曆記__juan_01.txt	scrape_output\clean\東吳\三五曆記\三五曆記__juan_01.txt	330	286	0
東吳	877746	了本生死經	了本生死經	了本生死經	1	scrape_output\raw\東吳\了本生死經\了本生死經__juan_01.txt	scrape_output\clean\東吳\了本生死經\了本生死經__juan_01.txt	2684	2640	0
東吳	877095	五母子經 (支謙譯本一)	五母子經 (支謙譯本一)	五母子經 (支謙譯本一)	1	scrape_output\raw\東吳\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt	scrape_output\clean\東吳\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt	1073	1029	0
東吳	874989	五母子經 (支謙譯本二)	五母子經 (支謙譯本二)	五母子經 (支謙譯本二)	1	scrape_output\raw\東吳\五母子經 (支謙譯本二)\五母子經 (支謙譯本二)__juan_01.txt	scrape_output\clean\東吳\五母子經 (支謙譯本二)\五母子經 (支謙譯本二)__juan_01.txt	868	824	0
東吳	875359	佛說七女經	佛說七女經	佛說七女經	1	scrape_output\raw\東吳\佛說七女經\佛說七女經__juan_01.txt	scrape_output\clean\東吳\佛說七女經\佛說七女經__juan_01.txt	3467	3423	0
東吳	184252	佛說七知經	佛說七知經	佛說七知經	1	scrape_output\raw\東吳\佛說七知經\佛說七知經__juan_01.txt	scrape_output\clean\東吳\佛說七知經\佛說七知經__juan_01.txt	1071	1027	0
東吳	177842	佛說三品弟子經	佛說三品弟子經	佛說三品弟子經	1	scrape_output\raw\東吳\佛說三品弟子經\佛說三品弟子經__juan_01.txt	scrape_output\clean\東吳\佛說三品弟子經\佛說三品弟子經__juan_01.txt	1365	1312	0
東吳	181257	佛說三摩竭經	佛說三摩竭經	佛說三摩竭經	1	scrape_output\raw\東吳\佛說三摩竭經\佛說三摩竭經__juan_01.txt	scrape_output\clean\東吳\佛說三摩竭經\佛說三摩竭經__juan_01.txt	4246	4202	0
東吳	178790	佛說不自守意經	佛說不自守意經	佛說不自守意經	1	scrape_output\raw\東吳\佛說不自守意經\佛說不自守意經__juan_01.txt	scrape_output\clean\東吳\佛說不自守意經\佛說不自守意經__juan_01.txt	446	402	0
東吳	875651	佛說九色鹿經 (支謙譯本一)	佛說九色鹿經 (支謙譯本一)	佛說九色鹿經 (支謙譯本一)	1	scrape_output\raw\東吳\佛說九色鹿經 (支謙譯本一)\佛說九色鹿經 (支謙譯本一)__juan_01.txt	scrape_output\clean\東吳\佛說九色鹿經 (支謙譯本一)\佛說九色鹿經 (支謙譯本一)__juan_01.txt	1259	1215	0
