category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
東晉	61045	七十二弟子	七十二弟子	七十二弟子	1	scrape_output\raw\東晉\七十二弟子\七十二弟子__juan_01.txt	scrape_output\clean\東晉\七十二弟子\七十二弟子__juan_01.txt	120	75	0
東晉	67254	七里瀨	七里瀨	七里瀨	1	scrape_output\raw\東晉\七里瀨\七里瀨__juan_01.txt	scrape_output\clean\東晉\七里瀨\七里瀨__juan_01.txt	196	145	0
東晉	23700	三國名臣序贊	三國名臣序贊	三國名臣序贊	1	scrape_output\raw\東晉\三國名臣序贊\三國名臣序贊__juan_01.txt	scrape_output\clean\東晉\三國名臣序贊\三國名臣序贊__juan_01.txt	2971	2927	0
東晉	342166	上清豁落七元符	上清豁落七元符	上清豁落七元符	1	scrape_output\raw\東晉\上清豁落七元符\上清豁落七元符__juan_01.txt	scrape_output\clean\東晉\上清豁落七元符\上清豁落七元符__juan_01.txt	320	320	0
東晉	165788	丙辰歲八月中於下潠田舍穫	丙辰歲八月中於下潠田舍穫	丙辰歲八月中於下潠田舍穫	1	scrape_output\raw\東晉\丙辰歲八月中於下潠田舍穫\丙辰歲八月中於下潠田舍穫__juan_01.txt	scrape_output\clean\東晉\丙辰歲八月中於下潠田舍穫\丙辰歲八月中於下潠田舍穫__juan_01.txt	217	173	0
東晉	174056	丞相桓溫碑銘	丞相桓溫碑銘	丞相桓溫碑銘	1	scrape_output\raw\東晉\丞相桓溫碑銘\丞相桓溫碑銘__juan_01.txt	scrape_output\clean\東晉\丞相桓溫碑銘\丞相桓溫碑銘__juan_01.txt	359	357	0
東晉	178964	中阿含經	中阿含經/卷第 01	中阿含經	1	scrape_output\raw\東晉\中阿含經\中阿含經__juan_01.txt	scrape_output\clean\東晉\中阿含經\中阿含經__juan_01.txt	10476	10412	0
東晉	178964	中阿含經	中阿含經/卷第 02	中阿含經	2	scrape_output\raw\東晉\中阿含經\中阿含經__juan_02.txt	scrape_output\clean\東晉\中阿含經\中阿含經__juan_02.txt	10176	10126	0
東晉	178964	中阿含經	中阿含經/卷第 03	中阿含經	3	scrape_output\raw\東晉\中阿含經\中阿含經__juan_03.txt	scrape_output\clean\東晉\中阿含經\中阿含經__juan_03.txt	13415	13379	0
東晉	178964	中阿含經	中阿含經/卷第 04	中阿含經	4	scrape_output\raw\東晉\中阿含經\中阿含經__juan_04.txt	scrape_output\clean\東晉\中阿含經\中阿含經__juan_04.txt	13830	13807	0
東晉	178964	中阿含經	中阿含經/卷第 05	中阿含經	5	scrape_output\raw\東晉\中阿含經\中阿含經__juan_05.txt	scrape_output\clean\東晉\中阿含經\中阿含經__juan_05.txt	10655	10629	0
