category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
漢朝	1052228	七哀詩三首	七哀詩三首·其一	七哀詩三首	1	scrape_output\raw\漢朝\七哀詩三首\七哀詩三首__juan_01.txt	scrape_output\clean\漢朝\七哀詩三首\七哀詩三首__juan_01.txt	219	175	0
漢朝	1052228	七哀詩三首	七哀詩三首·其三	七哀詩三首	2	scrape_output\raw\漢朝\七哀詩三首\七哀詩三首__juan_02.txt	scrape_output\clean\漢朝\七哀詩三首\七哀詩三首__juan_02.txt	189	145	0
漢朝	1052228	七哀詩三首	七哀詩三首·其二	七哀詩三首	3	scrape_output\raw\漢朝\七哀詩三首\七哀詩三首__juan_03.txt	scrape_output\clean\漢朝\七哀詩三首\七哀詩三首__juan_03.txt	203	159	0
漢朝	140242	上何進書	上何進書	上何進書	1	scrape_output\raw\漢朝\上何進書\上何進書__juan_01.txt	scrape_output\clean\漢朝\上何進書\上何進書__juan_01.txt	154	110	0
漢朝	125688	世本(茆泮林輯本)	世本(茆泮林輯本)	世本(茆泮林輯本)	1	scrape_output\raw\漢朝\世本(茆泮林輯本)\世本(茆泮林輯本)__juan_01.txt	scrape_output\clean\漢朝\世本(茆泮林輯本)\世本(茆泮林輯本)__juan_01.txt	36111	34154	0
漢朝	10965	五帝本紀贊	五帝本紀贊	五帝本紀贊	1	scrape_output\raw\漢朝\五帝本紀贊\五帝本紀贊__juan_01.txt	scrape_output\clean\漢朝\五帝本紀贊\五帝本紀贊__juan_01.txt	522	423	0
漢朝	22486	五神	五神	五神	1	scrape_output\raw\漢朝\五神\五神__juan_01.txt	scrape_output\clean\漢朝\五神\五神__juan_01.txt	190	98	0
漢朝	137883	京氏易傳	京氏易傳	京氏易傳	1	scrape_output\raw\漢朝\京氏易傳\京氏易傳__juan_01.txt	scrape_output\clean\漢朝\京氏易傳\京氏易傳__juan_01.txt	34330	32933	0
漢朝	1059220	傷寒雜病論白雲閣藏本	傷寒雜病論白雲閣藏本	傷寒雜病論白雲閣藏本	1	scrape_output\raw\漢朝\傷寒雜病論白雲閣藏本\傷寒雜病論白雲閣藏本__juan_01.txt	scrape_output\clean\漢朝\傷寒雜病論白雲閣藏本\傷寒雜病論白雲閣藏本__juan_01.txt	95174	93498	0
漢朝	61374	儀禮註疏	儀禮註疏/卷一	儀禮註疏	1	scrape_output\raw\漢朝\儀禮註疏\儀禮註疏__juan_01.txt	scrape_output\clean\漢朝\儀禮註疏\儀禮註疏__juan_01.txt	15542	15383	0
漢朝	61374	儀禮註疏	儀禮註疏/卷二	儀禮註疏	2	scrape_output\raw\漢朝\儀禮註疏\儀禮註疏__juan_02.txt	scrape_output\clean\漢朝\儀禮註疏\儀禮註疏__juan_02.txt	18095	17722	0
漢朝	61374	儀禮註疏	儀禮註疏/卷三	儀禮註疏	3	scrape_output\raw\漢朝\儀禮註疏\儀禮註疏__juan_03.txt	scrape_output\clean\漢朝\儀禮註疏\儀禮註疏__juan_03.txt	15694	15491	0
漢朝	61374	儀禮註疏	儀禮註疏/卷四	儀禮註疏	4	scrape_output\raw\漢朝\儀禮註疏\儀禮註疏__juan_04.txt	scrape_output\clean\漢朝\儀禮註疏\儀禮註疏__juan_04.txt	13607	13433	0
