category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
秦朝,7690,三略,三略,三略,1,scrape_output\raw\秦朝\三略\三略__juan_01.txt,scrape_output\clean\秦朝\三略\三略__juan_01.txt,5131,5087,0
秦朝,65313,上書對二世,上書對二世,上書對二世,1,scrape_output\raw\秦朝\上書對二世\上書對二世__juan_01.txt,scrape_output\clean\秦朝\上書對二世\上書對二世__juan_01.txt,1212,1119,0
秦朝,65312,上書言治驪山陵,上書言治驪山陵,上書言治驪山陵,1,scrape_output\raw\秦朝\上書言治驪山陵\上書言治驪山陵__juan_01.txt,scrape_output\clean\秦朝\上書言治驪山陵\上書言治驪山陵__juan_01.txt,194,102,0
秦朝,65314,上書言趙高,上書言趙高,上書言趙高,1,scrape_output\raw\秦朝\上書言趙高\上書言趙高__juan_01.txt,scrape_output\clean\秦朝\上書言趙高\上書言趙高__juan_01.txt,310,263,0
秦朝,65299,上書請從死,上書請從死,上書請從死,1,scrape_output\raw\秦朝\上書請從死\上書請從死__juan_01.txt,scrape_output\clean\秦朝\上書請從死\上書請從死__juan_01.txt,196,103,0
秦朝,65311,上書韓王,上書韓王,上書韓王,1,scrape_output\raw\秦朝\上書韓王\上書韓王__juan_01.txt,scrape_output\clean\秦朝\上書韓王\上書韓王__juan_01.txt,862,769,0
秦朝,65325,之罘刻石,之罘刻石,之罘刻石,1,scrape_output\raw\秦朝\之罘刻石\之罘刻石__juan_01.txt,scrape_output\clean\秦朝\之罘刻石\之罘刻石__juan_01.txt,299,253,0
秦朝,65326,之罘東觀刻石,之罘東觀刻石,之罘東觀刻石,1,scrape_output\raw\秦朝\之罘東觀刻石\之罘東觀刻石__juan_01.txt,scrape_output\clean\秦朝\之罘東觀刻石\之罘東觀刻石__juan_01.txt,276,231,0
秦朝,65290,令丞相御史議帝號,令丞相御史議帝號,令丞相御史議帝號,1,scrape_output\raw\秦朝\令丞相御史議帝號\令丞相御史議帝號__juan_01.txt,scrape_output\clean\秦朝\令丞相御史議帝號\令丞相御史議帝號__juan_01.txt,380,287,0
秦朝,65289,令斷諫太后事,令斷諫太后事,令斷諫太后事,1,scrape_output\raw\秦朝\令斷諫太后事\令斷諫太后事__juan_01.txt,scrape_output\clean\秦朝\令斷諫太后事\令斷諫太后事__juan_01.txt,136,43,0
