category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page,wenyan_mode,wenyan_score,wenyan_label,wenyan_chars,wenyan_modern_density,wenyan_classical_density,wenyan_avg_sentence_len,wenyan_is_poetry,wenyan_short_text
臺北市,1091566,「五二四」不幸事件告全國同胞書,「五二四」不幸事件告全國同胞書,「五二四」不幸事件告全國同胞書,1,scrape_output\suspected_baihua\raw\臺北市\「五二四」不幸事件告全國同胞書\「五二四」不幸事件告全國同胞書__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\「五二四」不幸事件告全國同胞書\「五二四」不幸事件告全國同胞書__juan_01.txt,3614,3570,0,separate,-0.07553066037735848,baihua-like,3392,0.08873820754716981,0.02034198113207547,21.673202614379086,0,0
臺北市,1180689,中國無線電協進會發刋「無線電」雜誌獻詞,中國無線電協進會發刋「無線電」雜誌獻詞,中國無線電協進會發刋「無線電」雜誌獻詞,1,scrape_output\raw\臺北市\中國無線電協進會發刋「無線電」雜誌獻詞\中國無線電協進會發刋「無線電」雜誌獻詞__juan_01.txt,scrape_output\clean\臺北市\中國無線電協進會發刋「無線電」雜誌獻詞\中國無線電協進會發刋「無線電」雜誌獻詞__juan_01.txt,1563,1490,0,separate,0.3392561983471074,wenyan-like,1452,0.026859504132231406,0.05991735537190083,34.8780487804878,0,0
臺北市,1180437,中外條約輯編,中外條約輯編/第一編,中外條約輯編,1,scrape_output\suspected_baihua\raw\臺北市\中外條約輯編\中外條約輯編__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中外條約輯編\中外條約輯編__juan_01.txt,2141,1907,0,separate,-0.002156101768003446,baihua-like,2319,0.02285467874083657,0.03320396722725313,14.049382716049383,0,0
臺北市,1180437,中外條約輯編,中外條約輯編/第五編,中外條約輯編,2,scrape_output\suspected_baihua\raw\臺北市\中外條約輯編\中外條約輯編__juan_02.txt,scrape_output\suspected_baihua\clean\臺北市\中外條約輯編\中外條約輯編__juan_02.txt,751,674,0,separate,-0.002156101768003446,baihua-like,2319,0.02285467874083657,0.03320396722725313,14.049382716049383,0,0
臺北市,1084684,中華民國一○一年元旦總統祝詞,中華民國一○一年元旦總統祝詞,中華民國一○一年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一○一年元旦總統祝詞\中華民國一○一年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一○一年元旦總統祝詞\中華民國一○一年元旦總統祝詞__juan_01.txt,2861,2796,0,separate,0.09777365491651208,wenyan-like,2695,0.07309833024118738,0.008534322820037106,38.231884057971016,0,0
臺北市,1126679,中華民國一○一年總統農曆春節談話,中華民國一○一年總統農曆春節談話,中華民國一○一年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○一年總統農曆春節談話\中華民國一○一年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○一年總統農曆春節談話\中華民國一○一年總統農曆春節談話__juan_01.txt,1313,1268,0,separate,-0.07996515679442512,baihua-like,1148,0.08885017421602788,0.018292682926829267,19.928571428571427,0,0
臺北市,1126931,中華民國一○七年總統二二八事件談話,中華民國一○七年總統二二八事件談話,中華民國一○七年總統二二八事件談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○七年總統二二八事件談話\中華民國一○七年總統二二八事件談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○七年總統二二八事件談話\中華民國一○七年總統二二八事件談話__juan_01.txt,1979,1925,0,separate,-0.1721734357848518,baihua-like,1822,0.11690450054884742,0.014270032930845226,23.87837837837838,0,0
臺北市,1126675,中華民國一○七年總統農曆春節談話,中華民國一○七年總統農曆春節談話,中華民國一○七年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○七年總統農曆春節談話\中華民國一○七年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○七年總統農曆春節談話\中華民國一○七年總統農曆春節談話__juan_01.txt,1707,1656,0,separate,-0.09504158669225848,baihua-like,1563,0.09404990403071017,0.018554062699936022,21.267605633802816,0,0
臺北市,1084682,中華民國一○三年元旦總統祝詞,中華民國一○三年元旦總統祝詞,中華民國一○三年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一○三年元旦總統祝詞\中華民國一○三年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一○三年元旦總統祝詞\中華民國一○三年元旦總統祝詞__juan_01.txt,6161,5818,0,separate,0.09651369619352546,wenyan-like,5622,0.07221629313411597,0.006581287797936678,45.66115702479339,0,0
臺北市,1084678,中華民國一○九年元旦總統祝詞,中華民國一○九年元旦總統祝詞,中華民國一○九年元旦總統祝詞,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○九年元旦總統祝詞\中華民國一○九年元旦總統祝詞__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○九年元旦總統祝詞\中華民國一○九年元旦總統祝詞__juan_01.txt,2727,2672,0,separate,-0.11492684855674182,baihua-like,2529,0.09806247528667457,0.014630288651640965,23.980392156862745,0,0
臺北市,1126673,中華民國一○九年總統農曆春節談話,中華民國一○九年總統農曆春節談話,中華民國一○九年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○九年總統農曆春節談話\中華民國一○九年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○九年總統農曆春節談話\中華民國一○九年總統農曆春節談話__juan_01.txt,829,769,0,separate,-0.05754716981132077,baihua-like,689,0.08272859216255443,0.020319303338171262,15.904761904761905,0,0
臺北市,1084683,中華民國一○二年元旦總統祝詞,中華民國一○二年元旦總統祝詞,中華民國一○二年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一○二年元旦總統祝詞\中華民國一○二年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一○二年元旦總統祝詞\中華民國一○二年元旦總統祝詞__juan_01.txt,5082,4983,0,separate,0.12367549668874173,wenyan-like,4832,0.0658112582781457,0.010554635761589404,41.55263157894737,0,0
臺北市,1126678,中華民國一○二年總統農曆春節談話,中華民國一○二年總統農曆春節談話,中華民國一○二年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○二年總統農曆春節談話\中華民國一○二年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○二年總統農曆春節談話\中華民國一○二年總統農曆春節談話__juan_01.txt,1249,1192,0,separate,-0.06774931381518759,baihua-like,1093,0.08234217749313816,0.01463860933211345,21.22,0,0
臺北市,1084680,中華民國一○五年元旦總統祝詞,中華民國一○五年元旦總統祝詞,中華民國一○五年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一○五年元旦總統祝詞\中華民國一○五年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一○五年元旦總統祝詞\中華民國一○五年元旦總統祝詞__juan_01.txt,9221,8358,0,separate,0.08206233830232845,wenyan-like,8117,0.0799556486386596,0.010964642109153629,40.88717948717949,0,0
臺北市,1126674,中華民國一○八年總統農曆春節談話,中華民國一○八年總統農曆春節談話,中華民國一○八年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○八年總統農曆春節談話\中華民國一○八年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○八年總統農曆春節談話\中華民國一○八年總統農曆春節談話__juan_01.txt,940,879,0,separate,-0.040416141235813385,baihua-like,793,0.07692307692307693,0.0201765447667087,17.930232558139537,0,0
臺北市,1126930,中華民國一○六年總統二二八事件談話,中華民國一○六年總統二二八事件談話,中華民國一○六年總統二二八事件談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一○六年總統二二八事件談話\中華民國一○六年總統二二八事件談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一○六年總統二二八事件談話\中華民國一○六年總統二二八事件談話__juan_01.txt,1939,1892,0,separate,-0.17120872971460552,baihua-like,1787,0.12199216564073867,0.02238388360380526,22.141025641025642,0,0
臺北市,1084681,中華民國一○四年元旦總統祝詞,中華民國一○四年元旦總統祝詞,中華民國一○四年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一○四年元旦總統祝詞\中華民國一○四年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一○四年元旦總統祝詞\中華民國一○四年元旦總統祝詞__juan_01.txt,3414,3351,0,separate,0.03138049236522278,wenyan-like,3209,0.09660330320972266,0.010595200997195388,34.45054945054945,0,0
臺北市,1126672,中華民國一一○年總統農曆春節談話,中華民國一一○年總統農曆春節談話,中華民國一一○年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國一一○年總統農曆春節談話\中華民國一一○年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國一一○年總統農曆春節談話\中華民國一一○年總統農曆春節談話__juan_01.txt,1042,978,0,separate,-0.022605790645879753,baihua-like,898,0.07461024498886415,0.025612472160356347,19.377777777777776,0,0
臺北市,1084685,中華民國一百年元旦總統祝詞,中華民國一百年元旦總統祝詞,中華民國一百年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國一百年元旦總統祝詞\中華民國一百年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國一百年元旦總統祝詞\中華民國一百年元旦總統祝詞__juan_01.txt,4326,4281,0,separate,0.10157752033522305,wenyan-like,4057,0.07172787774217403,0.008380576780872565,34.833333333333336,0,0
臺北市,189650,中華民國三十九年青年節告全國青年書,中華民國三十九年青年節告全國青年書,中華民國三十九年青年節告全國青年書,1,scrape_output\suspected_baihua\raw\臺北市\中華民國三十九年青年節告全國青年書\中華民國三十九年青年節告全國青年書__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國三十九年青年節告全國青年書\中華民國三十九年青年節告全國青年書__juan_01.txt,1065,1022,0,separate,-0.02879417879417881,baihua-like,962,0.07276507276507277,0.01975051975051975,23.525,0,0
臺北市,1084696,中華民國九十一年元旦總統祝詞,中華民國九十一年元旦總統祝詞,中華民國九十一年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十一年元旦總統祝詞\中華民國九十一年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十一年元旦總統祝詞\中華民國九十一年元旦總統祝詞__juan_01.txt,2174,2128,0,separate,0.05636713118692932,wenyan-like,2081,0.09274387313791446,0.017299375300336376,36.357142857142854,0,0
臺北市,1126687,中華民國九十一年總統農曆春節談話,中華民國九十一年總統農曆春節談話,中華民國九十一年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十一年總統農曆春節談話\中華民國九十一年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十一年總統農曆春節談話\中華民國九十一年總統農曆春節談話__juan_01.txt,2286,2243,0,separate,-0.0990498812351544,baihua-like,2105,0.14346793349168646,0.015676959619952493,26.584415584415584,0,0
臺北市,1084688,中華民國九十七年元旦總統祝詞,中華民國九十七年元旦總統祝詞,中華民國九十七年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十七年元旦總統祝詞\中華民國九十七年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十七年元旦總統祝詞\中華民國九十七年元旦總統祝詞__juan_01.txt,5982,5912,0,separate,0.07401424352961611,wenyan-like,5757,0.08250825082508251,0.010769498002431823,62.395604395604394,0,0
臺北市,1126683,中華民國九十七年總統農曆春節談話,中華民國九十七年總統農曆春節談話,中華民國九十七年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十七年總統農曆春節談話\中華民國九十七年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十七年總統農曆春節談話\中華民國九十七年總統農曆春節談話__juan_01.txt,848,805,0,separate,-0.19487908961593176,baihua-like,703,0.08677098150782361,0.032716927453769556,13.076923076923077,0,0
臺北市,1084693,中華民國九十三年元旦總統祝詞,中華民國九十三年元旦總統祝詞,中華民國九十三年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十三年元旦總統祝詞\中華民國九十三年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十三年元旦總統祝詞\中華民國九十三年元旦總統祝詞__juan_01.txt,4314,4266,0,separate,0.021515951067402228,wenyan-like,4169,0.10002398656752219,0.010793955384984408,44.97802197802198,0,0
臺北市,1084686,中華民國九十九年元旦總統祝詞,中華民國九十九年元旦總統祝詞,中華民國九十九年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十九年元旦總統祝詞\中華民國九十九年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十九年元旦總統祝詞\中華民國九十九年元旦總統祝詞__juan_01.txt,5385,5159,0,separate,0.10845126569663147,wenyan-like,5017,0.06916483954554514,0.007972892166633447,43.19298245614035,0,0
臺北市,1126681,中華民國九十九年總統農曆春節談話,中華民國九十九年總統農曆春節談話,中華民國九十九年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十九年總統農曆春節談話\中華民國九十九年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十九年總統農曆春節談話\中華民國九十九年總統農曆春節談話__juan_01.txt,1309,1266,0,separate,-0.013822525597269653,baihua-like,1172,0.06655290102389079,0.017918088737201365,21.884615384615383,0,0
臺北市,1084695,中華民國九十二年元旦總統祝詞,中華民國九十二年元旦總統祝詞,中華民國九十二年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十二年元旦總統祝詞\中華民國九十二年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十二年元旦總統祝詞\中華民國九十二年元旦總統祝詞__juan_01.txt,3395,3351,0,separate,0.02929354445797805,wenyan-like,3284,0.09835566382460414,0.012180267965895249,39.69135802469136,0,0
臺北市,1126922,中華民國九十二年總統二二八事件談話,中華民國九十二年總統二二八事件談話,中華民國九十二年總統二二八事件談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十二年總統二二八事件談話\中華民國九十二年總統二二八事件談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十二年總統二二八事件談話\中華民國九十二年總統二二八事件談話__juan_01.txt,1776,1732,0,separate,-0.0029932803909590855,baihua-like,1637,0.11240073304825901,0.01710445937690898,25.693548387096776,0,0
臺北市,1126686,中華民國九十二年總統農曆春節談話,中華民國九十二年總統農曆春節談話,中華民國九十二年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十二年總統農曆春節談話\中華民國九十二年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十二年總統農曆春節談話\中華民國九十二年總統農曆春節談話__juan_01.txt,1773,1713,0,separate,-0.18541536539662715,baihua-like,1601,0.12179887570268583,0.014990630855715179,23.545454545454547,0,0
臺北市,1084691,中華民國九十五年元旦總統祝詞,中華民國九十五年元旦總統祝詞,中華民國九十五年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十五年元旦總統祝詞\中華民國九十五年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十五年元旦總統祝詞\中華民國九十五年元旦總統祝詞__juan_01.txt,6186,6131,0,separate,0.06361529548088063,wenyan-like,6041,0.08872703194835292,0.014898195662969706,47.06349206349206,0,0
臺北市,1084687,中華民國九十八年元旦總統祝詞,中華民國九十八年元旦總統祝詞,中華民國九十八年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十八年元旦總統祝詞\中華民國九十八年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十八年元旦總統祝詞\中華民國九十八年元旦總統祝詞__juan_01.txt,4366,4291,0,separate,0.09792370835345243,wenyan-like,4142,0.0760502172863351,0.013037180106228875,38.264150943396224,0,0
臺北市,1126682,中華民國九十八年總統農曆春節談話,中華民國九十八年總統農曆春節談話,中華民國九十八年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十八年總統農曆春節談話\中華民國九十八年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十八年總統農曆春節談話\中華民國九十八年總統農曆春節談話__juan_01.txt,1098,1044,0,separate,-0.03388429752066116,baihua-like,968,0.0743801652892562,0.01962809917355372,23.097560975609756,0,0
臺北市,1084690,中華民國九十六年元旦總統祝詞,中華民國九十六年元旦總統祝詞,中華民國九十六年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十六年元旦總統祝詞\中華民國九十六年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十六年元旦總統祝詞\中華民國九十六年元旦總統祝詞__juan_01.txt,5394,5219,0,separate,0.058278145695364214,wenyan-like,5134,0.0905726529022205,0.014998052201012855,70.45833333333333,0,0
臺北市,1084692,中華民國九十四年元旦總統祝詞,中華民國九十四年元旦總統祝詞,中華民國九十四年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十四年元旦總統祝詞\中華民國九十四年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十四年元旦總統祝詞\中華民國九十四年元旦總統祝詞__juan_01.txt,4047,3985,0,separate,0.031732243229432855,wenyan-like,3914,0.10066428206438426,0.016862544711292796,44.12643678160919,0,0
臺北市,1126685,中華民國九十四年總統農曆春節談話,中華民國九十四年總統農曆春節談話,中華民國九十四年總統農曆春節談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十四年總統農曆春節談話\中華民國九十四年總統農曆春節談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十四年總統農曆春節談話\中華民國九十四年總統農曆春節談話__juan_01.txt,594,550,0,separate,-0.17130620985010706,baihua-like,467,0.07708779443254818,0.029978586723768737,11.146341463414634,0,0
臺北市,1084697,中華民國九十年元旦總統祝詞,中華民國九十年元旦總統祝詞,中華民國九十年元旦總統祝詞,1,scrape_output\raw\臺北市\中華民國九十年元旦總統祝詞\中華民國九十年元旦總統祝詞__juan_01.txt,scrape_output\clean\臺北市\中華民國九十年元旦總統祝詞\中華民國九十年元旦總統祝詞__juan_01.txt,2365,2322,0,separate,0.09048042704626333,wenyan-like,2248,0.076067615658363,0.009341637010676156,36.7,0,0
臺北市,1126920,中華民國九十年總統二二八事件談話,中華民國九十年總統二二八事件談話,中華民國九十年總統二二八事件談話,1,scrape_output\suspected_baihua\raw\臺北市\中華民國九十年總統二二八事件談話\中華民國九十年總統二二八事件談話__juan_01.txt,scrape_output\suspected_baihua\clean\臺北市\中華民國九十年總統二二八事件談話\中華民國九十年總統二二八事件談話__juan_01.txt,1274,1231,0,separate,-0.020962199312714785,baihua-like,1164,0.06786941580756013,0.01632302405498282,24.148936170212767,0,0
