category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
蜀漢,165444,上事表,上事表,上事表,1,scrape_output\raw\蜀漢\上事表\上事表__juan_01.txt,scrape_output\clean\蜀漢\上事表\上事表__juan_01.txt,51,51,0
蜀漢,165449,上先帝書,上先帝書,上先帝書,1,scrape_output\raw\蜀漢\上先帝書\上先帝書__juan_01.txt,scrape_output\clean\蜀漢\上先帝書\上先帝書__juan_01.txt,43,43,0
蜀漢,66738,上先王書,上先王書,上先王書,1,scrape_output\raw\蜀漢\上先王書\上先王書__juan_01.txt,scrape_output\clean\蜀漢\上先王書\上先王書__juan_01.txt,143,99,0
蜀漢,190091,上後主疏(李邈),上後主疏(李邈),上後主疏(李邈),1,scrape_output\raw\蜀漢\上後主疏(李邈)\上後主疏(李邈)__juan_01.txt,scrape_output\clean\蜀漢\上後主疏(李邈)\上後主疏(李邈)__juan_01.txt,291,198,0
蜀漢,66739,上言請宣奉遺詔（章武三年四月）,上言請宣奉遺詔（章武三年四月）,上言請宣奉遺詔（章武三年四月）,1,scrape_output\raw\蜀漢\上言請宣奉遺詔（章武三年四月）\上言請宣奉遺詔（章武三年四月）__juan_01.txt,scrape_output\clean\蜀漢\上言請宣奉遺詔（章武三年四月）\上言請宣奉遺詔（章武三年四月）__juan_01.txt,216,171,0
蜀漢,165443,上言追尊甘夫人為昭烈皇后,上言追尊甘夫人為昭烈皇后,上言追尊甘夫人為昭烈皇后,1,scrape_output\raw\蜀漢\上言追尊甘夫人為昭烈皇后\上言追尊甘夫人為昭烈皇后__juan_01.txt,scrape_output\clean\蜀漢\上言追尊甘夫人為昭烈皇后\上言追尊甘夫人為昭烈皇后__juan_01.txt,308,308,0
蜀漢,1044814,二十八宿分野,二十八宿分野,二十八宿分野,1,scrape_output\raw\蜀漢\二十八宿分野\二十八宿分野__juan_01.txt,scrape_output\clean\蜀漢\二十八宿分野\二十八宿分野__juan_01.txt,956,910,0
蜀漢,66761,交論,交論,交論,1,scrape_output\raw\蜀漢\交論\交論__juan_01.txt,scrape_output\clean\蜀漢\交論\交論__juan_01.txt,150,106,0
蜀漢,145877,仇國論,仇國論,仇國論,1,scrape_output\raw\蜀漢\仇國論\仇國論__juan_01.txt,scrape_output\clean\蜀漢\仇國論\仇國論__juan_01.txt,646,602,0
蜀漢,66725,作斧教,作斧教,作斧教,1,scrape_output\raw\蜀漢\作斧教\作斧教__juan_01.txt,scrape_output\clean\蜀漢\作斧教\作斧教__juan_01.txt,215,167,0
蜀漢,66766,作木牛流馬法,作木牛流馬法,作木牛流馬法,1,scrape_output\raw\蜀漢\作木牛流馬法\作木牛流馬法__juan_01.txt,scrape_output\clean\蜀漢\作木牛流馬法\作木牛流馬法__juan_01.txt,646,599,0
蜀漢,8603,便宜十六策,便宜十六策,便宜十六策,1,scrape_output\raw\蜀漢\便宜十六策\便宜十六策__juan_01.txt,scrape_output\clean\蜀漢\便宜十六策\便宜十六策__juan_01.txt,7800,7756,0
蜀漢,193647,八陣圖法,八陣圖法,八陣圖法,1,scrape_output\raw\蜀漢\八陣圖法\八陣圖法__juan_01.txt,scrape_output\clean\蜀漢\八陣圖法\八陣圖法__juan_01.txt,95,51,0
蜀漢,165442,公文上尚書,公文上尚書,公文上尚書,1,scrape_output\raw\蜀漢\公文上尚書\公文上尚書__juan_01.txt,scrape_output\clean\蜀漢\公文上尚書\公文上尚書__juan_01.txt,443,443,0
