category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
金朝,201171,㶏亭,㶏亭,㶏亭,1,scrape_output\raw\金朝\㶏亭\㶏亭__juan_01.txt,scrape_output\clean\金朝\㶏亭\㶏亭__juan_01.txt,203,159,0
金朝,201174,㶏水,㶏水,㶏水,1,scrape_output\raw\金朝\㶏水\㶏水__juan_01.txt,scrape_output\clean\金朝\㶏水\㶏水__juan_01.txt,246,202,0
金朝,105015,丁未寒食歸自三泉,丁未寒食歸自三泉,丁未寒食歸自三泉,1,scrape_output\raw\金朝\丁未寒食歸自三泉\丁未寒食歸自三泉__juan_01.txt,scrape_output\clean\金朝\丁未寒食歸自三泉\丁未寒食歸自三泉__juan_01.txt,228,105,0
金朝,104987,七月十二日行狼牙嶺,七月十二日行狼牙嶺,七月十二日行狼牙嶺,1,scrape_output\raw\金朝\七月十二日行狼牙嶺\七月十二日行狼牙嶺__juan_01.txt,scrape_output\clean\金朝\七月十二日行狼牙嶺\七月十二日行狼牙嶺__juan_01.txt,149,105,0
金朝,104793,七月十六日送馮揚善提領關中三教,七月十六日送馮揚善提領關中三教,七月十六日送馮揚善提領關中三教,1,scrape_output\raw\金朝\七月十六日送馮揚善提領關中三教\七月十六日送馮揚善提領關中三教__juan_01.txt,scrape_output\clean\金朝\七月十六日送馮揚善提領關中三教\七月十六日送馮揚善提領關中三教__juan_01.txt,133,89,0
金朝,201704,七月十六日送馮楊善提領關中三教,七月十六日送馮楊善提領關中三教,七月十六日送馮楊善提領關中三教,1,scrape_output\raw\金朝\七月十六日送馮楊善提領關中三教\七月十六日送馮楊善提領關中三教__juan_01.txt,scrape_output\clean\金朝\七月十六日送馮楊善提領關中三教\七月十六日送馮楊善提領關中三教__juan_01.txt,133,89,0
金朝,104877,三仙祠,三仙祠,三仙祠,1,scrape_output\raw\金朝\三仙祠\三仙祠__juan_01.txt,scrape_output\clean\金朝\三仙祠\三仙祠__juan_01.txt,149,105,0
金朝,553438,三皇堂記,三皇堂記,三皇堂記,1,scrape_output\raw\金朝\三皇堂記\三皇堂記__juan_01.txt,scrape_output\clean\金朝\三皇堂記\三皇堂記__juan_01.txt,606,562,0
金朝,330115,上平陽廉訪使,上平陽廉訪使,上平陽廉訪使,1,scrape_output\raw\金朝\上平陽廉訪使\上平陽廉訪使__juan_01.txt,scrape_output\clean\金朝\上平陽廉訪使\上平陽廉訪使__juan_01.txt,149,105,0
金朝,758541,上清太玄集,上清太玄集,上清太玄集,1,scrape_output\raw\金朝\上清太玄集\上清太玄集__juan_01.txt,scrape_output\clean\金朝\上清太玄集\上清太玄集__juan_01.txt,73088,73012,0
金朝,104691,下黃榆嶺,下黃榆嶺,下黃榆嶺,1,scrape_output\raw\金朝\下黃榆嶺\下黃榆嶺__juan_01.txt,scrape_output\clean\金朝\下黃榆嶺\下黃榆嶺__juan_01.txt,235,191,0
金朝,138110,不寐 (元好問),不寐 (元好問),不寐 (元好問),1,scrape_output\raw\金朝\不寐 (元好問)\不寐 (元好問)__juan_01.txt,scrape_output\clean\金朝\不寐 (元好問)\不寐 (元好問)__juan_01.txt,133,89,0
金朝,202102,世宗御書田不伐望月婆羅門引先得楚字韻,世宗御書田不伐望月婆羅門引先得楚字韻,世宗御書田不伐望月婆羅門引先得楚字韻,1,scrape_output\raw\金朝\世宗御書田不伐望月婆羅門引先得楚字韻\世宗御書田不伐望月婆羅門引先得楚字韻__juan_01.txt,scrape_output\clean\金朝\世宗御書田不伐望月婆羅門引先得楚字韻\世宗御書田不伐望月婆羅門引先得楚字韻__juan_01.txt,187,143,0
金朝,104786,丙午九日詠菊二首,丙午九日詠菊二首,丙午九日詠菊二首,1,scrape_output\raw\金朝\丙午九日詠菊二首\丙午九日詠菊二首__juan_01.txt,scrape_output\clean\金朝\丙午九日詠菊二首\丙午九日詠菊二首__juan_01.txt,189,145,0
金朝,105055,丙辰九月二十六日挈家遊龍泉,丙辰九月二十六日挈家遊龍泉,丙辰九月二十六日挈家遊龍泉,1,scrape_output\raw\金朝\丙辰九月二十六日挈家遊龍泉\丙辰九月二十六日挈家遊龍泉__juan_01.txt,scrape_output\clean\金朝\丙辰九月二十六日挈家遊龍泉\丙辰九月二十六日挈家遊龍泉__juan_01.txt,149,105,0
金朝,105030,中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭,中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭,中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭,1,scrape_output\raw\金朝\中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭\中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭__juan_01.txt,scrape_output\clean\金朝\中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭\中庸先生垂示先大夫教子詩及裴內翰擇之所述家傳愛仰不足情見於辭__juan_01.txt,157,113,0
