category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
日本漢詩,183841,不出門 (菅原道眞),不出門 (菅原道眞),不出門 (菅原道眞),1,scrape_output\raw\日本漢詩\不出門 (菅原道眞)\不出門 (菅原道眞)__juan_01.txt,scrape_output\clean\日本漢詩\不出門 (菅原道眞)\不出門 (菅原道眞)__juan_01.txt,162,70,0
日本漢詩,1142734,九月十五夜,九月十五夜,九月十五夜,1,scrape_output\raw\日本漢詩\九月十五夜\九月十五夜__juan_01.txt,scrape_output\clean\日本漢詩\九月十五夜\九月十五夜__juan_01.txt,162,70,0
日本漢詩,183653,九月十日,九月十日,九月十日,1,scrape_output\raw\日本漢詩\九月十日\九月十日__juan_01.txt,scrape_output\clean\日本漢詩\九月十日\九月十日__juan_01.txt,126,34,0
日本漢詩,169806,偶作 (武田信玄),偶作 (武田信玄),偶作 (武田信玄),1,scrape_output\raw\日本漢詩\偶作 (武田信玄)\偶作 (武田信玄)__juan_01.txt,scrape_output\clean\日本漢詩\偶作 (武田信玄)\偶作 (武田信玄)__juan_01.txt,130,38,0
日本漢詩,187602,傷野大夫,傷野大夫,傷野大夫,1,scrape_output\raw\日本漢詩\傷野大夫\傷野大夫__juan_01.txt,scrape_output\clean\日本漢詩\傷野大夫\傷野大夫__juan_01.txt,180,88,0
日本漢詩,169142,凱旋,凱旋,凱旋,1,scrape_output\raw\日本漢詩\凱旋\凱旋__juan_01.txt,scrape_output\clean\日本漢詩\凱旋\凱旋__juan_01.txt,126,34,0
日本漢詩,183835,十有三春秋,十有三春秋,十有三春秋,1,scrape_output\raw\日本漢詩\十有三春秋\十有三春秋__juan_01.txt,scrape_output\clean\日本漢詩\十有三春秋\十有三春秋__juan_01.txt,132,40,0
日本漢詩,183845,博士難,博士難,博士難,1,scrape_output\raw\日本漢詩\博士難\博士難__juan_01.txt,scrape_output\clean\日本漢詩\博士難\博士難__juan_01.txt,314,222,0
日本漢詩,187613,夏日閑居，詠庭前三物,夏日閑居，詠庭前三物,夏日閑居，詠庭前三物,1,scrape_output\raw\日本漢詩\夏日閑居，詠庭前三物\夏日閑居，詠庭前三物__juan_01.txt,scrape_output\clean\日本漢詩\夏日閑居，詠庭前三物\夏日閑居，詠庭前三物__juan_01.txt,198,106,0
日本漢詩,187617,字訓詩 (清原真友),字訓詩 (清原真友),字訓詩 (清原真友),1,scrape_output\raw\日本漢詩\字訓詩 (清原真友)\字訓詩 (清原真友)__juan_01.txt,scrape_output\clean\日本漢詩\字訓詩 (清原真友)\字訓詩 (清原真友)__juan_01.txt,142,50,0
日本漢詩,187619,字訓詩 (源順),字訓詩 (源順),字訓詩 (源順),1,scrape_output\raw\日本漢詩\字訓詩 (源順)\字訓詩 (源順)__juan_01.txt,scrape_output\clean\日本漢詩\字訓詩 (源順)\字訓詩 (源順)__juan_01.txt,142,50,0
日本漢詩,944596,富士山,富士山,富士山,1,scrape_output\raw\日本漢詩\富士山\富士山__juan_01.txt,scrape_output\clean\日本漢詩\富士山\富士山__juan_01.txt,126,34,0
日本漢詩,944607,寓怀（石川丈山）,寓怀（石川丈山）,寓怀（石川丈山）,1,scrape_output\raw\日本漢詩\寓怀（石川丈山）\寓怀（石川丈山）__juan_01.txt,scrape_output\clean\日本漢詩\寓怀（石川丈山）\寓怀（石川丈山）__juan_01.txt,126,34,0
日本漢詩,187616,山家秋歌八首,山家秋歌八首,山家秋歌八首,1,scrape_output\raw\日本漢詩\山家秋歌八首\山家秋歌八首__juan_01.txt,scrape_output\clean\日本漢詩\山家秋歌八首\山家秋歌八首__juan_01.txt,362,270,0
日本漢詩,183832,後夜聞佛法僧鳥,後夜聞佛法僧鳥,後夜聞佛法僧鳥,1,scrape_output\raw\日本漢詩\後夜聞佛法僧鳥\後夜聞佛法僧鳥__juan_01.txt,scrape_output\clean\日本漢詩\後夜聞佛法僧鳥\後夜聞佛法僧鳥__juan_01.txt,126,34,0
日本漢詩,187604,慰小男女,慰小男女,慰小男女,1,scrape_output\raw\日本漢詩\慰小男女\慰小男女__juan_01.txt,scrape_output\clean\日本漢詩\慰小男女\慰小男女__juan_01.txt,220,128,0
日本漢詩,187627,憶龜山二首,憶龜山二首,憶龜山二首,1,scrape_output\raw\日本漢詩\憶龜山二首\憶龜山二首__juan_01.txt,scrape_output\clean\日本漢詩\憶龜山二首\憶龜山二首__juan_01.txt,158,66,0
日本漢詩,183876,於寶宅宴新羅客,於寶宅宴新羅客,於寶宅宴新羅客,1,scrape_output\raw\日本漢詩\於寶宅宴新羅客\於寶宅宴新羅客__juan_01.txt,scrape_output\clean\日本漢詩\於寶宅宴新羅客\於寶宅宴新羅客__juan_01.txt,146,54,0
日本漢詩,187621,時和年豐詩,時和年豐詩,時和年豐詩,1,scrape_output\raw\日本漢詩\時和年豐詩\時和年豐詩__juan_01.txt,scrape_output\clean\日本漢詩\時和年豐詩\時和年豐詩__juan_01.txt,226,134,0
日本漢詩,183837,月夜見梅花,月夜見梅花,月夜見梅花,1,scrape_output\raw\日本漢詩\月夜見梅花\月夜見梅花__juan_01.txt,scrape_output\clean\日本漢詩\月夜見梅花\月夜見梅花__juan_01.txt,118,26,0
日本漢詩,169809,海南行,海南行,海南行,1,scrape_output\raw\日本漢詩\海南行\海南行__juan_01.txt,scrape_output\clean\日本漢詩\海南行\海南行__juan_01.txt,130,38,0
日本漢詩,187629,無尾牛歌,無尾牛歌,無尾牛歌,1,scrape_output\raw\日本漢詩\無尾牛歌\無尾牛歌__juan_01.txt,scrape_output\clean\日本漢詩\無尾牛歌\無尾牛歌__juan_01.txt,530,430,0
日本漢詩,183747,無題 (阿倍仲麻呂),無題 (阿倍仲麻呂),無題 (阿倍仲麻呂),1,scrape_output\raw\日本漢詩\無題 (阿倍仲麻呂)\無題 (阿倍仲麻呂)__juan_01.txt,scrape_output\clean\日本漢詩\無題 (阿倍仲麻呂)\無題 (阿倍仲麻呂)__juan_01.txt,118,26,0
日本漢詩,169137,爾靈山,爾靈山,爾靈山,1,scrape_output\raw\日本漢詩\爾靈山\爾靈山__juan_01.txt,scrape_output\clean\日本漢詩\爾靈山\爾靈山__juan_01.txt,126,34,0
日本漢詩,187631,病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌,病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌,病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌,1,scrape_output\raw\日本漢詩\病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌\病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌__juan_01.txt,scrape_output\clean\日本漢詩\病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌\病中聞羽林藤將軍戲題夜行舍人鳥養，有三之絕句。兼見藤播州、橘員外、源進士等奉和之古調一感一歎，繼以狂歌__juan_01.txt,474,382,0
日本漢詩,1049721,癸巳歲晚書懷,癸巳歲晚書懷,癸巳歲晚書懷,1,scrape_output\raw\日本漢詩\癸巳歲晚書懷\癸巳歲晚書懷__juan_01.txt,scrape_output\clean\日本漢詩\癸巳歲晚書懷\癸巳歲晚書懷__juan_01.txt,84,77,0
