relative_path,changed,skipped,old_nation,new_nation,old_times,new_times,old_region,new_region,reason
倭/古墳時代/埼玉古墳群/稲荷山古墳出土鉄剣.txt,yes,no,日本,倭,471年 - 531年,古墳時代,,,derived from 倭/<period>/<flattened-region-folders>/<work>/... folder path
倭/飛鳥時代/倭国/法隆寺金堂釋迦三尊像光背銘.txt,yes,no,,倭,日本,飛鳥時代,,,derived from 倭/<period>/<flattened-region-folders>/<work>/... folder path
倭/飛鳥時代/未分類/日本漢詩/春苑言宴/春苑言宴.txt,no,no,倭,倭,飛鳥時代,飛鳥時代,,,derived from 倭/<period>/<flattened-region-folders>/<work>/... folder path
倭/飛鳥時代/未分類/日本漢詩/狩猟/狩猟.txt,no,no,倭,倭,飛鳥時代,飛鳥時代,,,derived from 倭/<period>/<flattened-region-folders>/<work>/... folder path
大日本帝国/朝鮮/一丫堂遺稿/一丫堂遺稿__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一丫堂遺稿/一丫堂遺稿__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一玉遺稿/一玉遺稿__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一蠹先生續集/一蠹先生續集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一蠹先生續集/一蠹先生續集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一蠹先生續集/一蠹先生續集__juan_03.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/一蠹先生續集/一蠹先生續集__juan_04.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/三弌𥛠誥/三弌𥛠誥__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
