source_path,staged_path,work_folder,work_title,page_title,exact_years,mentioned_years,decision_year,decision_coarse,all_coarse_counts,destination,nation,times,reason,ws_categories
朝鮮典籍/《小兒論》序/《小兒論》序__juan_01.txt,朝鮮王朝/《小兒論》序/《小兒論》序__juan_01.txt,《小兒論》序,《小兒論》序,《小兒論》序,1777,,1777,朝鮮王朝,"{""朝鮮王朝"": 1}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1777年;PD-old;朝鮮典籍;李湛
朝鮮典籍/《皇明實錄》購入進書文/《皇明實錄》購入進書文__juan_01.txt,朝鮮王朝/《皇明實錄》購入進書文/《皇明實錄》購入進書文__juan_01.txt,《皇明實錄》購入進書文,《皇明實錄》購入進書文,《皇明實錄》購入進書文,1830,1644,1830,朝鮮王朝,"{""朝鮮王朝"": 1}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1644年 (提及);1830年;PD-old;朝鮮典籍;金履喬
朝鮮典籍/䨓淵集/䨓淵集__juan_01.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_01.txt,䨓淵集,䨓淵集,䨓淵集/卷一,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_02.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_02.txt,䨓淵集,䨓淵集,䨓淵集/卷二,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_03.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_03.txt,䨓淵集,䨓淵集,䨓淵集/卷三,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_04.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_04.txt,䨓淵集,䨓淵集,䨓淵集/卷四,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_05.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_05.txt,䨓淵集,䨓淵集,䨓淵集/卷五,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_06.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_06.txt,䨓淵集,䨓淵集,䨓淵集/卷六,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_07.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_07.txt,䨓淵集,䨓淵集,䨓淵集/卷七,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_08.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_08.txt,䨓淵集,䨓淵集,䨓淵集/卷八,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_09.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_09.txt,䨓淵集,䨓淵集,䨓淵集/卷九,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_10.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_10.txt,䨓淵集,䨓淵集,䨓淵集/卷十,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_11.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_11.txt,䨓淵集,䨓淵集,䨓淵集/卷十一,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_12.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_12.txt,䨓淵集,䨓淵集,䨓淵集/卷十二,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_13.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_13.txt,䨓淵集,䨓淵集,䨓淵集/卷十三,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_14.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_14.txt,䨓淵集,䨓淵集,䨓淵集/卷十四,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_15.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_15.txt,䨓淵集,䨓淵集,䨓淵集/卷十五,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_16.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_16.txt,䨓淵集,䨓淵集,䨓淵集/卷十六,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_17.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_17.txt,䨓淵集,䨓淵集,䨓淵集/卷十七,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_18.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_18.txt,䨓淵集,䨓淵集,䨓淵集/卷十八,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_19.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_19.txt,䨓淵集,䨓淵集,䨓淵集/卷十九,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_20.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_20.txt,䨓淵集,䨓淵集,䨓淵集/卷二十,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_21.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_21.txt,䨓淵集,䨓淵集,䨓淵集/卷二十一,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_22.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_22.txt,䨓淵集,䨓淵集,䨓淵集/卷二十二,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_23.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_23.txt,䨓淵集,䨓淵集,䨓淵集/卷二十三,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_24.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_24.txt,䨓淵集,䨓淵集,䨓淵集/卷二十四,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_25.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_25.txt,䨓淵集,䨓淵集,䨓淵集/卷二十五,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_26.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_26.txt,䨓淵集,䨓淵集,䨓淵集/卷二十六,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_27.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_27.txt,䨓淵集,䨓淵集,䨓淵集/卷二十七,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_28.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_28.txt,䨓淵集,䨓淵集,䨓淵集/卷二十八,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_29.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_29.txt,䨓淵集,䨓淵集,䨓淵集/卷二十九,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/䨓淵集/䨓淵集__juan_30.txt,朝鮮王朝/䨓淵集/䨓淵集__juan_30.txt,䨓淵集,䨓淵集,䨓淵集/卷三十,1783,,1783,朝鮮王朝,"{""朝鮮王朝"": 30}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1783年;南有容
朝鮮典籍/一丫堂遺稿/一丫堂遺稿__juan_01.txt,大日本帝國/朝鮮/一丫堂遺稿/一丫堂遺稿__juan_01.txt,一丫堂遺稿,一丫堂遺稿,一丫堂遺稿/卷上,1937,,1937,大日本帝國/朝鮮,"{""大日本帝國/朝鮮"": 2}",大日本帝國/朝鮮,朝鮮,大日本帝國,dominant exact non-提及 WS_CATEGORIES year,1937年;李會彰
朝鮮典籍/一丫堂遺稿/一丫堂遺稿__juan_02.txt,大日本帝國/朝鮮/一丫堂遺稿/一丫堂遺稿__juan_02.txt,一丫堂遺稿,一丫堂遺稿,一丫堂遺稿/卷下,1937,,1937,大日本帝國/朝鮮,"{""大日本帝國/朝鮮"": 2}",大日本帝國/朝鮮,朝鮮,大日本帝國,dominant exact non-提及 WS_CATEGORIES year,1937年;李會彰
朝鮮典籍/一峯先生別集/一峯先生別集__juan_01.txt,朝鮮王朝/一峯先生別集/一峯先生別集__juan_01.txt,一峯先生別集,一峯先生別集,一峯先生別集,1717,,1717,朝鮮王朝,"{""朝鮮王朝"": 1}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1717年;PD-old;朝鮮典籍;趙顯期
朝鮮典籍/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_01.txt,朝鮮王朝/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_01.txt,一峯集 (趙顯期),一峯集 (趙顯期),一峯集 (趙顯期)/卷一,1717,,1717,朝鮮王朝,"{""朝鮮王朝"": 9}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1717年;趙顯期
朝鮮典籍/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_02.txt,朝鮮王朝/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_02.txt,一峯集 (趙顯期),一峯集 (趙顯期),一峯集 (趙顯期)/卷二,1717,,1717,朝鮮王朝,"{""朝鮮王朝"": 9}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1717年;趙顯期
朝鮮典籍/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_03.txt,朝鮮王朝/一峯集 (趙顯期)/一峯集 (趙顯期)__juan_03.txt,一峯集 (趙顯期),一峯集 (趙顯期),一峯集 (趙顯期)/卷三,1717,,1717,朝鮮王朝,"{""朝鮮王朝"": 9}",朝鮮王朝,朝鮮王朝,,dominant exact non-提及 WS_CATEGORIES year,1717年;趙顯期
