category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
朝鮮典籍,1109147,《小兒論》序,《小兒論》序,《小兒論》序,1,scrape_output\raw\朝鮮典籍\《小兒論》序\《小兒論》序__juan_01.txt,scrape_output\clean\朝鮮典籍\《小兒論》序\《小兒論》序__juan_01.txt,319,227,0
朝鮮典籍,1194115,《皇明實錄》購入進書文,《皇明實錄》購入進書文,《皇明實錄》購入進書文,1,scrape_output\raw\朝鮮典籍\《皇明實錄》購入進書文\《皇明實錄》購入進書文__juan_01.txt,scrape_output\clean\朝鮮典籍\《皇明實錄》購入進書文\《皇明實錄》購入進書文__juan_01.txt,352,259,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷一,䨓淵集,1,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_01.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_01.txt,15405,15382,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二,䨓淵集,2,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_02.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_02.txt,16150,16118,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷三,䨓淵集,3,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_03.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_03.txt,14714,14667,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷四,䨓淵集,4,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_04.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_04.txt,15591,15546,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷五,䨓淵集,5,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_05.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_05.txt,14629,14572,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷六,䨓淵集,6,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_06.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_06.txt,12959,12922,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷七,䨓淵集,7,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_07.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_07.txt,13460,13388,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷八,䨓淵集,8,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_08.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_08.txt,17090,16770,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷九,䨓淵集,9,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_09.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_09.txt,15840,15839,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十,䨓淵集,10,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_10.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_10.txt,15845,15845,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十一,䨓淵集,11,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_11.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_11.txt,18710,18707,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十二,䨓淵集,12,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_12.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_12.txt,13782,13727,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十三,䨓淵集,13,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_13.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_13.txt,15126,15108,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十四,䨓淵集,14,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_14.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_14.txt,15049,15035,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十五,䨓淵集,15,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_15.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_15.txt,16056,16056,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十六,䨓淵集,16,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_16.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_16.txt,17010,17008,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十七,䨓淵集,17,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_17.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_17.txt,18589,18589,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十八,䨓淵集,18,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_18.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_18.txt,18790,18780,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷十九,䨓淵集,19,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_19.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_19.txt,17992,17990,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十,䨓淵集,20,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_20.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_20.txt,19327,19327,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十一,䨓淵集,21,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_21.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_21.txt,17788,17788,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十二,䨓淵集,22,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_22.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_22.txt,18579,18579,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十三,䨓淵集,23,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_23.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_23.txt,17260,17260,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十四,䨓淵集,24,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_24.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_24.txt,16274,16274,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十五,䨓淵集,25,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_25.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_25.txt,17504,17504,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十六,䨓淵集,26,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_26.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_26.txt,18551,18551,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十七,䨓淵集,27,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_27.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_27.txt,16942,16894,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十八,䨓淵集,28,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_28.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_28.txt,17195,17195,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷二十九,䨓淵集,29,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_29.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_29.txt,17477,17475,0
朝鮮典籍,1108927,䨓淵集,䨓淵集/卷三十,䨓淵集,30,scrape_output\raw\朝鮮典籍\䨓淵集\䨓淵集__juan_30.txt,scrape_output\clean\朝鮮典籍\䨓淵集\䨓淵集__juan_30.txt,6726,6726,0
朝鮮典籍,1105011,一丫堂遺稿,一丫堂遺稿/卷上,一丫堂遺稿,1,scrape_output\raw\朝鮮典籍\一丫堂遺稿\一丫堂遺稿__juan_01.txt,scrape_output\clean\朝鮮典籍\一丫堂遺稿\一丫堂遺稿__juan_01.txt,1927,1894,0
朝鮮典籍,1105011,一丫堂遺稿,一丫堂遺稿/卷下,一丫堂遺稿,2,scrape_output\raw\朝鮮典籍\一丫堂遺稿\一丫堂遺稿__juan_02.txt,scrape_output\clean\朝鮮典籍\一丫堂遺稿\一丫堂遺稿__juan_02.txt,5210,5177,0
朝鮮典籍,1179187,一峯先生別集,一峯先生別集,一峯先生別集,1,scrape_output\raw\朝鮮典籍\一峯先生別集\一峯先生別集__juan_01.txt,scrape_output\clean\朝鮮典籍\一峯先生別集\一峯先生別集__juan_01.txt,96,4,0
朝鮮典籍,1179176,一峯集 (趙顯期),一峯集 (趙顯期)/卷一,一峯集 (趙顯期),1,scrape_output\raw\朝鮮典籍\一峯集 (趙顯期)\一峯集 (趙顯期)__juan_01.txt,scrape_output\clean\朝鮮典籍\一峯集 (趙顯期)\一峯集 (趙顯期)__juan_01.txt,12839,12826,0
