category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
朝鮮漢詩,204666,題沈尙志郊居,題沈尙志郊居,題沈尙志郊居,1,scrape_output\raw\朝鮮漢詩\題沈尙志郊居\題沈尙志郊居__juan_01.txt,scrape_output\clean\朝鮮漢詩\題沈尙志郊居\題沈尙志郊居__juan_01.txt,634,98,0
朝鮮漢詩,316957,題畫六絶，爲韓宜仲作,題畫六絶，爲韓宜仲作,題畫六絶，爲韓宜仲作,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作\題畫六絶，爲韓宜仲作__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作\題畫六絶，爲韓宜仲作__juan_01.txt,772,224,0
朝鮮漢詩,316975,題畫六絶，爲韓宜仲作·倒松,題畫六絶，爲韓宜仲作·倒松,題畫六絶，爲韓宜仲作·倒松,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·倒松\題畫六絶，爲韓宜仲作·倒松__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·倒松\題畫六絶，爲韓宜仲作·倒松__juan_01.txt,571,33,0
朝鮮漢詩,316965,題畫六絶，爲韓宜仲作·冬,題畫六絶，爲韓宜仲作·冬,題畫六絶，爲韓宜仲作·冬,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·冬\題畫六絶，爲韓宜仲作·冬__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·冬\題畫六絶，爲韓宜仲作·冬__juan_01.txt,570,32,0
朝鮮漢詩,316973,題畫六絶，爲韓宜仲作·古松,題畫六絶，爲韓宜仲作·古松,題畫六絶，爲韓宜仲作·古松,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·古松\題畫六絶，爲韓宜仲作·古松__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·古松\題畫六絶，爲韓宜仲作·古松__juan_01.txt,571,33,0
朝鮮漢詩,316961,題畫六絶，爲韓宜仲作·夏,題畫六絶，爲韓宜仲作·夏,題畫六絶，爲韓宜仲作·夏,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·夏\題畫六絶，爲韓宜仲作·夏__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·夏\題畫六絶，爲韓宜仲作·夏__juan_01.txt,570,32,0
朝鮮漢詩,316959,題畫六絶，爲韓宜仲作·春,題畫六絶，爲韓宜仲作·春,題畫六絶，爲韓宜仲作·春,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·春\題畫六絶，爲韓宜仲作·春__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·春\題畫六絶，爲韓宜仲作·春__juan_01.txt,570,32,0
朝鮮漢詩,316963,題畫六絶，爲韓宜仲作·秋,題畫六絶，爲韓宜仲作·秋,題畫六絶，爲韓宜仲作·秋,1,scrape_output\raw\朝鮮漢詩\題畫六絶，爲韓宜仲作·秋\題畫六絶，爲韓宜仲作·秋__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫六絶，爲韓宜仲作·秋\題畫六絶，爲韓宜仲作·秋__juan_01.txt,570,32,0
朝鮮漢詩,319057,題畫四首，為子深作,題畫四首，為子深作,題畫四首，為子深作,1,scrape_output\raw\朝鮮漢詩\題畫四首，為子深作\題畫四首，為子深作__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫四首，為子深作\題畫四首，為子深作__juan_01.txt,730,186,0
朝鮮漢詩,319060,題畫四首，為子深作·嚴光,題畫四首，為子深作·嚴光,題畫四首，為子深作·嚴光,1,scrape_output\raw\朝鮮漢詩\題畫四首，為子深作·嚴光\題畫四首，為子深作·嚴光__juan_01.txt,scrape_output\clean\朝鮮漢詩\題畫四首，為子深作·嚴光\題畫四首，為子深作·嚴光__juan_01.txt,579,41,0
