category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
朝鮮王朝,205324,七月十五夜對月，有懷李子敏,七月十五夜對月，有懷李子敏,七月十五夜對月，有懷李子敏,1,scrape_output\raw\朝鮮王朝\七月十五夜對月，有懷李子敏\七月十五夜對月，有懷李子敏__juan_01.txt,scrape_output\clean\朝鮮王朝\七月十五夜對月，有懷李子敏\七月十五夜對月，有懷李子敏__juan_01.txt,590,54,0
朝鮮王朝,205131,七言古詩·夢中作 (權韠),七言古詩·夢中作 (權韠),七言古詩·夢中作 (權韠),1,scrape_output\raw\朝鮮王朝\七言古詩·夢中作 (權韠)\七言古詩·夢中作 (權韠)__juan_01.txt,scrape_output\clean\朝鮮王朝\七言古詩·夢中作 (權韠)\七言古詩·夢中作 (權韠)__juan_01.txt,643,107,0
朝鮮王朝,205592,七言律詩·次鄭公述湖亭韻,七言律詩·次鄭公述湖亭韻,七言律詩·次鄭公述湖亭韻,1,scrape_output\raw\朝鮮王朝\七言律詩·次鄭公述湖亭韻\七言律詩·次鄭公述湖亭韻__juan_01.txt,scrape_output\clean\朝鮮王朝\七言律詩·次鄭公述湖亭韻\七言律詩·次鄭公述湖亭韻__juan_01.txt,608,72,0
朝鮮王朝,180138,三韓始末辨證說,三韓始末辨證說,三韓始末辨證說,1,scrape_output\raw\朝鮮王朝\三韓始末辨證說\三韓始末辨證說__juan_01.txt,scrape_output\clean\朝鮮王朝\三韓始末辨證說\三韓始末辨證說__juan_01.txt,5606,5378,0
朝鮮王朝,205365,九日懷抱甚惡,九日懷抱甚惡,九日懷抱甚惡,1,scrape_output\raw\朝鮮王朝\九日懷抱甚惡\九日懷抱甚惡__juan_01.txt,scrape_output\clean\朝鮮王朝\九日懷抱甚惡\九日懷抱甚惡__juan_01.txt,590,54,0
朝鮮王朝,205302,九月九日，在務安縣沙湖，對酒有作,九月九日，在務安縣沙湖，對酒有作,九月九日，在務安縣沙湖，對酒有作,1,scrape_output\raw\朝鮮王朝\九月九日，在務安縣沙湖，對酒有作\九月九日，在務安縣沙湖，對酒有作__juan_01.txt,scrape_output\clean\朝鮮王朝\九月九日，在務安縣沙湖，對酒有作\九月九日，在務安縣沙湖，對酒有作__juan_01.txt,590,54,0
朝鮮王朝,316927,九月初五，把酒有作,九月初五，把酒有作,九月初五，把酒有作,1,scrape_output\raw\朝鮮王朝\九月初五，把酒有作\九月初五，把酒有作__juan_01.txt,scrape_output\clean\朝鮮王朝\九月初五，把酒有作\九月初五，把酒有作__juan_01.txt,562,26,0
朝鮮王朝,1035963,九雲夢,九雲夢/第01回,九雲夢,1,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_01.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_01.txt,5156,5156,0
朝鮮王朝,1035963,九雲夢,九雲夢/第02回,九雲夢,2,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_02.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_02.txt,4760,4760,0
朝鮮王朝,1035963,九雲夢,九雲夢/第03回,九雲夢,3,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_03.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_03.txt,3807,3807,0
朝鮮王朝,1035963,九雲夢,九雲夢/第04回,九雲夢,4,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_04.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_04.txt,5418,5418,0
朝鮮王朝,1035963,九雲夢,九雲夢/第05回,九雲夢,5,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_05.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_05.txt,6027,6027,0
朝鮮王朝,1035963,九雲夢,九雲夢/第06回,九雲夢,6,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_06.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_06.txt,7078,7078,0
朝鮮王朝,1035963,九雲夢,九雲夢/第07回,九雲夢,7,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_07.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_07.txt,4147,4145,0
朝鮮王朝,1035963,九雲夢,九雲夢/第08回,九雲夢,8,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_08.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_08.txt,5381,5381,0
朝鮮王朝,1035963,九雲夢,九雲夢/第09回,九雲夢,9,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_09.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_09.txt,2642,2638,0
朝鮮王朝,1035963,九雲夢,九雲夢/第10回,九雲夢,10,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_10.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_10.txt,5085,5085,0
朝鮮王朝,1035963,九雲夢,九雲夢/第11回,九雲夢,11,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_11.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_11.txt,3739,3739,0
朝鮮王朝,1035963,九雲夢,九雲夢/第12回,九雲夢,12,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_12.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_12.txt,5044,5042,0
朝鮮王朝,1035963,九雲夢,九雲夢/第13回,九雲夢,13,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_13.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_13.txt,8324,8323,0
朝鮮王朝,1035963,九雲夢,九雲夢/第14回,九雲夢,14,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_14.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_14.txt,6599,6598,0
朝鮮王朝,1035963,九雲夢,九雲夢/第15回,九雲夢,15,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_15.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_15.txt,6210,6209,0
朝鮮王朝,1035963,九雲夢,九雲夢/第16回,九雲夢,16,scrape_output\raw\朝鮮王朝\九雲夢\九雲夢__juan_16.txt,scrape_output\clean\朝鮮王朝\九雲夢\九雲夢__juan_16.txt,2427,2426,0
朝鮮王朝,319158,五川草堂四時詞，爲尹而性題,五川草堂四時詞，爲尹而性題,五川草堂四時詞，爲尹而性題,1,scrape_output\raw\朝鮮王朝\五川草堂四時詞，爲尹而性題\五川草堂四時詞，爲尹而性題__juan_01.txt,scrape_output\clean\朝鮮王朝\五川草堂四時詞，爲尹而性題\五川草堂四時詞，爲尹而性題__juan_01.txt,722,178,0
朝鮮王朝,319162,五川草堂四時詞，爲尹而性題·冬,五川草堂四時詞，爲尹而性題·冬,五川草堂四時詞，爲尹而性題·冬,1,scrape_output\raw\朝鮮王朝\五川草堂四時詞，爲尹而性題·冬\五川草堂四時詞，爲尹而性題·冬__juan_01.txt,scrape_output\clean\朝鮮王朝\五川草堂四時詞，爲尹而性題·冬\五川草堂四時詞，爲尹而性題·冬__juan_01.txt,578,40,0
朝鮮王朝,319160,五川草堂四時詞，爲尹而性題·夏,五川草堂四時詞，爲尹而性題·夏,五川草堂四時詞，爲尹而性題·夏,1,scrape_output\raw\朝鮮王朝\五川草堂四時詞，爲尹而性題·夏\五川草堂四時詞，爲尹而性題·夏__juan_01.txt,scrape_output\clean\朝鮮王朝\五川草堂四時詞，爲尹而性題·夏\五川草堂四時詞，爲尹而性題·夏__juan_01.txt,578,40,0
朝鮮王朝,319159,五川草堂四時詞，爲尹而性題·春,五川草堂四時詞，爲尹而性題·春,五川草堂四時詞，爲尹而性題·春,1,scrape_output\raw\朝鮮王朝\五川草堂四時詞，爲尹而性題·春\五川草堂四時詞，爲尹而性題·春__juan_01.txt,scrape_output\clean\朝鮮王朝\五川草堂四時詞，爲尹而性題·春\五川草堂四時詞，爲尹而性題·春__juan_01.txt,578,40,0
朝鮮王朝,319161,五川草堂四時詞，爲尹而性題·秋,五川草堂四時詞，爲尹而性題·秋,五川草堂四時詞，爲尹而性題·秋,1,scrape_output\raw\朝鮮王朝\五川草堂四時詞，爲尹而性題·秋\五川草堂四時詞，爲尹而性題·秋__juan_01.txt,scrape_output\clean\朝鮮王朝\五川草堂四時詞，爲尹而性題·秋\五川草堂四時詞，爲尹而性題·秋__juan_01.txt,578,40,0
朝鮮王朝,205291,五言律詩·夢中作 (權韠),五言律詩·夢中作 (權韠),五言律詩·夢中作 (權韠),1,scrape_output\raw\朝鮮王朝\五言律詩·夢中作 (權韠)\五言律詩·夢中作 (權韠)__juan_01.txt,scrape_output\clean\朝鮮王朝\五言律詩·夢中作 (權韠)\五言律詩·夢中作 (權韠)__juan_01.txt,662,126,0
朝鮮王朝,205434,五言律詩·次鄭公述湖亭韻,五言律詩·次鄭公述湖亭韻,五言律詩·次鄭公述湖亭韻,1,scrape_output\raw\朝鮮王朝\五言律詩·次鄭公述湖亭韻\五言律詩·次鄭公述湖亭韻__juan_01.txt,scrape_output\clean\朝鮮王朝\五言律詩·次鄭公述湖亭韻\五言律詩·次鄭公述湖亭韻__juan_01.txt,590,54,0
朝鮮王朝,205360,五言律詩·途中 (權韠),五言律詩·途中 (權韠),五言律詩·途中 (權韠),1,scrape_output\raw\朝鮮王朝\五言律詩·途中 (權韠)\五言律詩·途中 (權韠)__juan_01.txt,scrape_output\clean\朝鮮王朝\五言律詩·途中 (權韠)\五言律詩·途中 (權韠)__juan_01.txt,622,81,0
朝鮮王朝,316910,五言絕句·途中 (權韠),五言絕句·途中 (權韠),五言絕句·途中 (權韠),1,scrape_output\raw\朝鮮王朝\五言絕句·途中 (權韠)\五言絕句·途中 (權韠)__juan_01.txt,scrape_output\clean\朝鮮王朝\五言絕句·途中 (權韠)\五言絕句·途中 (權韠)__juan_01.txt,562,26,0
朝鮮王朝,319063,代人寄遠二絶，戲林子中,代人寄遠二絶，戲林子中,代人寄遠二絶，戲林子中,1,scrape_output\raw\朝鮮王朝\代人寄遠二絶，戲林子中\代人寄遠二絶，戲林子中__juan_01.txt,scrape_output\clean\朝鮮王朝\代人寄遠二絶，戲林子中\代人寄遠二絶，戲林子中__juan_01.txt,614,78,0
朝鮮王朝,319064,代人寄遠二絶，戲林子中 (其一),代人寄遠二絶，戲林子中 (其一),代人寄遠二絶，戲林子中 (其一),1,scrape_output\raw\朝鮮王朝\代人寄遠二絶，戲林子中 (其一)\代人寄遠二絶，戲林子中 (其一)__juan_01.txt,scrape_output\clean\朝鮮王朝\代人寄遠二絶，戲林子中 (其一)\代人寄遠二絶，戲林子中 (其一)__juan_01.txt,570,34,0
朝鮮王朝,319065,代人寄遠二絶，戲林子中 (其二),代人寄遠二絶，戲林子中 (其二),代人寄遠二絶，戲林子中 (其二),1,scrape_output\raw\朝鮮王朝\代人寄遠二絶，戲林子中 (其二)\代人寄遠二絶，戲林子中 (其二)__juan_01.txt,scrape_output\clean\朝鮮王朝\代人寄遠二絶，戲林子中 (其二)\代人寄遠二絶，戲林子中 (其二)__juan_01.txt,570,34,0
朝鮮王朝,319232,以松壤玉燈，付山人法林,以松壤玉燈，付山人法林,以松壤玉燈，付山人法林,1,scrape_output\raw\朝鮮王朝\以松壤玉燈，付山人法林\以松壤玉燈，付山人法林__juan_01.txt,scrape_output\clean\朝鮮王朝\以松壤玉燈，付山人法林\以松壤玉燈，付山人法林__juan_01.txt,572,36,0
朝鮮王朝,204739,以竹枝報菊花之惠，寄車五山,以竹枝報菊花之惠，寄車五山,以竹枝報菊花之惠，寄車五山,1,scrape_output\raw\朝鮮王朝\以竹枝報菊花之惠，寄車五山\以竹枝報菊花之惠，寄車五山__juan_01.txt,scrape_output\clean\朝鮮王朝\以竹枝報菊花之惠，寄車五山\以竹枝報菊花之惠，寄車五山__juan_01.txt,588,52,0
