category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
高麗,772436,七月七日雨,七月七日雨,七月七日雨,1,scrape_output\raw\高麗\七月七日雨\七月七日雨__juan_01.txt,scrape_output\clean\高麗\七月七日雨\七月七日雨__juan_01.txt,274,178,0
高麗,39220,三國史記,三國史記/卷01,三國史記,1,scrape_output\raw\高麗\三國史記\三國史記__juan_01.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_01.txt,6645,6572,0
高麗,39220,三國史記,三國史記/卷02,三國史記,2,scrape_output\raw\高麗\三國史記\三國史記__juan_02.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_02.txt,5429,5380,0
高麗,39220,三國史記,三國史記/卷03,三國史記,3,scrape_output\raw\高麗\三國史記\三國史記__juan_03.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_03.txt,4739,4694,0
高麗,39220,三國史記,三國史記/卷04,三國史記,4,scrape_output\raw\高麗\三國史記\三國史記__juan_04.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_04.txt,6698,6628,0
高麗,39220,三國史記,三國史記/卷05,三國史記,5,scrape_output\raw\高麗\三國史記\三國史記__juan_05.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_05.txt,7697,7546,0
高麗,39220,三國史記,三國史記/卷06,三國史記,6,scrape_output\raw\高麗\三國史記\三國史記__juan_06.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_06.txt,6387,6172,0
高麗,39220,三國史記,三國史記/卷07,三國史記,7,scrape_output\raw\高麗\三國史記\三國史記__juan_07.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_07.txt,7821,7772,0
高麗,39220,三國史記,三國史記/卷08,三國史記,8,scrape_output\raw\高麗\三國史記\三國史記__juan_08.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_08.txt,7156,6945,0
高麗,39220,三國史記,三國史記/卷09,三國史記,9,scrape_output\raw\高麗\三國史記\三國史記__juan_09.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_09.txt,4994,4926,0
高麗,39220,三國史記,三國史記/卷10,三國史記,10,scrape_output\raw\高麗\三國史記\三國史記__juan_10.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_10.txt,8148,8028,0
高麗,39220,三國史記,三國史記/卷11,三國史記,11,scrape_output\raw\高麗\三國史記\三國史記__juan_11.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_11.txt,5817,5675,0
高麗,39220,三國史記,三國史記/卷12,三國史記,12,scrape_output\raw\高麗\三國史記\三國史記__juan_12.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_12.txt,4753,4657,0
高麗,39220,三國史記,三國史記/卷13,三國史記,13,scrape_output\raw\高麗\三國史記\三國史記__juan_13.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_13.txt,4683,4647,0
高麗,39220,三國史記,三國史記/卷14,三國史記,14,scrape_output\raw\高麗\三國史記\三國史記__juan_14.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_14.txt,3340,3289,0
高麗,39220,三國史記,三國史記/卷15,三國史記,15,scrape_output\raw\高麗\三國史記\三國史記__juan_15.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_15.txt,3468,3411,0
高麗,39220,三國史記,三國史記/卷16,三國史記,16,scrape_output\raw\高麗\三國史記\三國史記__juan_16.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_16.txt,4144,4030,0
高麗,39220,三國史記,三國史記/卷17,三國史記,17,scrape_output\raw\高麗\三國史記\三國史記__juan_17.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_17.txt,4907,4818,0
高麗,39220,三國史記,三國史記/卷18,三國史記,18,scrape_output\raw\高麗\三國史記\三國史記__juan_18.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_18.txt,4866,4779,0
高麗,39220,三國史記,三國史記/卷19,三國史記,19,scrape_output\raw\高麗\三國史記\三國史記__juan_19.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_19.txt,3962,3882,0
高麗,39220,三國史記,三國史記/卷20,三國史記,20,scrape_output\raw\高麗\三國史記\三國史記__juan_20.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_20.txt,5655,5537,0
高麗,39220,三國史記,三國史記/卷21,三國史記,21,scrape_output\raw\高麗\三國史記\三國史記__juan_21.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_21.txt,5866,5756,0
高麗,39220,三國史記,三國史記/卷22,三國史記,22,scrape_output\raw\高麗\三國史記\三國史記__juan_22.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_22.txt,5228,5138,0
高麗,39220,三國史記,三國史記/卷23,三國史記,23,scrape_output\raw\高麗\三國史記\三國史記__juan_23.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_23.txt,4996,4839,0
高麗,39220,三國史記,三國史記/卷24,三國史記,24,scrape_output\raw\高麗\三國史記\三國史記__juan_24.txt,scrape_output\clean\高麗\三國史記\三國史記__juan_24.txt,3668,3593,0
